,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
0,"Abbott (G. F.)-Tale of a Tour in Macedonia. Illus. Roy. 8vo. 9 x 54, pp. 856, 14s. net E. ARNOLD, Mar. 03",Abbott,G. F.,Tale of a Tour in Macedonia,E. ARNOLD,14s.,8vo.,"Abbott (G. F.)-Tale of a Tour in Macedonia. Illus. Roy. 8vo. 9 x 54, pp. 856, 14s. net E. ARNOLD, Mar. 03",G. F. Abbott,['Abbott (G. F.)'],,Mar. 03,1903,net
2,"Academy Architecture and Architectural Review. Classified Index to Vols. 1-21, 1889-1902. 4to. 28.; swd. 1s......... SIMPKIN, Jan. 03",,,Academy Architecture and Architectural Review,SIMPKIN,1s.,4to.,"Academy Architecture and Architectural Review. Classified Index to Vols. 1-21, 1889-1902. 4to. 28.; swd. 1s......... SIMPKIN, Jan. 03",,,,Jan. 03,1903,
3,"Academy Notes, 1908. Originated by Henry Blackburn. 8vo. swd. ls. W. GARDNER, May 03",,,Academy Notes,W. GARDNER,,8vo.,"Academy Notes, 1908. Originated by Henry Blackburn. 8vo. swd. ls. W. GARDNER, May 03",,,,May 03,1903,
4,"Acheson (A.)-Shakespeare and the Rival Poet. Displaying Shakespeare as a Satirist, and Proving the 1dentity of the Patron and the Rival of the Sonnets. With Reprint of Sundry Poetical Pieces by George Chapman bearing on the Sub- ject. Cr. 8vo. 72 × 54, pp. 368, 5s. net LANE, Oct. 03",Acheson,A.,Shakespeare and the Rival Poet,LANE,5s.,8vo.,"Acheson (A.)-Shakespeare and the Rival Poet. Displaying Shakespeare as a Satirist, and Proving the Identity of the Patron and the Rival of the Sonnets. With Reprint of Sundry Poetical Pieces by George Chapman bearing on the Sub- ject. Cr. 8vo. 72 × 54, pp. 368, 5s. net LANE, Oct. 03",A. Acheson,['Acheson (A.)'],,Oct. 03,1903,net
5,"Acorn-English Timber and its Economical Conversion: a Handbook for Timber Merchants, Manufacturers, Growers, and others. Cr. 8vo. 74 × 44, pp. 216, 3s. 6d. ..RIDER, Apr. 03",,,"Acorn-English Timber and its Economical Conversion: a Handbook for Timber Merchants, Manufacturers, Growers, and others",RIDER,3s. 6d.,8vo.,"Acorn-English Timber and its Economical Conversion: a Handbook for Timber Merchants, Manufacturers, Growers, and others. Cr. 8vo. 74 × 44, pp. 216, 3s. 6d. ..RIDER, Apr. 03",,,,Apr. 03,1903,
6,"Action Songs for School and Concert. Music by W. W. Pearson, and Words by Edward Oxen- ford. 8vo. swd. 2s. 6d.......... SIMPKIN, Mar. 03",,,Action Songs for School and Concert,SIMPKIN,2s. 6d.,8vo.,"Action Songs for School and Concert. Music by W. W. Pearson, and Words by Edward Oxen- ford. 8vo. swd. 2s. 6d.......... SIMPKIN, Mar. 03",,,,Mar. 03,1903,
7,"Acton (Mrs. Adams-)-Six Bold Babes; or, the Adventures of a Perambulator. Illus. by M. E. Edwards. Cr. 8vo. 74 × 44, pp. 256, 1s. 6d. ROUTLEDGE, Oct. 03",Acton,Mrs. Adams-,"Six Bold Babes; or, the Adventures of a Perambulator",ROUTLEDGE,1s. 6d.,8vo.,"Acton (Mrs. Adams-)-Six Bold Babes; or, the Adventures of a Perambulator. Illus. by M. E. Edwards. Cr. 8vo. 74 × 44, pp. 256, 1s. 6d. ROUTLEDGE, Oct. 03",Mrs. Adams- Acton,['Acton (Mrs. Adams-)'],,Oct. 03,1903,
8,"Acts of the Apostles. With Commentary by E. H. Plumptre. Ed. by Charles John Ellicott. 12mo. red. to 28...... ...CASSELL, May 03",,,Acts of the Apostles,CASSELL,,12mo.,"Acts of the Apostles. With Commentary by E. H. Plumptre. Ed. by Charles John Ellicott. 12mo. red. to 28...... ...CASSELL, May 03",,,,May 03,1903,
9,"Adam (Mme. Edmond, Juliette Lamber)-Ro- mance of my Childhood and Youth. Trans. by Helen Stanley. Cr. 8vo. 7× 5, pp. 418, 7s. 6d. HEINEMANN, Feb. 03",Adam,"Mme. Edmond, Juliette Lamber",Ro- mance of my Childhood and Youth,HEINEMANN,7s. 6d.,8vo.,"Adam (Mme. Edmond, Juliette Lamber)-Ro- mance of my Childhood and Youth. Trans. by Helen Stanley. Cr. 8vo. 7× 5, pp. 418, 7s. 6d. HEINEMANN, Feb. 03","Mme. Edmond, Juliette Lamber Adam","['Adam (Mme. Edmond, Juliette Lamber)']",,Feb. 03,1903,
10,"Adams (C. C.)-An Elementary Commercial Geography. Cr. 8vo. 77 × 54, pp. 264, 4s. 6d. net APPLETON, Feb. 03",Adams,C. C.,An Elementary Commercial Geography,APPLETON,4s. 6d.,8vo.,"Adams (C. C.)-An Elementary Commercial Geography. Cr. 8vo. 77 × 54, pp. 264, 4s. 6d. net APPLETON, Feb. 03",C. C. Adams,['Adams (C. C.)'],,Feb. 03,1903,net
