,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
0,"Achorn (John W.)-Nature's Helps to Happiness ; or, Ground Treatment. 12mo. 7 x 41, pp. 56, s. net .W. RIDER, Feb. 1o Ack worth (John)-Old Wenyon's Will. New edit. Cr. 8vo. 74 x5, pp. 342, 2s. PARTRIDGE, A pr. 10",Achorn,John W.,"Nature's Helps to Happiness ; or, Ground Treatment",PARTRIDGE,2s.,0.1,12mo.,"Achorn (John W.)-Nature's Helps to Happiness ; or, Ground Treatment. 12mo. 7 x 41, pp. 56, IS. net .W. RIDER, Feb. 1o Ack worth (John)-Old Wenyon's Will. New edit. Cr. 8vo. 74 x5, pp. 342, 25. PARTRIDGE, A pr. 10",John W. Achorn,['Achorn (John W.)'],,A pr. 10,
40,"Alexander (A. & Mrs.)—British Physical Educa- tion for Girls. Illus. 8vo. 84x5, pp. 320, Ios. 6d. net ..MCDOUGALL, June 10",Alexander,A. & Mrs.,British Physical Educa- tion for Girls,MCDOUGALL,6d.,0.025,8vo.,"Alexander (A. & Mrs.)—British Physical Educa- tion for Girls. Illus. 8vo. 84x5, pp. 320, Ios. 6d. net ..MCDOUGALL, June 10",A. & Mrs. Alexander,['Alexander (A. & Mrs.)'],,June 10,net
41,"Alexander (Archibald B. D.)—The Ethics of St. Paul. Deiny 8vo., pp. 401, 6s, net MACLEHOSE, Apr. 10",Alexander,Archibald B. D.,The Ethics of St,MACLEHOSE,6s.,0.3,8vo.,"Alexander (Archibald B. D.)—The Ethics of St. Paul. Deiny 8vo., pp. 401, 6s, net MACLEHOSE, Apr. 10",Archibald B. D. Alexander,['Alexander (Archibald B. D.)'],,Apr. 10,net
42,"Alexander (Evelyn)— The Heart of a Monk. Cr. 8vo. 78 X5, pp. 318, 6s.....LONG, Jan. 10",Alexander,Evelyn,The Heart of a Monk,LONG,6s.,0.3,8vo.,"Alexander (Evelyn)— The Heart of a Monk. Cr. 8vo. 78 X5, pp. 318, 6S.....LONG, Jan. 10",Evelyn Alexander,['Alexander (Evelyn)'],,Jan. 10,
43,"Alexander (F. Matthias)-Man's Supreme Inherit- ance, Cr. 8vo. 7* X5, pp. 216, 5s. net METHUEN, Oct. 10",Alexander,F. Matthias,Man's Supreme Inherit- ance,METHUEN,5s.,0.25,8vo.,"Alexander (F. Matthias)-Man's Supreme Inherit- ance, Cr. 8vo. 7* X5, pp. 216, 5s. net METHUEN, Oct. 10",F. Matthias Alexander,['Alexander (F. Matthias)'],,Oct. 10,net
44,"Alexander (G.)—The Epistl: to Colossians and Ephesians. 12mo. 2s. 6d. (Bible for Home and School) ..MACMILLAN, Feb. 10",Alexander,G.,The Epistl: to Colossians and Ephesians,MACMILLAN,2s. 6d.,0.125,12mo.,"Alexander (G.)—The Epistl: to Colossians and Ephesians. 12mo. 2s. 6d. (Bible for Home and School) ..MACMILLAN, Feb. 10",G. Alexander,['Alexander (G.)'],,Feb. 10,
45,"Alexander (J. H.)-Model Balloons and Flying Machines. With a short account of the progress i of aviation. Cr. 8vo. 71 X 41, pp. 140, 3s. 6d. net C. LOCKWOOD, June 10",Alexander,J. H.,Model Balloons and Flying Machines,C. LOCKWOOD,3s. 6d.,0.175,8vo.,"Alexander (J. H.)-Model Balloons and Flying Machines. With a short account of the progress i of aviation. Cr. 8vo. 71 X 41, pp. 140, 35. 6d. net C. LOCKWOOD, June 10",J. H. Alexander,['Alexander (J. H.)'],,June 10,net
46,"Alexander (S. A.)— Progressive Revelation. Lec- tures to Clergy given in St. Asaph Cathedral, June 1910. Cr. 8vo. 71 X5, pp. 66, 2s. 6d. net MURRAY, Sep. 10",Alexander,S. A.,Progressive Revelation,MURRAY,2s. 6d.,0.125,8vo.,"Alexander (S. A.)— Progressive Revelation. Lec- tures to Clergy given in St. Asaph Cathedral, June 1910. Cr. 8vo. 71 X5, pp. 66, 25. 6d. net MURRAY, Sep. 10",S. A. Alexander,['Alexander (S. A.)'],,Sep. 10,net
48,"Alford (B. H.)--Old Testament History and Literature. Cr. 8vo. 71 X5, pp. 338, 5s. net LONGMANS, Jan. 10",Alford,B. H.,Old Testament History and Literature,LONGMANS,5s.,0.25,8vo.,"Alford (B. H.)--Old Testament History and Literature. Cr. 8vo. 71 X5, pp. 338, 5s. net LONGMANS, Jan. 10",B. H. Alford,['Alford (B. H.)'],,Jan. 10,net
49,"Alford (M.)--Versions of Latin Passages for Translation, 12mo. 7 X 4), pp. 324, 5s, net MACMILLAN, Jan. 10",Alford,M.,Versions of Latin Passages for Translation,MACMILLAN,5s.,0.25,12mo.,"Alford (M.)--Versions of Latin Passages for Translation, 12mo. 7 X 4), pp. 324, 5s, net MACMILLAN, Jan. 10",M. Alford,['Alford (M.)'],,Jan. 10,net
