entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Abercrombie (P.)-Centripetality not Parlia- mentarian ; or, The Vizier new-visaged : a philosophical inquiry into the results likely to ensure from certain proposed latter-day fernal incontinencies. 8vo. swd. 4d. LIVERPOOL BOOKSELLERS' Co., Mar. 12",,,,,,,"Abercrombie (P.)-Centripetality not Parlia- mentarian ; or, The Vizier new-visaged : a philosophical inquiry into the results likely to ensure from certain proposed latter-day fernal incontinencies. 8vo. swd. 4d. LIVERPOOL BOOKSELLERS' Co., Mar. 12",,,,,1912,
"Abercromby (Hon. John)-A Study of the bronze age pottery of Great Britain and Ireland and its associated grave-goods. Illus. 2 vols. 4to. 63s, net (Clarendon Press) FROWDE, July 12",Abercromby,Hon. John,A Study of the bronze age pottery of Great Britain and Ireland and its associated grave-goods,FROWDE,63s.,4to.,"Abercromby (Hon. John)-A Study of the bronze age pottery of Great Britain and Ireland and its associated grave-goods. Illus. 2 vols. 4to. 63s, net (Clarendon Press) FROWDE, July 12",Hon. John Abercromby,['Abercromby (Hon. John)'],,July 12,1912,net
"Abhedananda (Swami) —Vedanta Philosophy : Great Saviours of the world. Vol. 1. (Krishna, Zoroaster, Lâo-Tze, and their teachings, with portraits.) Cr. 8vo., pp. 176, 4s. 6d. net LUZAC, Mar. 12",Abhedananda,Swami,Vedanta Philosophy : Great Saviours of the world,LUZAC,4s. 6d.,8vo.,"Abhedananda (Swami) —Vedanta Philosophy : Great Saviours of the world. Vol. 1. (Krishna, Zoroaster, Lâo-Tze, and their teachings, with portraits.) Cr. 8vo., pp. 176, 45. 6d. net LUZAC, Mar. 12",Swami Abhedananda,['Abhedananda (Swami)'],,Mar. 12,1912,net
"Aarons (S. Jervois)—Aids to gynaecology. 5th edit. 12m10., pp. 132, 2s. 6d. net, swd., 2s, net (Students' aids ser.) BAILLIÈRE, Nov. 12",Aarons,S. Jervois,Aids to gynaecology,BAILLIÈRE,2s.,,"Aarons (S. Jervois)—Aids to gynaecology. 5th edit. 12m10., pp. 132, 25. 6d. net, swd., 2s, net (Students' aids ser.) BAILLIÈRE, Nov. 12",S. Jervois Aarons,['Aarons (S. Jervois)'],,Nov. 12,1912,net
"Abdul Majid (Syed H. R.)-England and the Moslem world : articles, addresses and essays on eastern subjects. 8vo. 9 X6, pp. 184, 5s. net (York) YORKSHIRE PRINTING CO., A pr. 12",Abdul Majid,Syed H. R.,"England and the Moslem world : articles, addresses and essays on eastern subjects",YORKSHIRE PRINTING CO.,5s.,8vo.,"Abdul Majid (Syed H. R.)-England and the Moslem world : articles, addresses and essays on eastern subjects. 8vo. 9 X6, pp. 184, 55. net (York) YORKSHIRE PRINTING CO., A pr. 12",Syed H. R. Abdul Majid,['Abdul Majid (Syed H. R.)'],,A pr. 12,1912,net
"Abernathy (M.)—The Ride of the Abernathy Boys. Cr. 8vo., 3s. 6d. HODDER & S., Jan. 12",Abernathy,M.,The Ride of the Abernathy Boys,HODDER & S.,3s. 6d.,8vo.,"Abernathy (M.)—The Ride of the Abernathy Boys. Cr. 8vo., 35. 6d. HODDER & S., Jan. 12",M. Abernathy,['Abernathy (M.)'],,Jan. 12,1912,
"Abhedananda (Swami) Vedanta philosophy : Human affection, and divine love. 12mo., pp. 46, 1s. 6d. net ..LUZAC, Mar. 12",Abhedananda,Swami,"Vedanta philosophy : Human affection, and divine love",LUZAC,1s. 6d.,12mo.,"Abhedananda (Swami) Vedanta philosophy : Human affection, and divine love. 12mo., pp. 46, Is. 6d. net ..LUZAC, Mar. 12",Swami Abhedananda,['Abhedananda (Swami)'],,Mar. 12,1912,net
"Åbor, On the track of the, Millington (P.) 3s. 6d. net About us. Oblong 4to., bds. 2s. 6d. NISTER, Sep. 12",,,"Åbor, On the track of the, Millington (P.)",NISTER,2s. 6d.,4to.,"Åbor, On the track of the, Millington (P.) 35. 6d. net About us. Oblong 4to., bds. 25. 6d. NISTER, Sep. 12",,,,Sep. 12,1912,
"Abraham (Ashley P.)—Beautiful Lakeland. Illus. 4to. 111 X 81, pp. 52, bds. 3s. 6d. G. P. ABRAHAM, June 12",Abraham,Ashley P.,Beautiful Lakeland,G. P. ABRAHAM,3s. 6d.,4to.,"Abraham (Ashley P.)—Beautiful Lakeland. Illus. 4to. 111 X 81, pp. 52, bds. 35. 6d. G. P. ABRAHAM, June 12",Ashley P. Abraham,['Abraham (Ashley P.)'],,June 12,1912,
"Abraham (George D.)- British mountain climbs. Cheaper edit. 12mo., 7 X4, pp. 464, 59. net MILLS & B., Sep. 12",Abraham,George D.,British mountain climbs,MILLS & B.,,12mo.,"Abraham (George D.)- British mountain climbs. Cheaper edit. 12mo., 7 X4, pp. 464, 59. net MILLS & B., Sep. 12",George D. Abraham,['Abraham (George D.)'],,Sep. 12,1912,
