entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"A. H. See H. (A.) A. P. See P. (A.) Abadie (J.)- Uounds of the abdomen. Pref. hs J.L. Faure. Ed., w. pref., by Sir W'. Arbutlinot Lane. Cr. *vo. 7} X 5, pp. 289, 7s. 6d. net (Military melical manvals) UNIV. CF LONDON PR., A pr.'18",,,A. H. See H. (A.) A. P. See P. (A.) Abadie (J.)- Uounds of the abdomen,UNIV. CF LONDON PR.,7s. 6d.,,"A. H. See H. (A.) A. P. See P. (A.) Abadie (J.)- Uounds of the abdomen. Pref. hs J.L. Faure. Ed., w. pref., by Sir W'. Arbutlinot Lane. Cr. *vo. 7} X 5, pp. 289, 7s. 6d. net (Military melical manvals) UNIV. CF LONDON PR., A pr.'18",,,,A pr.'18,1918,net
"Abbey (John) and others-God hath not decived the nation : being replies to the Report of the Committee appointed by the Archbi hep of Canterbury on Unfermented Win, thi Word of God, and the ure of intexicating liquor, &c. By J. A., Rev. W. St. Clair Tisdall, and Rev. John Newton Wright. 8 X 5, pp. 72, 1s.",,,,,,,"Abbey (John) and others-God hath not decived the nation : being replies to the Report of the Committee appointed by the Archbi hep of Canterbury on Unfermented Win, thi Word of God, and the ure of intexicating liquor, &c. By J. A., Rev. W. St. Clair Tisdall, and Rev. John Newton Wright. 8 X 5, pp. 72, 15.",,,,,1918,
"(Orpington : “ The Maples,” Goddington Lane) J. ABBEY, Jan. '18",,,,J. ABBEY,,,"(Orpington : “ The Maples,” Goddington Lane) J. ABBEY, Jan. '18",,,,Jan. '18,1918,
"Abbeys and castles of Yorkshire, Waddington (F.) 28. ...Oct. 'is Abbot (Willis J.)-Aircraft and submarines : the story of the invention, development and present-day uses of war's newest weapons. Illus. 92x61, pp. 402, 15s. net PUTNAM, June '18",,,"Abbeys and castles of Yorkshire, Waddington (F.)",PUTNAM,15s.,,"Abbeys and castles of Yorkshire, Waddington (F.) 28. ...Oct. 'is Abbot (Willis J.)-Aircraft and submarines : the story of the invention, development and present-day uses of war's newest weapons. Illus. 92x61, pp. 402, 155. net PUTNAM, June '18",,,,June '18,1918,net
"Abbott (E. A., Rev.) Righteousness in the Gospels. Roy. 8vo. 91x67, pp 14, swd. is net ....(Brit. Academy) MILFORD, May '18",Abbott,"E. A., Rev.",Righteousness in the Gospels,MILFORD,,8vo.,"Abbott (E. A., Rev.) Righteousness in the Gospels. Roy. 8vo. 91x67, pp 14, swd. is net ....(Brit. Academy) MILFORD, May '18","E. A., Rev. Abbott","['Abbott (E. A., Rev.)']",,May '18,1918,
"Abbott (E. C.)-The Science of health and home- making. Cr. 8vo. pp. 302, 3s. 6d. net G. BELL, July '18",Abbott,E. C.,The Science of health and home- making,G. BELL,3s. 6d.,8vo.,"Abbott (E. C.)-The Science of health and home- making. Cr. 8vo. pp. 302, 35. 6d. net G. BELL, July '18",E. C. Abbott,['Abbott (E. C.)'],,July '18,1918,net
"Abbott (E. W.)- The Colliery official's, work. man's and bill clerk's friend. 16mo. pp. 45 (South Shields : 49, Northcote St.) E. W. ABBOTT, Dec. '17",Abbott,E. W.,"The Colliery official's, work",E. W. ABBOTT,,16mo.,"Abbott (E. W.)- The Colliery official's, work. man's and bill clerk's friend. 16mo. pp. 45 (South Shields : 49, Northcote St.) E. W. ABBOTT, Dec. '17",E. W. Abbott,['Abbott (E. W.)'],,Dec. '17,1918,
"Abbott (P.)-Mathematical tables and formule. Cr. 8vo. 71 x 41, pp. 62, 2s. net. (Mod. mathe- matical ser.) ..LONGMANS, Nov. '18",Abbott,P.,Mathematical tables and formule,LONGMANS,,8vo.,"Abbott (P.)-Mathematical tables and formule. Cr. 8vo. 71 x 41, pp. 62, 2s. net. (Mod. mathe- matical ser.) ..LONGMANS, Nov. '18",P. Abbott,['Abbott (P.)'],,Nov. '18,1918,
"Abbott(P.)-Elementary numerical trigonome'ry. Cr. 8vo. 7** 4$, pp. 206, swd. 5s. net. (Mod. mathematical ser.). ...LONGMANS, Nov. '18",,,Abbott(P.)-Elementary numerical trigonome'ry,LONGMANS,,8vo.,"Abbott(P.)-Elementary numerical trigonome'ry. Cr. 8vo. 7** 4$, pp. 206, swd. 5s. net. (Mod. mathematical ser.). ...LONGMANS, Nov. '18",,,,Nov. '18,1918,
"Aberdeen University : Interamna Borealis, Leask (W. K.) 6s. Det ... Dec. '17",,,,,,,"Aberdeen University : Interamna Borealis, Leask (W. K.) 6s. Det ... Dec. '17",,,,,1918,
"Academy. See Royul Academy. Academy Architecture and Architectural Review, 1917–1918. Ed. by Hugh W. Martin-Kaye. Ryl. 8vo. 98 x 71, pp. 115, wd 5s. net ACADEMY ARCHITECTURE” OFFICES, Alg. '18",,,Academy,OFFICES,,8vo.,"Academy. See Royul Academy. Academy Architecture and Architectural Review, 1917–1918. Ed. by Hugh W. Martin-Kaye. Ryl. 8vo. 98 x 71, pp. 115, wd 55. net ACADEMY ARCHITECTURE” OFFICES, Alg. '18",,,,Alg. '18,1918,
"Accounts, Hire-purchase, &c., Johnson (G.) 28. rod. net ..Dec. '17",,,,,,,"Accounts, Hire-purchase, &c., Johnson (G.) 28. rod. net ..Dec. '17",,,,,1918,
"Accounts (Pu' lic), Ctte. of - Index and lige: t of evidence, Session 1917. 311. H.M. STATIONERY (FF., Oct. '17",Accounts,Pu' lic,Ctte,FF.,,,"Accounts (Pu' lic), Ctte. of - Index and lige: t of evidence, Session 1917. 311. H.M. STATIONERY (FF., Oct. '17",Pu' lic Accounts,"[""Accounts (Pu' lic)""]",,Oct. '17,1918,
"Accounts (Public) atte. ---Report, 2d. H.M. STATIONERY OFF., Aug. '18",Accounts,Public,Report,H.M. STATIONERY OFF.,2d.,,"Accounts (Public) atte. ---Report, 2d. H.M. STATIONERY OFF., Aug. '18",Public Accounts,['Accounts (Public)'],,Aug. '18,1918,
"Acetylene-Cylin es: lut usuviu au inlue: report of Dept. Ctte. 2s. H.M. STATIONERY (FF., J.'. '13",,,Acetylene-Cylin es: lut usuviu au inlue: report of Dept,FF.,,,"Acetylene-Cylin es: lut usuviu au inlue: report of Dept. Ctte. 25. H.M. STATIONERY (FF., J.'. '13",,,,J.'. '13,1918,
"Achard (L. A. E.)-Belle-Rose. 8vo. pp. 564, s, 6d. net . NELSON, Jan. '18",Achard,L. A. E.,Belle-Rose,NELSON,6d.,8vo.,"Achard (L. A. E.)-Belle-Rose. 8vo. pp. 564, IS, 6d. net . NELSON, Jan. '18",L. A. E. Achard,['Achard (L. A. E.)'],,Jan. '18,1918,net
"Acland (Mrs. Arthur H. D.)Queer beasts and magics : an experienced grandmother's tale for grandsons. Illus. by M. A. Acland and A. S. A. Cr. 8vo. 71 x 5, pp. 156, 3s. 6d net ...SiDGWICK & J., Dec. '18",Acland,Mrs. Arthur H. D.,Queer beasts and magics : an experienced grandmother's tale for grandsons,DGWICK & J.,,8vo.,"Acland (Mrs. Arthur H. D.)Queer beasts and magics : an experienced grandmother's tale for grandsons. Illus. by M. A. Acland and A. S. A. Cr. 8vo. 71 x 5, pp. 156, 35. 6d net ...SiDGWICK & J., Dec. '18",Mrs. Arthur H. D. Acland,['Acland (Mrs. Arthur H. D.)'],,Dec. '18,1918,
