,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
0,"A B C of housekeeping, Herrick (c. T.) 2s. net A B C of income tax return making. By a Lay- man. 8vo., pp. 80, 28. 6d. net (Bradford : 7a, Guy's Cliff) AUTHOR, June 15",,,"A B C of housekeeping, Herrick (c",AUTHOR,6d.,0.025,8vo.,"A B C of housekeeping, Herrick (c. T.) 25. net A B C of income tax return making. By a Lay- man. 8vo., pp. 80, 28. 6d. net (Bradford : 7a, Guy's Cliff) AUTHOR, June 15",,,,June 15,net
1,"ABC of Jolly Jack. 4to. bds. 1s. net GALE & P., Oct. 15",,,ABC of Jolly Jack,GALE & P.,1s.,0.05,4to.,"ABC of Jolly Jack. 4to. bds. Is. net GALE & P., Oct. 15",,,,Oct. 15,net
2,"ABC of our soldiers. 4to., bds. is. net GALE & P., Nov. 15",,,ABC of our soldiers,GALE & P.,,0.0,4to.,"ABC of our soldiers. 4to., bds. is. net GALE & P., Nov. 15",,,,Nov. 15,
3,"Abady (Jacques)-Clauses and precedents in electricity, gas and water legislation. 8vo., pp. 383, 15s. net ..........W. KING, Mar. 15",Abady,Jacques,"Clauses and precedents in electricity, gas and water legislation",W. KING,15s.,0.75,8vo.,"Abady (Jacques)-Clauses and precedents in electricity, gas and water legislation. 8vo., pp. 383, 155. net ..........W. KING, Mar. 15",Jacques Abady,['Abady (Jacques)'],,Mar. 15,net
4,"Abbott (Edwin A.)—The Fourfold Gospel. Sect. 3, The Proclamation of the New Kingdom. Demy 8vo., pp. 572, 12s. 6d. net CAMB. UNIV. PR., Mar. 15",Abbott,Edwin A.,The Fourfold Gospel,CAMB. UNIV. PR.,12s. 6d.,0.625,8vo.,"Abbott (Edwin A.)—The Fourfold Gospel. Sect. 3, The Proclamation of the New Kingdom. Demy 8vo., pp. 572, 125. 6d. net CAMB. UNIV. PR., Mar. 15",Edwin A. Abbott,['Abbott (Edwin A.)'],,Mar. 15,net
5,"Abbott (Edwin A.)-Miscellanea Evangelica. II, Christ's miracles of feeding. 8vo. 33. net CAMB, UNIV. PR., Aug. 15",Abbott,Edwin A.,Miscellanea Evangelica,"CAMB, UNIV. PR.",,0.0,8vo.,"Abbott (Edwin A.)-Miscellanea Evangelica. II, Christ's miracles of feeding. 8vo. 33. net CAMB, UNIV. PR., Aug. 15",Edwin A. Abbott,['Abbott (Edwin A.)'],,Aug. 15,
6,"Abbott (Lyman)--How shall we think of our dead ? 18mo., pp. 24, swd. 6d. net MELROSE, Oct. 15",Abbott,Lyman,How shall we think of our dead ?,MELROSE,6d.,0.025,18mo.,"Abbott (Lyman)--How shall we think of our dead ? 18mo., pp. 24, swd. 6d. net MELROSE, Oct. 15",Lyman Abbott,['Abbott (Lyman)'],,Oct. 15,net
7,"Abbott (Maude) ed.-Descriptive catalogue of the Medical Museum of McGill University arranged on a modified Decimal system of museum classification. Pt. 4, sec. 1, The Hæmopoietic organs. Catalogue and didactic intro., by 0. C. Gruner. Ryl. 8vo. 98 x 6], pp. 204, ios. 6d. net (Clarendon Pr.) MILFORD, July 15",Abbott,Maude,Descriptive catalogue of the Medical Museum of McGill University arranged on a modified Decimal system of museum classification,MILFORD,6d.,0.025,8vo.,"Abbott (Maude) ed.-Descriptive catalogue of the Medical Museum of McGill University arranged on a modified Decimal system of museum classification. Pt. 4, sec. 1, The Hæmopoietic organs. Catalogue and didactic intro., by 0. C. Gruner. Ryl. 8vo. 98 x 6], pp. 204, ios. 6d. net (Clarendon Pr.) MILFORD, July 15",Maude Abbott,['Abbott (Maude)'],ed.,July 15,net
8,"Abbott (P.)-Exercises in arithmetic and men- suration. Cr. 8vo., 38. 6d. w. answ. 4s. 60. LONGMANS, Jan. 15",Abbott,P.,Exercises in arithmetic and men- suration,LONGMANS,,0.0,8vo.,"Abbott (P.)-Exercises in arithmetic and men- suration. Cr. 8vo., 38. 6d. w. answ. 45. 60. LONGMANS, Jan. 15",P. Abbott,['Abbott (P.)'],,Jan. 15,
9,"Abbott (P.)- Exercises in arithmetic and mensu- ration. Re-issue. Sect. I and 2. Cr. 8vo. ea. 2s. LONGMANS, Apr. 15",Abbott,P.,Exercises in arithmetic and mensu- ration,LONGMANS,2s.,0.1,8vo.,"Abbott (P.)- Exercises in arithmetic and mensu- ration. Re-issue. Sect. I and 2. Cr. 8vo. ea. 2s. LONGMANS, Apr. 15",P. Abbott,['Abbott (P.)'],,Apr. 15,
