entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"A B C guide for attested and unattested. 32mo. 4*X3, swd. id.............LARBY, June 16",,,A B C guide for attested and unattested,LARBY,,32mo.,"A B C guide for attested and unattested. 32mo. 4*X3, swd. id.............LARBY, June 16",,,,June 16,
"A B C guide to London, 1916. Cr. 8vo. 64 x 48, swd. 4d. .LARBY, Aug. 16",,,A B C guide to London,LARBY,4d.,8vo.,"A B C guide to London, 1916. Cr. 8vo. 64 x 48, swd. 4d. .LARBY, Aug. 16",,,,Aug. 16,
"A B C of banking (The). By “L. S. D.” Cr. 8vo. 74 X 5, pp. 150, 28. 6d. net BARNICOTT & P., Jan. 16",,,A B C of banking (The),BARNICOTT & P.,6d.,8vo.,"A B C of banking (The). By “L. S. D.” Cr. 8vo. 74 X 5, pp. 150, 28. 6d. net BARNICOTT & P., Jan. 16",,,,Jan. 16,net
" A. L. Bright story readers. Grade 3. Cr. 8vo. 71 x 57, pp. 63, swd. 3d. E. J. ARNOLD, July 16",,,A. L. Bright story readers,E. J. ARNOLD,3d.,8vo.," A. L. Bright story readers. Grade 3. Cr. 8vo. 71 x 57, pp. 63, swd. 3d. E. J. ARNOLD, July 16",,,,July 16,
"A. L. Bright story readers. No. 116, The Nightingale and the bottle neck. Cr. 8vo. 77 x 51, pp. 32, swd, 2d. E. J. ARNOLD, Aug. 16",,,A. L. Bright story readers,E. J. ARNOLD,2d.,8vo.,"A. L. Bright story readers. No. 116, The Nightingale and the bottle neck. Cr. 8vo. 77 x 51, pp. 32, swd, 2d. E. J. ARNOLD, Aug. 16",,,,Aug. 16,
"Abbot (Charles Greeley)-Arequipa pyrhelio- metry. 8vo. 98 x64, pp. 24, is. net. (Smith- sonian Coll.) .WESLEY, Oct. 16",Abbot,Charles Greeley,Arequipa pyrhelio- metry,WESLEY,,8vo.,"Abbot (Charles Greeley)-Arequipa pyrhelio- metry. 8vo. 98 x64, pp. 24, is. net. (Smith- sonian Coll.) .WESLEY, Oct. 16",Charles Greeley Abbot,['Abbot (Charles Greeley)'],,Oct. 16,
"Abbot (Charles Greeley) and others On the distribution of radiation over the sun's disk and new evidences of the solar variability. ipl. 8vo. 93 X64, pp. 24, swd. is. 6d. net. (Smith- sonian Coll.) .. WESLEY, Oct. 16",Abbot,Charles Greeley,On the distribution of radiation over the sun's disk and new evidences of the solar variability,WESLEY,,8vo.,"Abbot (Charles Greeley) and others On the distribution of radiation over the sun's disk and new evidences of the solar variability. ipl. 8vo. 93 X64, pp. 24, swd. is. 6d. net. (Smith- sonian Coll.) .. WESLEY, Oct. 16",Charles Greeley Abbot,['Abbot (Charles Greeley)'],,Oct. 16,
"Abbott (Edwin A.)-Diatessarica : Part 10, The Fourfold gospel ; Section 4. The Law of the new kingdom. 8vo. 9 5, 12s. 6d. net CAMB. UNIV. PR., Mar. 16",Abbott,Edwin A.,Diatessarica : Part,CAMB. UNIV. PR.,12s. 6d.,8vo.,"Abbott (Edwin A.)-Diatessarica : Part 10, The Fourfold gospel ; Section 4. The Law of the new kingdom. 8vo. 9 5, 125. 6d. net CAMB. UNIV. PR., Mar. 16",Edwin A. Abbott,['Abbott (Edwin A.)'],,Mar. 16,net
"Abbott (James Francis)- Japanese expansion and American policies. Cr. 8vo. 78 x 58, 6s. 6d. net (N. Y.) MACMILLAN, Feb. 16",Abbott,James Francis,Japanese expansion and American policies,MACMILLAN,6s. 6d.,8vo.,"Abbott (James Francis)- Japanese expansion and American policies. Cr. 8vo. 78 x 58, 6s. 6d. net (N. Y.) MACMILLAN, Feb. 16",James Francis Abbott,['Abbott (James Francis)'],,Feb. 16,net
"Abbott (Lyman)--Reminiscences. Illus. 8vo. 9x6, pp. 528, 15s. net.. CONSTABLE, Feb. 16",Abbott,Lyman,Reminiscences,CONSTABLE,15s.,8vo.,"Abbott (Lyman)--Reminiscences. Illus. 8vo. 9x6, pp. 528, 155. net.. CONSTABLE, Feb. 16",Lyman Abbott,['Abbott (Lyman)'],,Feb. 16,net
"Abbott-Brown (C., Maj.)---How to do it: the A.S.C. subaltern's and N.C.O.'s vade mecum ; also applic. for cavalry, artillery, engineers ard infantry. 44 X 31, pp. 97, is. net F. GROOM, Aug. 16",Abbott-Brown,"C., Maj.",How to do it: the A.S.C. subaltern's and N.C.O.'s vade mecum ; also applic,F. GROOM,,,"Abbott-Brown (C., Maj.)---How to do it: the A.S.C. subaltern's and N.C.O.'s vade mecum ; also applic. for cavalry, artillery, engineers ard infantry. 44 X 31, pp. 97, is. net F. GROOM, Aug. 16","C., Maj. Abbott-Brown","['Abbott-Brown (C., Maj.)']",,Aug. 16,
"Abdullah (Achmed)-The Red stain: a story of mystery and crime. Cr. 8vo. 74 X 5, pp. 309, 6s. SIMPKIN, Sep. 16",Abdullah,Achmed,The Red stain: a story of mystery and crime,SIMPKIN,6s.,8vo.,"Abdullah (Achmed)-The Red stain: a story of mystery and crime. Cr. 8vo. 74 X 5, pp. 309, 6s. SIMPKIN, Sep. 16",Achmed Abdullah,['Abdullah (Achmed)'],,Sep. 16,
"Accounts (Public), Ctte. of, 1916—Memo. by Comptroller and Auditor-Gen. for inform. of, rid. ... WYMAN, Sept. 16",Accounts,Public,Ctte,WYMAN,,,"Accounts (Public), Ctte. of, 1916—Memo. by Comptroller and Auditor-Gen. for inform. of, rid. ... WYMAN, Sept. 16",Public Accounts,['Accounts (Public)'],,Sept. 16,
"Acland (Mrs. Arthur H. D.)-Child training. Cr. 8vo. 71 x 5, pp. 179, 1s. net SIDGWICK & J., Oct. 16",Acland,Mrs. Arthur H. D.,Child training,SIDGWICK & J.,1s.,8vo.,"Acland (Mrs. Arthur H. D.)-Child training. Cr. 8vo. 71 x 5, pp. 179, Is. net SIDGWICK & J., Oct. 16",Mrs. Arthur H. D. Acland,['Acland (Mrs. Arthur H. D.)'],,Oct. 16,net
"Acts-Index to Public General Acts, 1914-16, W. tables, &c. 7d. ..WYMAN, Feb. 16",,,Acts-Index to Public General Acts,WYMAN,7d.,,"Acts-Index to Public General Acts, 1914-16, W. tables, &c. 7d. ..WYMAN, Feb. 16",,,,Feb. 16,
"Acts Local and Private Acts, 1914-16, w. index, tables, &c. 4s. WYMAN, Aug. 16",,,Acts Local and Private Acts,WYMAN,4s.,,"Acts Local and Private Acts, 1914-16, w. index, tables, &c. 4s. WYMAN, Aug. 16",,,,Aug. 16,
"Acts—Public General Acts, 1914-16, w. index, tables, &c. 3s. WYMAN, Apr. 16",,,Acts—Public General Acts,WYMAN,3s.,,"Acts—Public General Acts, 1914-16, w. index, tables, &c. 35. WYMAN, Apr. 16",,,,Apr. 16,
"Acts-Education (Small population grants), fd.; Evidence (Amend.), d.; Increase of rent and mortgage interest (war restric.), id.; Indict- ments, 2 d.; Trading with the Enemy (Exten. of powers), įd. ; War Loan (Supp. prov.), id. Local and private : Beamish divorce, 9d. ; Clackmannan County Water Order, 38. 3d. ; Denny's divorce, 6d.; Glasgow Water Ord. Confirm., 2s. 9d.; Lincoln Corporation, 6s.; L.C.C. (Celluloid), is, 3d. ; do. (Tramways and improvements), is.gd. ; Pier and Harbour Ord. Confirm. (No. 2), 2s. 3d. ; Port Dundas Church and Parish, Quoad Sacra, Glasgow Ord. Confirm., 6d. ; Rhondda Urban Distr. Council (Tramways Exten.), 2s. 6d. ; Stalybridge, &c., Tramways and Elec. Bd., 3s. 6. WYMAN, Jan. 16",,,Increase of rent and mortgage interest (war restric,WYMAN,,,"Acts-Education (Small population grants), fd.; Evidence (Amend.), d.; Increase of rent and mortgage interest (war restric.), id.; Indict- ments, 2 d.; Trading with the Enemy (Exten. of powers), įd. ; War Loan (Supp. prov.), id. Local and private : Beamish divorce, 9d. ; Clackmannan County Water Order, 38. 3d. ; Denny's divorce, 6d.; Glasgow Water Ord. Confirm., 25. 9d.; Lincoln Corporation, 6s.; L.C.C. (Celluloid), is, 3d. ; do. (Tramways and improvements), is.gd. ; Pier and Harbour Ord. Confirm. (No. 2), 25. 3d. ; Port Dundas Church and Parish, Quoad Sacra, Glasgow Ord. Confirm., 6d. ; Rhondda Urban Distr. Council (Tramways Exten.), 25. 6d. ; Stalybridge, &c., Tramways and Elec. Bd., 35. 6. WYMAN, Jan. 16",,"['Acts-Education (Small population grants), fd.; Evidence (Amend.)']",,Jan. 16,
"Acts---Army (Suspension of sentences) Amend., jd.; Customs (War powers), id.; Military service, itd.; Munitions of War (Amend.), 2d.; Naval Forces (Service on shore), d.; Parliament and registration, d.; Trading with the Enemy Amend., Ifd. WYMAN, Feb. 16",Acts---Army,Suspension of sentences,Amend,WYMAN,,,"Acts---Army (Suspension of sentences) Amend., jd.; Customs (War powers), id.; Military service, itd.; Munitions of War (Amend.), 2d.; Naval Forces (Service on shore), d.; Parliament and registration, d.; Trading with the Enemy Amend., Ifd. WYMAN, Feb. 16",Suspension of sentences Acts---Army,['Acts---Army (Suspension of sentences)'],,Feb. 16,
"Acts-Consolidated Fund (No. 1), £d.; Naval prize (Procedure), fd.; Local and privale : Glasgow celluloid, is. 3d. ..WYMAN, Mar. 16",Acts-Consolidated Fund,No. 1,"Naval prize (Procedure), fd",WYMAN,3d.,,"Acts-Consolidated Fund (No. 1), £d.; Naval prize (Procedure), fd.; Local and privale : Glasgow celluloid, is. 3d. ..WYMAN, Mar. 16",No. 1 Acts-Consolidated Fund,['Acts-Consolidated Fund (No. 1)'],,Mar. 16,
"Acts-Army (Annual), 4d.; Consolidated Fund (No. 2), 1d.; Imperial Institute (Management), d.; Naval and military war pensions, &c. (Expenses), d.; Pacific 1slands regulations (Validation), id. ..WYMAN, Apr. 16",Acts-Army,Annual,4d,WYMAN,,,"Acts-Army (Annual), 4d.; Consolidated Fund (No. 2), Id.; Imperial Institute (Management), d.; Naval and military war pensions, &c. (Expenses), d.; Pacific Islands regulations (Validation), id. ..WYMAN, Apr. 16",Annual Acts-Army,['Acts-Army (Annual)'],,Apr. 16,
"Acts—Courts (Emerg. powers) : Amend., d; Education (Prov. of meals) : Ireland, d.; Finance (New duties), 1 d.; Local govern- ment (Energ. prov.), 2d.; Marriage (Scotland), 1d. ; Military service, 1 d. ; Summer time, fd.; War risks (Insurance by trustees), 4d. ; Army act (1885, w. Amend. to end of Sess. 5 and 6 Geo. V), is. ; Plymouth Corporation, 15s. 6d. WYMAN, May 16",,,Acts—Courts (Emerg,WYMAN,15s. 6d.,,"Acts—Courts (Emerg. powers) : Amend., d; Education (Prov. of meals) : Ireland, d.; Finance (New duties), 1 d.; Local govern- ment (Energ. prov.), 2d.; Marriage (Scotland), Id. ; Military service, 1 d. ; Summer time, fd.; War risks (Insurance by trustees), 4d. ; Army act (1885, w. Amend. to end of Sess. 5 and 6 Geo. V), is. ; Plymouth Corporation, 155. 6d. WYMAN, May 16",,,,May 16,
"Acts—British North America, Jd. ; Consolidated Fund (No. 3), įd.; Courts (Emerg. Powers), d.; Naval discipline (Delegation of powers), {d.; Aberdeen Corp. Water Ord. Confirm., 5s. ; Gas orders confirm., 3d. ...WYMAN, J une 16",,,"Acts—British North America, Jd",WYMAN,3d.,,"Acts—British North America, Jd. ; Consolidated Fund (No. 3), įd.; Courts (Emerg. Powers), d.; Naval discipline (Delegation of powers), {d.; Aberdeen Corp. Water Ord. Confirm., 55. ; Gas orders confirm., 3d. ...WYMAN, J une 16",,,,J une 16,
"Acts—Finance, 4]d ; Marriage of British subjects (facilities) amendment, d.; Nat. Insurance (Pt. 2) (Munition workers), id.; Re-election of ministers, kd.; Royal marines, fd. Local and private : Alexander's restitution, 3d. ; Cardiff Railway, 3d. ; Colonial bank, 3d. WYMAN, July 16",,,"Acts—Finance, 4]d ; Marriage of British subjects (facilities) amendment, d",WYMAN,3d.,,"Acts—Finance, 4]d ; Marriage of British subjects (facilities) amendment, d.; Nat. Insurance (Pt. 2) (Munition workers), id.; Re-election of ministers, kd.; Royal marines, fd. Local and private : Alexander's restitution, 3d. ; Cardiff Railway, 3d. ; Colonial bank, 3d. WYMAN, July 16",,,,July 16,
"Acts—Anglo-Portuguese commercial treaty, id. ; Army (Courts of inquiry), įd.; British ships (Transfer restric.), jd.; Consolidated Fund (No. 4), įd.; Elem. education (Fee grant), įd.; Expiring laws continuance, id.; Finance (Exchequer Bonds) Amendment, Jd.; Gas (Standard of calorific power), 4d.; Government of India (Amend.), 1 d.; 1sle of Man (Customs), id.; Law procedure (Emerg. prov.) (Ireland), d. ; Merchant shipping (Salvage), id. ; Muni- cipal savings banks (War Loan invest.), jd.; Output of beer (Restric.), id.; Parliament and local elections, id.; Police, factories, &c. (Misc. prov.), itd.; Public works loans, įd.; Small holding colonies, id.; Special Cominis- sions (Dardanelles and Mesopotamia), d.; Telegraph (Construction), įd.; Time (Ireland), d. ; Trading with the Enemy (Copyright), 1d.; War charities, Ild. Local and private : Burnley Corporation, 9d. ; City of Dublin Steam Packet Company, 6d.; Edinburgh Corporation Ord. Confirm., 3s. 30.; Electric Lighting Ord. Confirm., 6d.; Halifax Corporation Act Prov. Ord. Confirm., 3d.; Imperial Continental Gas Association, gd.; Land drainage (Feltwell) Prov. Ord. Confirm., 6d.; Local Gov. Board's Prov. Ord. Confirm., No. 1, 9d. ; do., No. 2, s. ; do., No. 4, 9d.; do., No. 6, 6d.; Local Govt. Board (Ireland) Prov. Ord. Confirm. No. 1, 3d.; do., (Gas), 6d.; Metropolitan Electric Tram- ways, 6d.; Plymouth and Stonehouse gas, s. 3d. ; Prov. Ord. (Marriages) Confirm., 3d. ; Swansea Harbour, 6d.; Weston-super-Mare Grand Pier, gd. .. WYMAN, Aug. 16",,,"Acts—Anglo-Portuguese commercial treaty, id. ; Army (Courts of inquiry), įd",WYMAN,,,"Acts—Anglo-Portuguese commercial treaty, id. ; Army (Courts of inquiry), įd.; British ships (Transfer restric.), jd.; Consolidated Fund (No. 4), įd.; Elem. education (Fee grant), įd.; Expiring laws continuance, id.; Finance (Exchequer Bonds) Amendment, Jd.; Gas (Standard of calorific power), 4d.; Government of India (Amend.), 1 d.; Isle of Man (Customs), id.; Law procedure (Emerg. prov.) (Ireland), d. ; Merchant shipping (Salvage), id. ; Muni- cipal savings banks (War Loan invest.), jd.; Output of beer (Restric.), id.; Parliament and local elections, id.; Police, factories, &c. (Misc. prov.), itd.; Public works loans, įd.; Small holding colonies, id.; Special Cominis- sions (Dardanelles and Mesopotamia), d.; Telegraph (Construction), įd.; Time (Ireland), d. ; Trading with the Enemy (Copyright), Id.; War charities, Ild. Local and private : Burnley Corporation, 9d. ; City of Dublin Steam Packet Company, 6d.; Edinburgh Corporation Ord. Confirm., 3s. 30.; Electric Lighting Ord. Confirm., 6d.; Halifax Corporation Act Prov. Ord. Confirm., 3d.; Imperial Continental Gas Association, gd.; Land drainage (Feltwell) Prov. Ord. Confirm., 6d.; Local Gov. Board's Prov. Ord. Confirm., No. 1, 9d. ; do., No. 2, IS. ; do., No. 4, 9d.; do., No. 6, 6d.; Local Govt. Board (Ireland) Prov. Ord. Confirm. No. 1, 3d.; do., (Gas), 6d.; Metropolitan Electric Tram- ways, 6d.; Plymouth and Stonehouse gas, IS. 3d. ; Prov. Ord. (Marriages) Confirm., 3d. ; Swansea Harbour, 6d.; Weston-super-Mare Grand Pier, gd. .. WYMAN, Aug. 16",,,,Aug. 16,
"Acts—Local and private : Alexandra (Newport and S. Wales) Docks and Railway, gd. ; Canada Co., 39. 6d. ; Clayton Aniline Co., Ltd. (Railways), 2s. 6d. ; Craven Estates, 23. 9d. ; Land Drainage (Lilleshall) Prov. Ord. Confirm., 3d.; L. G. Bd.'s Prov. Ord. Confirm. No. 3, 1s. 6d.; do., No. 5, 1s. 6d. ; do., No. 7, 6d. ; L. G. Bd. (Ireland) Prov. Ord. Confirm., No. 2, 6d.; L. C.C. (Money), gd. ; South Metropolitan Gas, is. . WYMAN, Sep. 16",,,"Acts—Local and private : Alexandra (Newport and S. Wales) Docks and Railway, gd",WYMAN,,,"Acts—Local and private : Alexandra (Newport and S. Wales) Docks and Railway, gd. ; Canada Co., 39. 6d. ; Clayton Aniline Co., Ltd. (Railways), 25. 6d. ; Craven Estates, 23. 9d. ; Land Drainage (Lilleshall) Prov. Ord. Confirm., 3d.; L. G. Bd.'s Prov. Ord. Confirm. No. 3, Is. 6d.; do., No. 5, Is. 6d. ; do., No. 7, 6d. ; L. G. Bd. (Ireland) Prov. Ord. Confirm., No. 2, 6d.; L. C.C. (Money), gd. ; South Metropolitan Gas, is. . WYMAN, Sep. 16",,,,Sep. 16,
