entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Abbotsford. Painted by William Smith, Junr., Described by W. S. Crockett. With 20 full-page illustrations in colour. 8vo. 9 x 64, pp. 236, 78. 6d. ...BLACK, July 05",,,Abbotsford,BLACK,6d.,8vo.,"Abbotsford. Painted by William Smith, Junr., Described by W. S. Crockett. With 20 full-page illustrations in colour. 8vo. 9 x 64, pp. 236, 78. 6d. ...BLACK, July 05",,,,July 05,1905,
"ABC Pocket Atlas-Guide to London. 3rd rev. edit. 12mo. swd. 1s.............G. PHILIP, Aug. 05",,,ABC Pocket Atlas-Guide to London,G. PHILIP,1s.,12mo.,"ABC Pocket Atlas-Guide to London. 3rd rev. edit. 12mo. swd. 1s.............G. PHILIP, Aug. 05",,,,Aug. 05,1905,
"Academy Architecture and Architectural Review. Vol. 27, 190s. Edit. by Alex. Koch. 4to. 4s. 10d. net; swd. 4s. net.....................SIMPKIN, July 05",,,Academy Architecture and Architectural Review,SIMPKIN,4s.,4to.,"Academy Architecture and Architectural Review. Vol. 27, 1905. Edit. by Alex. Koch. 4to. 4s. 10d. net; swd. 4s. net.....................SIMPKIN, July 05",,,,July 05,1905,net
"A.C.P. and L.C.P. Questions in Theory and Prac- tice of Education. Normal Reprint. 6 years. Cr. 8vo. swd. 1s. net (Normal Tut. Series) SIMPKIN, Jan. 05",,,A.C.P. and L.C.P. Questions in Theory and Prac- tice of Education,SIMPKIN,1s.,8vo.,"A.C.P. and L.C.P. Questions in Theory and Prac- tice of Education. Normal Reprint. 6 years. Cr. 8vo. swd. 1s. net (Normal Tut. Series) SIMPKIN, Jan. 05",,,,Jan. 05,1905,net
"Birthday book. 12mo. ..HILLS, May 05",,,Birthday book,HILLS,,12mo.,"Birthday book. 12mo. ..HILLS, May 05",,,,May 05,1905,
"Across the Far Blue Hills. 2s. 6d. net. Across the Plains, Stevenson net Act-Alexandra Park and Palace, 3d. WYMAN, July 05",,,Across the Far Blue Hills,WYMAN,3d.,,"Across the Far Blue Hills. 2s. 6d. net. Across the Plains, Stevenson net Act-Alexandra Park and Palace, 3d. WYMAN, July 05",,,,July 05,1905,
"Act as to Consolidated Fund (No. 2). 190s. d. WYMAN, July 05",,,Act as to Consolidated Fund ,WYMAN,,,"Act as to Consolidated Fund (No. 2). 1905. d. WYMAN, July 05",,,,July 05,1905,
"Act-Mr. Speaker's Retirement, d. WYMAN, July 05",,,Act-Mr,WYMAN,,,"Act-Mr. Speaker's Retirement, d. WYMAN, July 05",,,,July 05,1905,
"Acts as to Inebriates: Extr. from Inspector's Report, 6d............ WYMAN, Sep. 05",,,Acts as to Inebriates: Extr,WYMAN,6d.,,"Acts as to Inebriates: Extr. from Inspector's Report, 6d............ WYMAN, Sep. 05",,,,Sep. 05,1905,
"Acts as to Inebriates: Report of Inspector, 1s. 6d. WYMAN, July 05",,,Acts as to Inebriates: Report of Inspector,WYMAN,1s. 6d.,,"Acts as to Inebriates: Report of Inspector, 1s. 6d. WYMAN, July 05",,,,July 05,1905,
"Acts as to Prosecution of Offences, 1879 and 1884: Working of Regulations, 4 d. Acts: Local Government Board's Provisional Orders Con- firmation, Nos. 1, 2, and 3, for 1s. 8d. WYMAN, July 05",,,Acts as to Prosecution of Offences,WYMAN,1s. 8d.,,"Acts as to Prosecution of Offences, 1879 and 1884: Working of Regulations, 4 d. Acts: Local Government Board's Provisional Orders Con- firmation, Nos. 1, 2, and 3, for 1s. 8d. WYMAN, July 05",,,,July 05,1905,
"Acts as to Workmen's Compensation: Statistics of Proceedings under, 44d.; Tramways, Proceed- ing under, 1d.; Grangemouth Waterworks and Burgh Extension Order Confirmation, 1s. 6d.; Arbroath Corporation Water Order Confirmation, 1s.; L.C.C., Gen. Powers, 2s. 6d.; Gas, Epping, 1s. 6d., Wrexham, 1s. 6d. .WYMAN, Sep. 05",,,Acts as to Workmen's Compensation: Statistics of Proceedings under,WYMAN,1s. 6d.,,"Acts as to Workmen's Compensation: Statistics of Proceedings under, 44d.; Tramways, Proceed- ing under, 1d.; Grangemouth Waterworks and Burgh Extension Order Confirmation, 1s. 6d.; Arbroath Corporation Water Order Confirmation, 1s.; L.C.C., Gen. Powers, 2s. 6d.; Gas, Epping, 1s. 6d., Wrexham, 1s. 6d. .WYMAN, Sep. 05",,,,Sep. 05,1905,
"Acts-Baker Street and Waterloo Railway, 1s. 9d.; Malvern Water, 2s. 6d.; Barrymore Estate, 1s. 3d.; Electric Lighting Orders Confirmation (No. 6), 2s. 3d.; North British Railway (General Powers), 2s. 8d.; Blackpool Improvement, 2s. 9d.; Halifax Corporation, 2s. 3d.; Bristol Corporation, 2s. 6d.; Corbett Estate, 2s. 8d.; Acton Sewage, 8s. 8d......... WYMAN, Dec. 05",,,Acts-Baker Street and Waterloo Railway,WYMAN,8s. 8d.,,"Acts-Baker Street and Waterloo Railway, 1s. 9d.; Malvern Water, 2s. 6d.; Barrymore Estate, 1s. 3d.; Electric Lighting Orders Confirmation (No. 6), 2s. 3d.; North British Railway (General Powers), 2s. 8d.; Blackpool Improvement, 2s. 9d.; Halifax Corporation, 2s. 3d.; Bristol Corporation, 2s. 6d.; Corbett Estate, 2s. 8d.; Acton Sewage, 8s. 8d......... WYMAN, Dec. 05",,,,Dec. 05,1905,
"Acts-Central Electric Supply Company, 6d. Education Board Provisional Orders Confirma- tion (Liverpool, &c.), 9d. ............ WYMAN, Oct. 05",,,Acts-Central Electric Supply Company,WYMAN,9d.,,"Acts-Central Electric Supply Company, 6d. Education Board Provisional Orders Confirma- tion (Liverpool, &c.), 9d. ............ WYMAN, Oct. 05",,,,Oct. 05,1905,
"Acts-Colne Corporation, 3s. 9d.; Hythe Corpo- ration, 2s. 8d.; Llandrindod Wells Urban Dis- trict Council, 18. 8d.; Gas and Water Orders Confirmation (No. 2), 3s.; Ilfracombe Harbour and Improvement, 3s. 9d.; Lantour's Divorce, 6d.; Malone's Divorce, 8d.; Donovan's Divorce, 8d.; McConnell's Divorce, 6d.; Earl of Stam- ford's Cheshire Estate, 1s. 9d.; Rhondda Urban District Council, 2s. 3d.; Morley Corporation, 8s.; Newry Keady and Tynan Light Railway, 1s. 6d.; L. & N.-W. Railway, 2s. 8d.; N.-E. Railway, 3s.; Workington Harbour and Dock, 2s. 6d.; Humber Conservancy, 1s. 9d.; Accrington Corporation, 6s.; Formby Urban District Council, 1s. 6d. ; Southend and Colchester Light Railways, 2s. 3d.; Caledonian Railway, 3s. WYMAN, Nov. 05",,,Acts-Colne Corporation,WYMAN,3s.,,"Acts-Colne Corporation, 3s. 9d.; Hythe Corpo- ration, 2s. 8d.; Llandrindod Wells Urban Dis- trict Council, 18. 8d.; Gas and Water Orders Confirmation (No. 2), 3s.; Ilfracombe Harbour and Improvement, 3s. 9d.; Lantour's Divorce, 6d.; Malone's Divorce, 8d.; Donovan's Divorce, 8d.; McConnell's Divorce, 6d.; Earl of Stam- ford's Cheshire Estate, 1s. 9d.; Rhondda Urban District Council, 2s. 3d.; Morley Corporation, 8s.; Newry Keady and Tynan Light Railway, 1s. 6d.; L. & N.-W. Railway, 2s. 8d.; N.-E. Railway, 3s.; Workington Harbour and Dock, 2s. 6d.; Humber Conservancy, 1s. 9d.; Accrington Corporation, 6s.; Formby Urban District Council, 1s. 6d. ; Southend and Colchester Light Railways, 2s. 3d.; Caledonian Railway, 3s. WYMAN, Nov. 05",,,,Nov. 05,1905,
"Acts-Croydon Corporation, 1s. 9d.; Birmingham Corporation, 2s. 6d.; Truro Water, 18. 8d.; East Cowes Gas, 1s. 9d.; Mexborough and Swinton Tramways, 9d.; South Wales Electrical Power Distribution Company, 1s. 8d.; Electric Light- ing Orders Confir. (No. 7), 1s. 6d. WYMAN, Sep. 05",,,Acts-Croydon Corporation,WYMAN,1s. 6d.,,"Acts-Croydon Corporation, 1s. 9d.; Birmingham Corporation, 2s. 6d.; Truro Water, 18. 8d.; East Cowes Gas, 1s. 9d.; Mexborough and Swinton Tramways, 9d.; South Wales Electrical Power Distribution Company, 1s. 8d.; Electric Light- ing Orders Confir. (No. 7), 1s. 6d. WYMAN, Sep. 05",,,,Sep. 05,1905,
"Acts-Edgware and Hampstead Railway, 18.; Electric Lighting Orders Confirmation, No. 4, 1s. 9d.; No. 9, 2s. 9d.; Clifton Improvement, 8s. 3d.; Metropolitan Electric Supply Company (Various Powers), 1s. 6d.; Ribble Navigation, 9d.; Dublin United Tramways, 9d.; Swansea Water, 1s.; Seaham Gas, 18. 6d.; Glasgow Corporation Order Conf., 2s. 9d.; Tramway Orders Conf., No. 1, 48.; No. 2, 28. 9d.; Paisley Tramway O. C., 1s. 9d. WYMAN, Nov. 05",,,Acts-Edgware and Hampstead Railway,WYMAN,1s. 9d.,,"Acts-Edgware and Hampstead Railway, 18.; Electric Lighting Orders Confirmation, No. 4, 1s. 9d.; No. 9, 2s. 9d.; Clifton Improvement, 8s. 3d.; Metropolitan Electric Supply Company (Various Powers), 1s. 6d.; Ribble Navigation, 9d.; Dublin United Tramways, 9d.; Swansea Water, 1s.; Seaham Gas, 18. 6d.; Glasgow Corporation Order Conf., 2s. 9d.; Tramway Orders Conf., No. 1, 48.; No. 2, 28. 9d.; Paisley Tramway O. C., 1s. 9d. WYMAN, Nov. 05",,,,Nov. 05,1905,
"Acts-Gamble's Divorce, 6d.; Great Central Railway (Pension Fund), 1s. 8d.; Gas and Water Orders Confirmation (No. 1), 2s. 8d. WYMAN, Nov. 05",,,Acts-Gamble's Divorce,WYMAN,2s. 8d.,,"Acts-Gamble's Divorce, 6d.; Great Central Railway (Pension Fund), 1s. 8d.; Gas and Water Orders Confirmation (No. 1), 2s. 8d. WYMAN, Nov. 05",,,,Nov. 05,1905,
"Acts-Great Northern, Piccadilly and Brompton Railway (Various Powers), 3s. 6d.; North Metro- politan Electric Power Supply, 9d.; Worcester- shire County Council (Bridges), 6d.; South Bar- racas (Buenos Ayres) Gas and Coke Co. Ltd., 3d. WYMAN, Oct. 05",,,"Acts-Great Northern, Piccadilly and Brompton Railway (Various Powers)",WYMAN,3d.,,"Acts-Great Northern, Piccadilly and Brompton Railway (Various Powers), 3s. 6d.; North Metro- politan Electric Power Supply, 9d.; Worcester- shire County Council (Bridges), 6d.; South Bar- racas (Buenos Ayres) Gas and Coke Co. Ltd., 3d. WYMAN, Oct. 05",,,,Oct. 05,1905,
"Acts-Hitchin and District Gas, 28.; Bangor (County Down) Water and Improvement, 8s. 9d.; Shropshire, Worcestershire, and Staffordshire Electric Power, 1s. 3d.; Midland Railway, 2s.; County of London Electric Supply Company's, 1s.; Gas Orders Confirmation, 3s. 9d.; Esk Valley Power-Gas Order Confirmation, 3s. 3d.; Pier and Harbour Order Confirmation (No. 8), WYMAN, Nov. 05",,,Acts-Hitchin and District Gas,WYMAN,,,"Acts-Hitchin and District Gas, 28.; Bangor (County Down) Water and Improvement, 8s. 9d.; Shropshire, Worcestershire, and Staffordshire Electric Power, 1s. 3d.; Midland Railway, 2s.; County of London Electric Supply Company's, 1s.; Gas Orders Confirmation, 3s. 9d.; Esk Valley Power-Gas Order Confirmation, 3s. 3d.; Pier and Harbour Order Confirmation (No. 8), WYMAN, Nov. 05",,,,Nov. 05,1905,
"Acts, Local and Private, passed in 1904; Table, with Index. 7s. WYMAN, Mar. 05",,,"Acts, Local and Private, passed in",WYMAN,7s.,,"Acts, Local and Private, passed in 1904; Table, with Index. 7s. WYMAN, Mar. 05",,,,Mar. 05,1905,
"Acts-London United Tramways, 8d.; Electric Lighting Order Confirmation (2), 1905, 6d. WYMAN, Aug. 05",,,Acts-London United Tramways,WYMAN,6d.,,"Acts-London United Tramways, 8d.; Electric Lighting Order Confirmation (2), 1905, 6d. WYMAN, Aug. 05",,,,Aug. 05,1905,
"Acts-Marylebone Chapels &c., 6d. ; Cordoba and Rosario Railway, 6d.; Local Government Board Provisional Orders Confirmation (No. 5), 1s. WYMAN, Aug. 05",,,Acts-Marylebone Chapels &c,WYMAN,1s.,,"Acts-Marylebone Chapels &c., 6d. ; Cordoba and Rosario Railway, 6d.; Local Government Board Provisional Orders Confirmation (No. 5), 1s. WYMAN, Aug. 05",,,,Aug. 05,1905,
"Acts-Metropolitan Electric Supply Company (Acton District), 6d.; University of Sheffield, 6d.; South Lancashire Tramways, 3d. WYMAN, Oct. 05",,,Acts-Metropolitan Electric Supply Company (Acton District),WYMAN,3d.,,"Acts-Metropolitan Electric Supply Company (Acton District), 6d.; University of Sheffield, 6d.; South Lancashire Tramways, 3d. WYMAN, Oct. 05",,,,Oct. 05,1905,
"Acts-Metropolitan Electric Tramways, 2s.; Tees Valley Water, 6d....... .WYMAN, Oct. 05",,,Acts-Metropolitan Electric Tramways,WYMAN,6d.,,"Acts-Metropolitan Electric Tramways, 2s.; Tees Valley Water, 6d....... .WYMAN, Oct. 05",,,,Oct. 05,1905,
"Acts-Metropolitan Railway, 1s.; Loughborough Corporation, 1s.; University College, London (Transfer), 18.; Accrington District Gas and Water Board, 1s. 3d.; Local Government Board's Provisional Orders Confirmation (No. 8), 1s. 8d.; (No. 12), 2s. 6d. ; (No. 18), 2s. 3d.; Rhymney Railway, 1s. 3d.. .WYMAN, Oct. 05",,,Acts-Metropolitan Railway,WYMAN,1s. 3d.,,"Acts-Metropolitan Railway, 1s.; Loughborough Corporation, 1s.; University College, London (Transfer), 18.; Accrington District Gas and Water Board, 1s. 3d.; Local Government Board's Provisional Orders Confirmation (No. 8), 1s. 8d.; (No. 12), 2s. 6d. ; (No. 18), 2s. 3d.; Rhymney Railway, 1s. 3d.. .WYMAN, Oct. 05",,,,Oct. 05,1905,
"Acts-Metropolitan and Great Central Railway Companies, 9d.; Great Northern Railway (Ire- land), 9d.; Hastings Tramways, 1s. 6d.; Oldham and Saddleworth District Tramways, 18.; North Sussex Gas, 9d.; Aylesbury Gas, 2s.; Skegness Water, 2s. 8d.; Electric Lighting Orders Conf. (No. 5), 28. 8d.; Pier and Harbour Orders Conf. (No. 2), 2s. 8d.: Millport Piers and Burgh Exten- sion Order Conf., 38.; Sandgate Urban District Council (Sanitary Powers), 18.; Norwich Union Life Insurance Society, 28.; Croydon Gas, 18. 9d.; Woolwich Borough Council, 18.; South Oxford- shire Water and Gas, 2s. 9d.; Charing Cross and Hampstead Railway, 1s.; Bootle Corporation, 18. 6d.; Hessle Gas, 2s. WYMAN, Nov. 05",,,Acts-Metropolitan and Great Central Railway Companies,WYMAN,2s.,,"Acts-Metropolitan and Great Central Railway Companies, 9d.; Great Northern Railway (Ire- land), 9d.; Hastings Tramways, 1s. 6d.; Oldham and Saddleworth District Tramways, 18.; North Sussex Gas, 9d.; Aylesbury Gas, 2s.; Skegness Water, 2s. 8d.; Electric Lighting Orders Conf. (No. 5), 28. 8d.; Pier and Harbour Orders Conf. (No. 2), 2s. 8d.: Millport Piers and Burgh Exten- sion Order Conf., 38.; Sandgate Urban District Council (Sanitary Powers), 18.; Norwich Union Life Insurance Society, 28.; Croydon Gas, 18. 9d.; Woolwich Borough Council, 18.; South Oxford- shire Water and Gas, 2s. 9d.; Charing Cross and Hampstead Railway, 1s.; Bootle Corporation, 18. 6d.; Hessle Gas, 2s. WYMAN, Nov. 05",,,,Nov. 05,1905,
"Acts-Nottingham Corporation, 2s. 3d.; Great Northern Railway, 1s. 9d.; Ealing Corpora- tion, 8s.; Great Western Railway, 68. 9d.; G.W.R. Add. Povers, 6s. 9d.; Gosport and Fare- ham Tramways, 1s. 3d.; Southport, Birkdale, and West Lancashire Water Board, 1s. 9d.; Little- hampton Urban District Council (Arun Bridge), 8s. 8d.; Matlock Bath Impr., 2s. 6d.; Rotherham, Maltby, and Loughton Railway, 2s. 9d. WYMAN, Dec. 05",,,Acts-Nottingham Corporation,WYMAN,2s. 9d.,,"Acts-Nottingham Corporation, 2s. 3d.; Great Northern Railway, 1s. 9d.; Ealing Corpora- tion, 8s.; Great Western Railway, 68. 9d.; G.W.R. Add. Povers, 6s. 9d.; Gosport and Fare- ham Tramways, 1s. 3d.; Southport, Birkdale, and West Lancashire Water Board, 1s. 9d.; Little- hampton Urban District Council (Arun Bridge), 8s. 8d.; Matlock Bath Impr., 2s. 6d.; Rotherham, Maltby, and Loughton Railway, 2s. 9d. WYMAN, Dec. 05",,,,Dec. 05,1905,
"Acts of Privy Council: 1599-1600. 10s. WYMAN, Nov. 05",,,Acts of Privy Council:,WYMAN,10s.,,"Acts of Privy Council: 1599-1600. 10s. WYMAN, Nov. 05",,,,Nov. 05,1905,
"Acts, Public General, of 1905, with Index, &c. 6s.; Mansfield Corporation, 2s. 6d.; Clyde Navi- gation (Constitution), 9d.; Education Board Provisional Order Confirmation (London, No. 2), 3d.; Great Central Railway, 3s. 9d.; Heckmond- wike Improvement, 3s. 6d.; Fraserburgh Har- bour, 1s.; London Government Scheme (London and Middlesex Adjustment) Confirmation, 9d.; Education Board Provisional Order Confirma- tion (London, No. 1), 1s.; Local Government Board's Provisional Orders Confirmation (No. 17), 1s.; Whitechapel and Bow Railway, 9d.; London Government Scheme (Hackney and Edmonton Unions Adjustment) Confirmation, 6d.; Western Valleys (Mons.) Water and Gas (Amendment), 6d. WYMAN, Oct. 05",,,"Acts, Public General, of",WYMAN,6d.,,"Acts, Public General, of 1905, with Index, &c. 6s.; Mansfield Corporation, 2s. 6d.; Clyde Navi- gation (Constitution), 9d.; Education Board Provisional Order Confirmation (London, No. 2), 3d.; Great Central Railway, 3s. 9d.; Heckmond- wike Improvement, 3s. 6d.; Fraserburgh Har- bour, 1s.; London Government Scheme (London and Middlesex Adjustment) Confirmation, 9d.; Education Board Provisional Order Confirma- tion (London, No. 1), 1s.; Local Government Board's Provisional Orders Confirmation (No. 17), 1s.; Whitechapel and Bow Railway, 9d.; London Government Scheme (Hackney and Edmonton Unions Adjustment) Confirmation, 6d.; Western Valleys (Mons.) Water and Gas (Amendment), 6d. WYMAN, Oct. 05",,,,Oct. 05,1905,
"Acts-South Suburban Gas, 8d.; Brentwood Gas, 18. 9d.; Commercial Union Assurance Company, 18. 9d.; Mortgage Insurance Corporation, 18.; Local Government Board's Provisional Orders Confirmation (No. 4), 1s. 3d.; Great Eastern Rail- way, 1s. 3d.; Berkhampstead Gas, 2s. 6d. WYMAN, Sep. 05",,,Acts-South Suburban Gas,WYMAN,2s. 6d.,,"Acts-South Suburban Gas, 8d.; Brentwood Gas, 18. 9d.; Commercial Union Assurance Company, 18. 9d.; Mortgage Insurance Corporation, 18.; Local Government Board's Provisional Orders Confirmation (No. 4), 1s. 3d.; Great Eastern Rail- way, 1s. 3d.; Berkhampstead Gas, 2s. 6d. WYMAN, Sep. 05",,,,Sep. 05,1905,
"Acts -Southampton and Winchester Great Western Junction Railway (Abandonment), 8d.; Holy Trinity, Portsea, 1905, 8d. WYMAN, July 05",,,Acts -Southampton and Winchester Great Western Junction Railway (Abandonment),WYMAN,8d.,,"Acts -Southampton and Winchester Great Western Junction Railway (Abandonment), 8d.; Holy Trinity, Portsea, 1905, 8d. WYMAN, July 05",,,,July 05,1905,
"Acts-Stockport Corporation, 1s. 9d.; Thames Conservancy, 6d.; Clyde Navigation, 1s. 8d.; Glasgow University Order Confirmation, 6d. ; Otley Improvement, 8s. ....... .WYMAN, Oct. 05",,,Acts-Stockport Corporation,WYMAN,8s.,,"Acts-Stockport Corporation, 1s. 9d.; Thames Conservancy, 6d.; Clyde Navigation, 1s. 8d.; Glasgow University Order Confirmation, 6d. ; Otley Improvement, 8s. ....... .WYMAN, Oct. 05",,,,Oct. 05,1905,
"Acts-Weaver Navigation, 6d.; Local Govern- ment Board's Provisional Orders Confirmation (No. 11), 2s. 6d.; Glasgow Corporation (Tram- ways Consolidation) Order Confirmation, 58. WYMAN, Nov. 05",,,Acts-Weaver Navigation,WYMAN,,,"Acts-Weaver Navigation, 6d.; Local Govern- ment Board's Provisional Orders Confirmation (No. 11), 2s. 6d.; Glasgow Corporation (Tram- ways Consolidation) Order Confirmation, 58. WYMAN, Nov. 05",,,,Nov. 05,1905,
"Acts-Wemyss Tramways Confirmation, 8s. ; Whitby Urban District Council, 28. 3d.; New- castle-upon-Tyne Corporation Tolls, 1s. ; Aberdare Urban District Council, 1s. 6d.; Andover Light and Power, 28. 8d. WYMAN, Nov. 05",,,Acts-Wemyss Tramways Confirmation,WYMAN,8d.,,"Acts-Wemyss Tramways Confirmation, 8s. ; Whitby Urban District Council, 28. 3d.; New- castle-upon-Tyne Corporation Tolls, 1s. ; Aberdare Urban District Council, 1s. 6d.; Andover Light and Power, 28. 8d. WYMAN, Nov. 05",,,,Nov. 05,1905,
"Addison's Essays from the 'Spectator.' With Explanatory Notes. New Edit. Cr. 8vo. 7 × 41, pp. 592, 2s. 6d. .ROUTLEDGE, Oct. 05",,,Addison's Essays from the 'Spectator,ROUTLEDGE,2s. 6d.,8vo.,"Addison's Essays from the 'Spectator.' With Explanatory Notes. New Edit. Cr. 8vo. 7 × 41, pp. 592, 2s. 6d. .ROUTLEDGE, Oct. 05",,,,Oct. 05,1905,
"Admiralty: Distribution of Business, 1d.; Cruisers not Struck off Effective List, d. WYMAN, Mar. 05",,,Admiralty: Distribution of Business,WYMAN,,,"Admiralty: Distribution of Business, 1d.; Cruisers not Struck off Effective List, d. WYMAN, Mar. 05",,,,Mar. 05,1905,
"Aeschylus-Chophore. Transl. by W. Headlam. 12mo. swd. 1s. .....BELL, Oct. 05",,,Aeschylus-Chophore,BELL,1s.,12mo.,"Aeschylus-Chophore. Transl. by W. Headlam. 12mo. swd. 1s. .....BELL, Oct. 05",,,,Oct. 05,1905,
"Aeschylus-Prometheus Bound. Edit., intro., transl., notes, by Janet Case. 16mo. 5×4, pp. 140, 18. net; lthr. 1s. 6d. net (Temple Dramatists) ...DENT, Jan. 05",,,Aeschylus-Prometheus Bound,DENT,1s. 6d.,16mo.,"Aeschylus-Prometheus Bound. Edit., intro., transl., notes, by Janet Case. 16mo. 5×4, pp. 140, 18. net; lthr. 1s. 6d. net (Temple Dramatists) ...DENT, Jan. 05",,,,Jan. 05,1905,net
"Africa-(British Central) Protectorate; General Information. 6d............... ..WYMAN, Sep. 05",,,Africa-(British Central) Protectorate; General Information,WYMAN,6d.,,"Africa-(British Central) Protectorate; General Information. 6d............... ..WYMAN, Sep. 05",,,,Sep. 05,1905,
"Africa, East--Report on Cotton-Growing. 2 d. WYMAN, Mar. 05",,,"Africa, East--Report on Cotton-Growing",WYMAN,,,"Africa, East--Report on Cotton-Growing. 2 d. WYMAN, Mar. 05",,,,Mar. 05,1905,
"Africa, South-Chemical, Metallurgical, and Mining Society Proceedings, with Appendix. May 1902-June 1908. Vol. 3. 8vo. 21s. net R. W. HUNTER, Oct. 05",,,"Africa, South-Chemical, Metallurgical, and Mining Society Proceedings, with Appendix",R. W. HUNTER,21s.,8vo.,"Africa, South-Chemical, Metallurgical, and Mining Society Proceedings, with Appendix. May 1902-June 1908. Vol. 3. 8vo. 21s. net R. W. HUNTER, Oct. 05",,,,Oct. 05,1905,net
