,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
16,"Camberwell and other Metropolitan Borough Councils (Superannuation), is. 3d. ; Argentine North Eastern Railway Company, Limited, gd. ; Interoccanic Railway of Mexico (Acapulco to Vera Cruz), Limited, 6d. ; Dublin and South Eastern Railway, gd. ; Derby Gas, is. 3d. WYMAN, Sep. 08",,,"Camberwell and other Metropolitan Borough Councils (Superannuation), is",WYMAN,3d.,0.0125,,"Camberwell and other Metropolitan Borough Councils (Superannuation), is. 3d. ; Argentine North Eastern Railway Company, Limited, gd. ; Interoccanic Railway of Mexico (Acapulco to Vera Cruz), Limited, 6d. ; Dublin and South Eastern Railway, gd. ; Derby Gas, is. 3d. WYMAN, Sep. 08",,,,Sep. 08,
17,"Acts-Holderness Water, 4s. 30.; Glasgow Cor- poration, 6cl. ; Pier and Harbour Confirmation (No. 3), 6d.; Local Government Board's Provisional Orders Confirmation (No. 1), (No. 8), 6d, each ; Blaydon and Ryton Water (Transfer), 30.; Cambrian Railways (Debenture Stock), 61. ; Northern Assurance, 2s. 3d.; Leith Harbour and Docks Order Confirmation, 29. 3d. ; Rochester Bridge, gd.; Huddersfield Water, is. ; Cardiff Railway, is. ; Metropolitan Police Provisional Order Confira mation, 3d.; Edinburgh Corporation (Tram- ways, &c.) Order Confirmation, 9d. ; Tramways Order Confirmation (No. 1), 3d. WYMAN, Sep.08",,,Acts-Holderness Water,WYMAN,3d.,0.0125,,"Acts-Holderness Water, 4s. 30.; Glasgow Cor- poration, 6cl. ; Pier and Harbour Confirmation (No. 3), 6d.; Local Government Board's Provisional Orders Confirmation (No. 1), (No. 8), 6d, each ; Blaydon and Ryton Water (Transfer), 30.; Cambrian Railways (Debenture Stock), 61. ; Northern Assurance, 25. 3d.; Leith Harbour and Docks Order Confirmation, 29. 3d. ; Rochester Bridge, gd.; Huddersfield Water, is. ; Cardiff Railway, is. ; Metropolitan Police Provisional Order Confira mation, 3d.; Edinburgh Corporation (Tram- ways, &c.) Order Confirmation, 9d. ; Tramways Order Confirmation (No. 1), 3d. WYMAN, Sep.08",,,,Sep.08,
18,"Acts-Local Government Board (Ireland) Pro. visional Order Confirmation (No. 4), 30. ; Commons Regulation (Towyn Trewan) Pro- visional Order, 6d. . WYMAN, Oct. 03 Act-London County Council (General Powers), 28. gd. WYMAN, Oct. 08",Acts-Local Government Board,Ireland,Pro,WYMAN,,0.0,,"Acts-Local Government Board (Ireland) Pro. visional Order Confirmation (No. 4), 30. ; Commons Regulation (Towyn Trewan) Pro- visional Order, 6d. . WYMAN, Oct. 03 Act-London County Council (General Powers), 28. gd. WYMAN, Oct. 08",Ireland Acts-Local Government Board,['Acts-Local Government Board (Ireland)'],,Oct. 08,
19,"Acts-London County Council (Tramways and Improvements), 2s. 6d. ; Local Government Board's Provisional Orders Confirmation, (No. 4), is. WYMAN, Oct. 08",Acts-London County Council,Tramways,2s,WYMAN,,0.0,,"Acts-London County Council (Tramways and Improvements), 25. 6d. ; Local Government Board's Provisional Orders Confirmation, (No. 4), is. WYMAN, Oct. 08",Tramways Acts-London County Council,"['Acts-London County Council (Tramways)', 'Acts-London County Council (Improvements)']",,Oct. 08,
20,"Acts-Manchester Corporation, 2s. 9d. ; South- West Suburban Water, 28.; Dover Graving Dock, 1s. 3d.; Gosport Gas, is, 6d.; Briton Ferry Urban District Council, is. 6d. ; Margate Corporation, is. 6d.; Keighley Corporation, 28. 3d. ; Blackburn Corporation, 3s. 60. ; Central Ireland Electric Power, 3s. 3d. ; Padi- ham Urban District Council, 3s. 60. ; Leeds Corporation, 2s. 9d.; Pontypridd Waterworks and Tramroad, 7s. od...... .....WYMAN, Dec. 08",,,Acts-Manchester Corporation,WYMAN,,0.0,,"Acts-Manchester Corporation, 2s. 9d. ; South- West Suburban Water, 28.; Dover Graving Dock, Is. 3d.; Gosport Gas, is, 6d.; Briton Ferry Urban District Council, is. 6d. ; Margate Corporation, is. 6d.; Keighley Corporation, 28. 3d. ; Blackburn Corporation, 3s. 60. ; Central Ireland Electric Power, 3s. 3d. ; Padi- ham Urban District Council, 35. 60. ; Leeds Corporation, 2s. 9d.; Pontypridd Waterworks and Tramroad, 75. od...... .....WYMAN, Dec. 08",,,,Dec. 08,
21,"Acts—Metropolitan District Railway, 1s. 9d. ; Hurly's Divorce, 6d. . WYMAN, Aug. 08",,,Acts—Metropolitan District Railway,WYMAN,6d.,0.025,,"Acts—Metropolitan District Railway, Is. 9d. ; Hurly's Divorce, 6d. . WYMAN, Aug. 08",,,,Aug. 08,
22,"Acts--Old Age Pensions, id. ; Finance, 1 d. ; Fatal Accidents (Damages), įd. ; Public Health, }d.; Seed Potatoes and Seed Oats Supply (Ireland), įd. ; Companies, £d. ; Patents and Designs, £d.; Naval Marriages, £d.; Post Office Savings Bank, id. ; Polling Arrangements (Parliamentary Boroughs), d.; Grand Jury (Ireland) Act, 1836, Amendment, £d. ; Wild Birds Protection, $d. ; Expiring Laws Con- tinuance, d.; Polling Districts (County Councils), fd.; Tobacco Growing, (Scotland), fd.; Police (Superannuation), 10.; 1sle of Man (Customs), įd. ; Evicted 'Ienants (Ireland), {d. ; Friendly Societies, 19. ; Registration, Jd.; Married Women's Property, d. ; Public Works Loans, id. ; Telegraph (Construction), id. ; Naval Lands (Volunteers), įd. ; Endowed Schools (Masters), d.; Appropriation, 3d. ; Ireland : Summary Jurisdiction, id. ; Whale Fisheries, id. ; Coroners, kd.; Polling Districts and Registration of Voters, £d. ; Costs in Criminal Cases, 2d. ; Cran Measures, id. ; Bee Pest Prevention (Ireland), id. WYMAN, Aug. 08",,,"Acts--Old Age Pensions, id. ; Finance",WYMAN,,0.0,,"Acts--Old Age Pensions, id. ; Finance, 1 d. ; Fatal Accidents (Damages), įd. ; Public Health, }d.; Seed Potatoes and Seed Oats Supply (Ireland), įd. ; Companies, £d. ; Patents and Designs, £d.; Naval Marriages, £d.; Post Office Savings Bank, id. ; Polling Arrangements (Parliamentary Boroughs), d.; Grand Jury (Ireland) Act, 1836, Amendment, £d. ; Wild Birds Protection, $d. ; Expiring Laws Con- tinuance, d.; Polling Districts (County Councils), fd.; Tobacco Growing, (Scotland), fd.; Police (Superannuation), 10.; Isle of Man (Customs), įd. ; Evicted 'Ienants (Ireland), {d. ; Friendly Societies, 19. ; Registration, Jd.; Married Women's Property, d. ; Public Works Loans, id. ; Telegraph (Construction), id. ; Naval Lands (Volunteers), įd. ; Endowed Schools (Masters), d.; Appropriation, 3d. ; Ireland : Summary Jurisdiction, id. ; Whale Fisheries, id. ; Coroners, kd.; Polling Districts and Registration of Voters, £d. ; Costs in Criminal Cases, 2d. ; Cran Measures, id. ; Bee Pest Prevention (Ireland), id. WYMAN, Aug. 08",,,,Aug. 08,
23,"Acts—Paisley District Tramways Order Cou- firmation, 2s.; Wolverhampton Corporation, 2s. ; Aire and Calder Navigation, 2s. ; London County Council (Money), is. 6d. ; Liverpool Corporation (General Powers), 2s. 6d. ; London United Tramways, is. 6d. ; Stratford-on-Avon and Midland Junction Railway (Amalgama. tion), is. gd.; Wath and Bolion Gas Board, 3s.; Tawe Valley Gas, 2s... W'YMAN, Nov. 08",,,Acts—Paisley District Tramways Order Cou- firmation,W'YMAN,2s.,0.1,,"Acts—Paisley District Tramways Order Cou- firmation, 25.; Wolverhampton Corporation, 25. ; Aire and Calder Navigation, 25. ; London County Council (Money), is. 6d. ; Liverpool Corporation (General Powers), 25. 6d. ; London United Tramways, is. 6d. ; Stratford-on-Avon and Midland Junction Railway (Amalgama. tion), is. gd.; Wath and Bolion Gas Board, 3s.; Tawe Valley Gas, 25... W'YMAN, Nov. 08",,,,Nov. 08,
24,"Adams (W. Poynter) --Castles in Sand and Ilow to Build Them. 3rd Edit. Cr. 810. 61 x +. PP. 182, swd., 1s. 60. net ....CASSELL, July 08",Adams,W. Poynter,Castles in Sand and Ilow to Build Them,CASSELL,,0.0,,"Adams (W. Poynter) --Castles in Sand and Ilow to Build Them. 3rd Edit. Cr. 810. 61 x +. PP. 182, swd., Is. 60. net ....CASSELL, July 08",W. Poynter Adams,['Adams (W. Poynter)'],,July 08,
25,"Adams (W. Poynter)---Blectric wind l'etrol Tilectric Vehicles. Being Part 2 of Motor- Car Mechanisin and Management. Jllus. Cr. Svo. 74 X 44, pp. 212, 5s, net C. GRIFFIN, Vov.08",Adams,W. Poynter,Blectric wind l'etrol Tilectric Vehicles,C. GRIFFIN,5s.,0.25,,"Adams (W. Poynter)---Blectric wind l'etrol Tilectric Vehicles. Being Part 2 of Motor- Car Mechanisin and Management. Jllus. Cr. Svo. 74 X 44, pp. 212, 5s, net C. GRIFFIN, Vov.08",W. Poynter Adams,['Adams (W. Poynter)'],,Vov.08,net
35,"North-East London Railway, 3d. ; Bury and District Joint Water Board, 3d. ; King's College, London (Transfer), 3s. ; Norwich Union Fire Insurance Society, Limited, 28. 3d. WYMAN, Sep. 08",,,North-East London Railway,WYMAN,3d.,0.0125,,"North-East London Railway, 3d. ; Bury and District Joint Water Board, 3d. ; King's College, London (Transfer), 35. ; Norwich Union Fire Insurance Society, Limited, 28. 3d. WYMAN, Sep. 08",,,,Sep. 08,
