entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Acts--Gas Companies' standard burner No. 2 Act, 1910, 6d.; Llanelly Harbour Act, 1910, s. WYMAN, Jan. 11",,,Acts--Gas Companies' standard burner,WYMAN,,,"Acts--Gas Companies' standard burner No. 2 Act, 1910, 6d.; Llanelly Harbour Act, 1910, IS. WYMAN, Jan. 11",,,,Jan. 11,1911,
"Acts—Great Northern Railway (Ireland). 1911 (Post free.) 3s. 1d........... WYMAN, May Acts — Military lands provisional order Act, (post free) 3}d...... WYMAN, May 11",,,Acts—Great Northern Railway (Ireland),WYMAN,,,"Acts—Great Northern Railway (Ireland). 1911 (Post free.) 3s. Id........... WYMAN, May Acts — Military lands provisional order Act, (post free) 3}d...... WYMAN, May 11",,,,May 11,1911,
"Acts—Upper Medway navigation and con- servancy 6s. 2d. ; London Electric Railway, 4s. 1}d.; Port of London, 61d.; Charles Skier's Charity, 60}. (post free) WYMAN, Sep. 11",,,Acts—Upper Medway navigation and con- servancy,WYMAN,,,"Acts—Upper Medway navigation and con- servancy 6s. 2d. ; London Electric Railway, 45. 1}d.; Port of London, 61d.; Charles Skier's Charity, 60}. (post free) WYMAN, Sep. 11",,,,Sep. 11,1911,
"Acts-Weston-super-Mare gas, 9fd.; London Cemetery Company, 9td.; Luton water, 9fd.; Seaforth and Sefton junction railway, 6jd.; Dover Corporation, 6}d.; Chesham and District gas, 2s. 4d. (post free) WYMAN, Sep. ir Acts-Aberdeen Corporation order, 1911, s. 4d. ; Lloyd's Act, 9 d.; L.C.C. General powers, 6}d.; Drainage and improvement of lands: Ireland, 6 d.; Local Government Board's provisional orders: Gas, 9fd.; Gas Orders No. 2, 4s. 5d. (all post free) —WYMAN, Oct. 11",,,Acts-Weston-super-Mare gas,WYMAN,,,"Acts-Weston-super-Mare gas, 9fd.; London Cemetery Company, 9td.; Luton water, 9fd.; Seaforth and Sefton junction railway, 6jd.; Dover Corporation, 6}d.; Chesham and District gas, 25. 4d. (post free) WYMAN, Sep. ir Acts-Aberdeen Corporation order, 1911, IS. 4d. ; Lloyd's Act, 9 d.; L.C.C. General powers, 6}d.; Drainage and improvement of lands: Ireland, 6 d.; Local Government Board's provisional orders: Gas, 9fd.; Gas Orders No. 2, 4s. 5d. (all post free) —WYMAN, Oct. 11",,,,Oct. 11,1911,
"Acts—London County Council Money, is. 7d. ; London County Council Tramways and Improvements, 2s. 7d. (post free) WYMAN, Od. 11",,,"Acts—London County Council Money, is",WYMAN,2s. 7d.,,"Acts—London County Council Money, is. 7d. ; London County Council Tramways and Improvements, 25. 7d. (post free) WYMAN, Od. 11",,,,Od. 11,1911,
"Aeronautics—Technical report, 1910-11 (post free), 6s, 4d... . WYMAN, Aug. 11",,,Aeronautics—Technical report,WYMAN,6s. 4d.,,"Aeronautics—Technical report, 1910-11 (post free), 6s, 4d... . WYMAN, Aug. 11",,,,Aug. 11,1911,
"Agricultural statistics. Part 1, for 1910 (post free) 7d. WYMAN, Apr. 11",,,Agricultural statistics,WYMAN,7d.,,"Agricultural statistics. Part 1, for 1910 (post free) 7d. WYMAN, Apr. 11",,,,Apr. 11,1911,
"Agricultural statistics, Part 3 for 1910: Prices and supplies (post free), 11d. WYMAN, Aug. 11",,,"Agricultural statistics, Part",WYMAN,11d.,,"Agricultural statistics, Part 3 for 1910: Prices and supplies (post free), 11d. WYMAN, Aug. 11",,,,Aug. 11,1911,
"Agriculture (Board of)—Report of the Land Division, 1910 (post free), 4d. WYMAN, May 11",Agriculture,Board of,Report of the Land Division,WYMAN,4d.,,"Agriculture (Board of)—Report of the Land Division, 1910 (post free), 4d. WYMAN, May 11",Board of Agriculture,['Agriculture (Board of)'],,May 11,1911,
"Aliens Act.-Report for 1910 (post frce) id. WYMAN, July 11",,,Aliens Act,WYMAN,,,"Aliens Act.-Report for 1910 (post frce) id. WYMAN, July 11",,,,July 11,1911,
"Alkali works : Report for 1910 (post free), 8d. WYMAN, July 11",,,Alkali works : Report for,WYMAN,8d.,,"Alkali works : Report for 1910 (post free), 8d. WYMAN, July 11",,,,July 11,1911,
"American annual of photography (The), 1911, 8yo.. swd. 3s. net . DAWBARN, Jan. 11",,,American annual of photography (The),DAWBARN,3s.,,"American annual of photography (The), 1911, 8yo.. swd. 3s. net . DAWBARN, Jan. 11",,,,Jan. 11,1911,net
"American towns, Cost of living in (post free), 5s. 7d. WYMAN, Apr. 11",,,"American towns, Cost of living in (post free)",WYMAN,5s. 7d.,,"American towns, Cost of living in (post free), 5s. 7d. WYMAN, Apr. 11",,,,Apr. 11,1911,
"Army-Estimates, 1911-12, 2s. ; Estimates, memo, id..... WYMAN, Feb. 11",,,Army-Estimates,WYMAN,,,"Army-Estimates, 1911-12, 25. ; Estimates, memo, id..... WYMAN, Feb. 11",,,,Feb. 11,1911,
"Army-Permanent fortifications for the Im- perial military training establishments (post free) 4s. 4d..... . WYMAN, Aug. 11",,,Army-Permanent fortifications for the Im- perial military training establishments (post free),WYMAN,4s. 4d.,,"Army-Permanent fortifications for the Im- perial military training establishments (post free) 45. 4d..... . WYMAN, Aug. 11",,,,Aug. 11,1911,
"Army-Territorial Force regulations, ist April 1911 (post free), 1}d......... WYMAN, May 11",,,"Army-Territorial Force regulations, ist April",WYMAN,,,"Army-Territorial Force regulations, ist April 1911 (post free), 1}d......... WYMAN, May 11",,,,May 11,1911,
"Astronomer Royal, Greenwich—Report (post free), 3d... WYMAN, Sep. 11",,,"Astronomer Royal, Greenwich—Report (post free)",WYMAN,3d.,,"Astronomer Royal, Greenwich—Report (post free), 3d... WYMAN, Sep. 11",,,,Sep. 11,1911,
"Bankruptcy report for 1910 (post free) 8}d. WYMAN, Sep. 11",,,Bankruptcy report for,WYMAN,,,"Bankruptcy report for 1910 (post free) 8}d. WYMAN, Sep. 11",,,,Sep. 11,1911,
"Bibby's Annual, 1911. Folio, swd. is. net OFFICE, June 11",,,Bibby's Annual,OFFICE,,,"Bibby's Annual, 1911. Folio, swd. is. net OFFICE, June 11",,,,June 11,1911,
"Bilderbeck (J. B.)-Early printed books in the library of St. Catharine's College, Cambridge. Ryl. Svo., pp. 44, 28. net CAMB. UNIV. PRESS, May 11",Bilderbeck,J. B.,Early printed books in the library of St,CAMB. UNIV. PRESS,,,"Bilderbeck (J. B.)-Early printed books in the library of St. Catharine's College, Cambridge. Ryl. Svo., pp. 44, 28. net CAMB. UNIV. PRESS, May 11",J. B. Bilderbeck,['Bilderbeck (J. B.)'],,May 11,1911,
"Bills--Asylums officers' employment, pensions and superannuation, i}d.; Civil Service women, Ild.; Contributory annuities, i}d. ; Local Government P.O. No. 11, 5 d. (all post free) WYMAN, April 11",,,"Bills--Asylums officers' employment, pensions and superannuation, i}d",WYMAN,,,"Bills--Asylums officers' employment, pensions and superannuation, i}d.; Civil Service women, Ild.; Contributory annuities, i}d. ; Local Government P.O. No. 11, 5 d. (all post free) WYMAN, April 11",,,,April 11,1911,
"Bills-Asylum officers' superannuation, 2d.; Merchant shipping, id. ; Protection of animals, 2}d.; Appellate jurisdiction, id. (all post free) WYMAN, Aug. 11",,,Bills-Asylum officers' superannuation,WYMAN,,,"Bills-Asylum officers' superannuation, 2d.; Merchant shipping, id. ; Protection of animals, 2}d.; Appellate jurisdiction, id. (all post free) WYMAN, Aug. 11",,,,Aug. 11,1911,
"Bills Education (School attendance), itd.; Local Authorities (Ireland) Qualification of women, id.; Meat marking (Ireland), itd.; Sale of margarine, itd.; Bankers' Bill, ijd. ; Public health (Scotland) 1897 Amendment Bill, id.; Trade union law amendment Bill id. (all post free) .WYMAN, Mar. 11",Bills Education,School attendance,"Local Authorities (Ireland) Qualification of women, id.; Meat marking (Ireland), itd",WYMAN,,,"Bills Education (School attendance), itd.; Local Authorities (Ireland) Qualification of women, id.; Meat marking (Ireland), itd.; Sale of margarine, itd.; Bankers' Bill, ijd. ; Public health (Scotland) 1897 Amendment Bill, id.; Trade union law amendment Bill id. (all post free) .WYMAN, Mar. 11",School attendance Bills Education,['Bills Education (School attendance)'],,Mar. 11,1911,
"Bills—Employment of Children Act amendment Bill (post free), itd. ......WYMAN, June 11",,,"Bills—Employment of Children Act amendment Bill (post free), itd",WYMAN,,,"Bills—Employment of Children Act amendment Bill (post free), itd. ......WYMAN, June 11",,,,June 11,1911,
"Bilis-Lunacy (post free) i}d. WYMAN, May 11",,,Bilis-Lunacy (post free) i}d,WYMAN,,,"Bilis-Lunacy (post free) i}d. WYMAN, May 11",,,,May 11,1911,
"Bills-Maritime Conventions Bill, itd.; Stone- haven Harbour Order Confirmation Bill, itd. (post free) .. WYMAN, Nov. 11",,,"Bills-Maritime Conventions Bill, itd",WYMAN,,,"Bills-Maritime Conventions Bill, itd.; Stone- haven Harbour Order Confirmation Bill, itd. (post free) .. WYMAN, Nov. 11",,,,Nov. 11,1911,
"Bills National insurance : Clauses i to 11 as amended in Committee (post free) 2d. WYMAN, July 11",,,Bills National insurance : Clauses i to,WYMAN,2d.,,"Bills National insurance : Clauses i to 11 as amended in Committee (post free) 2d. WYMAN, July 11",,,,July 11,1911,
"Bills—National insurance, Clauses 12 to 15, as amended, 1}d.; Local Government provisional order No. 7, 6 d. ; Small holdings and allot- ments, id. ; Rights of way, 1 d.; 1sle of Man, as amended, 1 d. (post free) WYMAN, Aug. 11",,,"Bills—National insurance, Clauses",WYMAN,,,"Bills—National insurance, Clauses 12 to 15, as amended, 1}d.; Local Government provisional order No. 7, 6 d. ; Small holdings and allot- ments, id. ; Rights of way, 1 d.; Isle of Man, as amended, 1 d. (post free) WYMAN, Aug. 11",,,,Aug. 11,1911,
"Bills—Paisley Corporation order confirmation, 2d.; Illegal trawling (Scotland), {d.; Ayr- shire (Loch Bradan) water distribution order confirmation, 2}d. ; Police, Weekly rest day (Scotland), įd. W'YMAN, Feb. 11",,,Bills—Paisley Corporation order confirmation,W'YMAN,,,"Bills—Paisley Corporation order confirmation, 2d.; Illegal trawling (Scotland), {d.; Ayr- shire (Loch Bradan) water distribution order confirmation, 2}d. ; Police, Weekly rest day (Scotland), įd. W'YMAN, Feb. 11",,,,Feb. 11,1911,
"Bills—Parliament, 1d.; Calendar Reform, id. ; Under-Sheriffs, County Boroughs, Ireland, id.; Daylight Saving, id. ; Regulation of Railways, jd. .WYMAN, Feb. 11",,,Bills—Parliament,WYMAN,,,"Bills—Parliament, Id.; Calendar Reform, id. ; Under-Sheriffs, County Boroughs, Ireland, id.; Daylight Saving, id. ; Regulation of Railways, jd. .WYMAN, Feb. 11",,,,Feb. 11,1911,
"Bills—Telephone transfer bill memorandum, id. ; Parliament bill amendment, 1d.; Right of way bill, i}d. (all post free) WYMAN, July 11",,,"Bills—Telephone transfer bill memorandum, id. ; Parliament bill amendment",WYMAN,,,"Bills—Telephone transfer bill memorandum, id. ; Parliament bill amendment, Id.; Right of way bill, i}d. (all post free) WYMAN, July 11",,,,July 11,1911,
"Boreham (F. W.)- George Augustus Selwyn, pioneer Bishop of New Zealard. Svo. 7X5, Pp. 160, 1s. 60..... PARTRIDGE, May 11",Boreham,F. W.,"George Augustus Selwyn, pioneer Bishop of New Zealard",PARTRIDGE,,,"Boreham (F. W.)- George Augustus Selwyn, pioneer Bishop of New Zealard. Svo. 7X5, Pp. 160, Is. 60..... PARTRIDGE, May 11",F. W. Boreham,['Boreham (F. W.)'],,May 11,1911,
"Bread : Report on the nutritive value of bread made from different varieties of wheat flour (post free) 4d... WYMAN, Aug. 11",,,Bread : Report on the nutritive value of bread made from different varieties of wheat flour (post free),WYMAN,4d.,,"Bread : Report on the nutritive value of bread made from different varieties of wheat flour (post free) 4d... WYMAN, Aug. 11",,,,Aug. 11,1911,
"British Museum–Hieroglyphic text from Egyp- tian stelæ, &c. Part 1. 56 plates. In portfolio, .FROWDE, May 11",,,"British Museum–Hieroglyphic text from Egyp- tian stelæ, &c",FROWDE,,,"British Museum–Hieroglyphic text from Egyp- tian stelæ, &c. Part 1. 56 plates. In portfolio, .FROWDE, May 11",,,,May 11,1911,
"Broom's Common law of England. Being the Ioth edit. of Broom's Commentaries on the Common law; by W. Blake Odgers and Walter B. Odgers. Svo. 10 X61, pp. 1,680. 50s. SWEET & M., May 11",,,Broom's Common law of England,SWEET & M.,50s.,,"Broom's Common law of England. Being the Ioth edit. of Broom's Commentaries on the Common law; by W. Blake Odgers and Walter B. Odgers. Svo. 10 X61, pp. 1,680. 50s. SWEET & M., May 11",,,,May 11,1911,
"Brown (John)—The Little book of children. Re-issue. izmo., pp. 78, 28. 6d. net FOULIS, Nov. 11",Brown,John,The Little book of children,FOULIS,6d.,,"Brown (John)—The Little book of children. Re-issue. izmo., pp. 78, 28. 6d. net FOULIS, Nov. 11",John Brown,['Brown (John)'],,Nov. 11,1911,net
"Brown's Nautical diary and day's work book. Folio. 4s. net ....J. BROWN, July 11",,,Brown's Nautical diary and day's work book,J. BROWN,4s.,,"Brown's Nautical diary and day's work book. Folio. 45. net ....J. BROWN, July 11",,,,July 11,1911,net
"Bunyan (John)-The Holy war. 1бmo, pp. 390, 6d. net .BAGSTER, May 11",Bunyan,John,The Holy war,BAGSTER,6d.,,"Bunyan (John)-The Holy war. 1бmo, pp. 390, 6d. net .BAGSTER, May 11",John Bunyan,['Bunyan (John)'],,May 11,1911,net
"Burns (Robert)—Songs. 167o. 31 X2}, ithr. is. net (Langham booklets, 59). . SIEGIE, H., June 11",Burns,Robert,Songs,"SIEGIE, H.",,,"Burns (Robert)—Songs. 167o. 31 X2}, ithr. is. net (Langham booklets, 59). . SIEGIE, H., June 11",Robert Burns,['Burns (Robert)'],,June 11,1911,
"Buster Brown's happy days. Oblong folio, bds. 3s. 6d. net..... ..DEAN, July 11",,,Buster Brown's happy days,DEAN,3s. 6d.,,"Buster Brown's happy days. Oblong folio, bds. 35. 6d. net..... ..DEAN, July 11",,,,July 11,1911,net
"Cæsar's Invasions of Britain. Edit. with notes, exercises and vocabulary, by S. E. Winbolt. 12 mo., 1s. 60. BELL, July 11",,,Cæsar's Invasions of Britain,BELL,,,"Cæsar's Invasions of Britain. Edit. with notes, exercises and vocabulary, by S. E. Winbolt. 12 mo., Is. 60. BELL, July 11",,,,July 11,1911,
"Census—Ireland: Preliminary report for 1911 (post free), 31d...... .WYMAN, May 11",,,Census—Ireland: Preliminary report for,WYMAN,31d.,,"Census—Ireland: Preliminary report for 1911 (post free), 31d...... .WYMAN, May 11",,,,May 11,1911,
"Chapple (W. A.)-How to impress the evils of alcohol: cases and comments from a doctor's practice. Cr, Svo. 7* x5, pp. 156, 1s. 64. net. HARRAP, July 11",Chapple,W. A.,How to impress the evils of alcohol: cases and comments from a doctor's practice,HARRAP,,,"Chapple (W. A.)-How to impress the evils of alcohol: cases and comments from a doctor's practice. Cr, Svo. 7* x5, pp. 156, Is. 64. net. HARRAP, July 11",W. A. Chapple,['Chapple (W. A.)'],,July 11,1911,
"Charge, Diocese of London, Oct. 1911, Ingram (A. F. W.) is. net.... .Νου. ΙΙ Charities (Endowed)-County of Wilts, 28. WYMAN, Feb. 11",,,"Charge, Diocese of London, Oct",WYMAN,,,"Charge, Diocese of London, Oct. 1911, Ingram (A. F. W.) is. net.... .Νου. ΙΙ Charities (Endowed)-County of Wilts, 28. WYMAN, Feb. 11",,,,Feb. 11,1911,
"Civil Service estimates, supplementary, 1911-12 (post free), 21d. WYMAN, Aug. 11",,,"Civil Service estimates, supplementary",WYMAN,21d.,,"Civil Service estimates, supplementary, 1911-12 (post free), 21d. WYMAN, Aug. 11",,,,Aug. 11,1911,
"Civil Service-Supplementary estimates, 1910–11, re £476,427, 2 d..... . WYMAN, Feb. 11",,,Civil Service-Supplementary estimates,WYMAN,,,"Civil Service-Supplementary estimates, 1910–11, re £476,427, 2 d..... . WYMAN, Feb. 11",,,,Feb. 11,1911,
"Civil Service-Rules and regulations (post free) s. 2 d...... WYMAN, May 11",,,Civil Service-Rules and regulations (post free) s,WYMAN,,,"Civil Service-Rules and regulations (post free) IS. 2 d...... WYMAN, May 11",,,,May 11,1911,
"Civil Service rules, 1911 (post free), is, 2d. WYMAN, Aug. 11",,,Civil Service rules,WYMAN,2d.,,"Civil Service rules, 1911 (post free), is, 2d. WYMAN, Aug. 11",,,,Aug. 11,1911,
"Coast Erosion, Royal Commission on—Third and final report (post free), 3s. 4d. WYMAN, July 11",,,"Coast Erosion, Royal Commission on—Third and final report (post free)",WYMAN,3s. 4d.,,"Coast Erosion, Royal Commission on—Third and final report (post free), 35. 4d. WYMAN, July 11",,,,July 11,1911,
"Coal mines Bill report (post free) is. 3d. WYMAN, Aug. 11",,,Coal mines Bill report (post free) is,WYMAN,3d.,,"Coal mines Bill report (post free) is. 3d. WYMAN, Aug. 11",,,,Aug. 11,1911,
"Colonial Reports—British Guiana, 1909-10, 4d.; East Africa Protectorate, 1909-10, rod. WYMAN, Feb. 11",,,Colonial Reports—British Guiana,WYMAN,,,"Colonial Reports—British Guiana, 1909-10, 4d.; East Africa Protectorate, 1909-10, rod. WYMAN, Feb. 11",,,,Feb. 11,1911,
"Colonial Service Regulations, 1911 (post free), s, 1d. WYMAN, Sep. 11",,,Colonial Service Regulations,WYMAN,1d.,,"Colonial Service Regulations, 1911 (post free), IS, Id. WYMAN, Sep. 11",,,,Sep. 11,1911,
"Company laws in the British Empire: Analysis (post free) 5 d. WYMAN, Sep. 11",,,Company laws in the British Empire: Analysis (post free),WYMAN,,,"Company laws in the British Empire: Analysis (post free) 5 d. WYMAN, Sep. 11",,,,Sep. 11,1911,
"Congo affairs : correspondence (post free) s. old. WYMAN, Nov. 11",,,Congo affairs : correspondence (post free) s,WYMAN,,,"Congo affairs : correspondence (post free) IS. old. WYMAN, Nov. 11",,,,Nov. 11,1911,
"Consecrated life (The). By the author of “ А Father's letters to his son.' iбino., pp. 86, s. net ... ... MARSHALL BROS., July 11",,,Consecrated life (The),MARSHALL BROS.,,,"Consecrated life (The). By the author of “ А Father's letters to his son.' iбino., pp. 86, IS. net ... ... MARSHALL BROS., July 11",,,,July 11,1911,
"Consular reports for 1910: Bolivia trade, 2d. ; Turkey, Erzeroum, 2d. ; Germany, Pomerania, 4d. (all post free). WYMAN, July 11",,,Consular reports for,WYMAN,4d.,,"Consular reports for 1910: Bolivia trade, 2d. ; Turkey, Erzeroum, 2d. ; Germany, Pomerania, 4d. (all post free). WYMAN, July 11",,,,July 11,1911,
"Consular Reports, 1910—France, Bordeaux, 4d.; Spain, Canary 1sles, 3d.; Norway, 51d.; Venezuela, Ciudad Bolivar, 3d. ; Greece, The Cyclades, 5d. (all post free) WYMAN, May 11",,,Consular Reports,WYMAN,5d.,,"Consular Reports, 1910—France, Bordeaux, 4d.; Spain, Canary Isles, 3d.; Norway, 51d.; Venezuela, Ciudad Bolivar, 3d. ; Greece, The Cyclades, 5d. (all post free) WYMAN, May 11",,,,May 11,1911,
"Consular reports for 1910: France, Madagascar, 3d. ; China, Foochow, 3d. ; China, Hankow, ild.; China, Amoy, itd. ; China, Kiukiang, 4d. ; China, Chefoo, 5d. ; Germany, Dusseldorf, 4d.; Italy, Naples, 2}d. (all post free) WYMAN, July 11",,,Consular reports for,WYMAN,,,"Consular reports for 1910: France, Madagascar, 3d. ; China, Foochow, 3d. ; China, Hankow, ild.; China, Amoy, itd. ; China, Kiukiang, 4d. ; China, Chefoo, 5d. ; Germany, Dusseldorf, 4d.; Italy, Naples, 2}d. (all post free) WYMAN, July 11",,,,July 11,1911,
"Consular reports—Poland, 1910 (post free) 7d. WYMAN, Oct. 11",,,Consular reports—Poland,WYMAN,7d.,,"Consular reports—Poland, 1910 (post free) 7d. WYMAN, Oct. 11",,,,Oct. 11,1911,
"Consular Reports—Turks and Caicos 1slands : Report for 1910, 1}d. ; Trade of French West Africa for 1910, 5d. (post free) WYMAN, July 11",,,Consular Reports—Turks and Caicos,WYMAN,5d.,,"Consular Reports—Turks and Caicos Islands : Report for 1910, 1}d. ; Trade of French West Africa for 1910, 5d. (post free) WYMAN, July 11",,,,July 11,1911,
"Conway (Arthur W.)-On the application of quaternions to some recent developments of electrical theory. (Proceedings of the Royal Irish Academy.) Swd. 6d. WILLIAMS & N., July 11",Conway,Arthur W.,On the application of quaternions to some recent developments of electrical theory,WILLIAMS & N.,6d.,,"Conway (Arthur W.)-On the application of quaternions to some recent developments of electrical theory. (Proceedings of the Royal Irish Academy.) Swd. 6d. WILLIAMS & N., July 11",Arthur W. Conway,['Conway (Arthur W.)'],,July 11,1911,
