entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"A B C Guide to Practice. Edit. by F. A. Stringer. Cr. 8vo. 58. net .SWEET & M., Oct. 08",,,A B C Guide to Practice,SWEET & M.,,0.0,8vo.,"A B C Guide to Practice. Edit. by F. A. Stringer. Cr. 8vo. 58. net .SWEET & M., Oct. 08",,,,Oct. 08,
"Abd-Oul-Beha.—Les Leçons de Saint-Jean-d'Acre recueillies par L. C. Barney traduit du Persan par H. Dreyfus. 8vo., pp. 416, 30. 6d. net LUZAC, Mar. 08",,,Abd-Oul-Beha,LUZAC,6d.,0.025,8vo.,"Abd-Oul-Beha.—Les Leçons de Saint-Jean-d'Acre recueillies par L. C. Barney traduit du Persan par H. Dreyfus. 8vo., pp. 416, 30. 6d. net LUZAC, Mar. 08",,,,Mar. 08,net
"Abraham-Jewell (M. H.)-see Jewell (M H. Abraham-) Abrahams (Ethel B.)-Greek Dress : a Study of the Costumes worn in Ancient Greece from Pre-Hellenic Times to the Hellenistic Age. Illus. 8vo. 9 X55, pp. 152, 9s. net MURRAY, Oct. 08",,,Abrahams (Ethel B.)-Greek Dress : a Study of the Costumes worn in Ancient Greece from Pre-Hellenic Times to the Hellenistic Age,MURRAY,9s.,0.45,8vo.,"Abraham-Jewell (M. H.)-see Jewell (M H. Abraham-) Abrahams (Ethel B.)-Greek Dress : a Study of the Costumes worn in Ancient Greece from Pre-Hellenic Times to the Hellenistic Age. Illus. 8vo. 9 X55, pp. 152, 9s. net MURRAY, Oct. 08",,['Abraham-Jewell (M. H.)-see Jewell (M H. Abraham-)'],,Oct. 08,net
"Abyssinie, Guide du V., A fevork (G. T.) 128. net May 03 Academy Architecture and Architectural Review. Vol. 32. Edit. by Alex. Koch. 4to. 4s. rod. net, swd. 43. net....SIMPKIN, Jan. 08",,,"Abyssinie, Guide du V., A fevork (G. T.)",SIMPKIN,,0.0,4to.,"Abyssinie, Guide du V., A fevork (G. T.) 128. net May 03 Academy Architecture and Architectural Review. Vol. 32. Edit. by Alex. Koch. 4to. 45. rod. net, swd. 43. net....SIMPKIN, Jan. 08",,,,Jan. 08,
"Academy Architecture and Architectural Review, Vol. 33. Edit. by Alex. Koch. 4to., 4s. iod. net; swd., 4s. net SIMPKIN, July 08",,,"Academy Architecture and Architectural Review, Vol",SIMPKIN,4s.,0.2,4to.,"Academy Architecture and Architectural Review, Vol. 33. Edit. by Alex. Koch. 4to., 45. iod. net; swd., 4s. net SIMPKIN, July 08",,,,July 08,net
"Academy Architecture and Architectural Review, Edit. by Alex. Koch. Vol. 34. 4to. 4s. rod. net, swd. 43. net..... .. SIMPKIN, Dec. 08",,,"Academy Architecture and Architectural Review, Edit",SIMPKIN,,0.0,4to.,"Academy Architecture and Architectural Review, Edit. by Alex. Koch. Vol. 34. 4to. 45. rod. net, swd. 43. net..... .. SIMPKIN, Dec. 08",,,,Dec. 08,
"Camberwell and other Metropolitan Borough Councils (Superannuation), is. 3d. ; Argentine North Eastern Railway Company, Limited, gd. ; Interoccanic Railway of Mexico (Acapulco to Vera Cruz), Limited, 6d. ; Dublin and South Eastern Railway, gd. ; Derby Gas, is. 3d. WYMAN, Sep. 08",,,"Camberwell and other Metropolitan Borough Councils (Superannuation), is",WYMAN,3d.,0.0125,,"Camberwell and other Metropolitan Borough Councils (Superannuation), is. 3d. ; Argentine North Eastern Railway Company, Limited, gd. ; Interoccanic Railway of Mexico (Acapulco to Vera Cruz), Limited, 6d. ; Dublin and South Eastern Railway, gd. ; Derby Gas, is. 3d. WYMAN, Sep. 08",,,,Sep. 08,
"Acts-Holderness Water, 4s. 30.; Glasgow Cor- poration, 6cl. ; Pier and Harbour Confirmation (No. 3), 6d.; Local Government Board's Provisional Orders Confirmation (No. 1), (No. 8), 6d, each ; Blaydon and Ryton Water (Transfer), 30.; Cambrian Railways (Debenture Stock), 61. ; Northern Assurance, 2s. 3d.; Leith Harbour and Docks Order Confirmation, 29. 3d. ; Rochester Bridge, gd.; Huddersfield Water, is. ; Cardiff Railway, is. ; Metropolitan Police Provisional Order Confira mation, 3d.; Edinburgh Corporation (Tram- ways, &c.) Order Confirmation, 9d. ; Tramways Order Confirmation (No. 1), 3d. WYMAN, Sep.08",,,Acts-Holderness Water,WYMAN,3d.,0.0125,,"Acts-Holderness Water, 4s. 30.; Glasgow Cor- poration, 6cl. ; Pier and Harbour Confirmation (No. 3), 6d.; Local Government Board's Provisional Orders Confirmation (No. 1), (No. 8), 6d, each ; Blaydon and Ryton Water (Transfer), 30.; Cambrian Railways (Debenture Stock), 61. ; Northern Assurance, 25. 3d.; Leith Harbour and Docks Order Confirmation, 29. 3d. ; Rochester Bridge, gd.; Huddersfield Water, is. ; Cardiff Railway, is. ; Metropolitan Police Provisional Order Confira mation, 3d.; Edinburgh Corporation (Tram- ways, &c.) Order Confirmation, 9d. ; Tramways Order Confirmation (No. 1), 3d. WYMAN, Sep.08",,,,Sep.08,
"Acts-Manchester Corporation, 2s. 9d. ; South- West Suburban Water, 28.; Dover Graving Dock, 1s. 3d.; Gosport Gas, is, 6d.; Briton Ferry Urban District Council, is. 6d. ; Margate Corporation, is. 6d.; Keighley Corporation, 28. 3d. ; Blackburn Corporation, 3s. 60. ; Central Ireland Electric Power, 3s. 3d. ; Padi- ham Urban District Council, 3s. 60. ; Leeds Corporation, 2s. 9d.; Pontypridd Waterworks and Tramroad, 7s. od...... .....WYMAN, Dec. 08",,,Acts-Manchester Corporation,WYMAN,,0.0,,"Acts-Manchester Corporation, 2s. 9d. ; South- West Suburban Water, 28.; Dover Graving Dock, Is. 3d.; Gosport Gas, is, 6d.; Briton Ferry Urban District Council, is. 6d. ; Margate Corporation, is. 6d.; Keighley Corporation, 28. 3d. ; Blackburn Corporation, 3s. 60. ; Central Ireland Electric Power, 3s. 3d. ; Padi- ham Urban District Council, 35. 60. ; Leeds Corporation, 2s. 9d.; Pontypridd Waterworks and Tramroad, 75. od...... .....WYMAN, Dec. 08",,,,Dec. 08,
"Acts—Metropolitan District Railway, 1s. 9d. ; Hurly's Divorce, 6d. . WYMAN, Aug. 08",,,Acts—Metropolitan District Railway,WYMAN,6d.,0.025,,"Acts—Metropolitan District Railway, Is. 9d. ; Hurly's Divorce, 6d. . WYMAN, Aug. 08",,,,Aug. 08,
"Acts--Old Age Pensions, id. ; Finance, 1 d. ; Fatal Accidents (Damages), įd. ; Public Health, }d.; Seed Potatoes and Seed Oats Supply (Ireland), įd. ; Companies, £d. ; Patents and Designs, £d.; Naval Marriages, £d.; Post Office Savings Bank, id. ; Polling Arrangements (Parliamentary Boroughs), d.; Grand Jury (Ireland) Act, 1836, Amendment, £d. ; Wild Birds Protection, $d. ; Expiring Laws Con- tinuance, d.; Polling Districts (County Councils), fd.; Tobacco Growing, (Scotland), fd.; Police (Superannuation), 10.; 1sle of Man (Customs), įd. ; Evicted 'Ienants (Ireland), {d. ; Friendly Societies, 19. ; Registration, Jd.; Married Women's Property, d. ; Public Works Loans, id. ; Telegraph (Construction), id. ; Naval Lands (Volunteers), įd. ; Endowed Schools (Masters), d.; Appropriation, 3d. ; Ireland : Summary Jurisdiction, id. ; Whale Fisheries, id. ; Coroners, kd.; Polling Districts and Registration of Voters, £d. ; Costs in Criminal Cases, 2d. ; Cran Measures, id. ; Bee Pest Prevention (Ireland), id. WYMAN, Aug. 08",,,"Acts--Old Age Pensions, id. ; Finance",WYMAN,,0.0,,"Acts--Old Age Pensions, id. ; Finance, 1 d. ; Fatal Accidents (Damages), įd. ; Public Health, }d.; Seed Potatoes and Seed Oats Supply (Ireland), įd. ; Companies, £d. ; Patents and Designs, £d.; Naval Marriages, £d.; Post Office Savings Bank, id. ; Polling Arrangements (Parliamentary Boroughs), d.; Grand Jury (Ireland) Act, 1836, Amendment, £d. ; Wild Birds Protection, $d. ; Expiring Laws Con- tinuance, d.; Polling Districts (County Councils), fd.; Tobacco Growing, (Scotland), fd.; Police (Superannuation), 10.; Isle of Man (Customs), įd. ; Evicted 'Ienants (Ireland), {d. ; Friendly Societies, 19. ; Registration, Jd.; Married Women's Property, d. ; Public Works Loans, id. ; Telegraph (Construction), id. ; Naval Lands (Volunteers), įd. ; Endowed Schools (Masters), d.; Appropriation, 3d. ; Ireland : Summary Jurisdiction, id. ; Whale Fisheries, id. ; Coroners, kd.; Polling Districts and Registration of Voters, £d. ; Costs in Criminal Cases, 2d. ; Cran Measures, id. ; Bee Pest Prevention (Ireland), id. WYMAN, Aug. 08",,,,Aug. 08,
"Acts—Paisley District Tramways Order Cou- firmation, 2s.; Wolverhampton Corporation, 2s. ; Aire and Calder Navigation, 2s. ; London County Council (Money), is. 6d. ; Liverpool Corporation (General Powers), 2s. 6d. ; London United Tramways, is. 6d. ; Stratford-on-Avon and Midland Junction Railway (Amalgama. tion), is. gd.; Wath and Bolion Gas Board, 3s.; Tawe Valley Gas, 2s... W'YMAN, Nov. 08",,,Acts—Paisley District Tramways Order Cou- firmation,W'YMAN,2s.,0.1,,"Acts—Paisley District Tramways Order Cou- firmation, 25.; Wolverhampton Corporation, 25. ; Aire and Calder Navigation, 25. ; London County Council (Money), is. 6d. ; Liverpool Corporation (General Powers), 25. 6d. ; London United Tramways, is. 6d. ; Stratford-on-Avon and Midland Junction Railway (Amalgama. tion), is. gd.; Wath and Bolion Gas Board, 3s.; Tawe Valley Gas, 25... W'YMAN, Nov. 08",,,,Nov. 08,
"North-East London Railway, 3d. ; Bury and District Joint Water Board, 3d. ; King's College, London (Transfer), 3s. ; Norwich Union Fire Insurance Society, Limited, 28. 3d. WYMAN, Sep. 08",,,North-East London Railway,WYMAN,3d.,0.0125,,"North-East London Railway, 3d. ; Bury and District Joint Water Board, 3d. ; King's College, London (Transfer), 35. ; Norwich Union Fire Insurance Society, Limited, 28. 3d. WYMAN, Sep. 08",,,,Sep. 08,
"Acts ---W'ye Fisheries Provisional Order Confir- mation, is.; Pier and I arbour Orders Con. tìrmation (No. 1), 2s. 9d. ; Public Offices Sites Extension, 6d. ; Bristol Tramways, 6d. ; Com- mercial Union Assurance, 3s. ; Tollemache Estate, 3s. 9d. ; Louth and East Coast Rail- way (Transfer), is. ; Skegness Urban District Council, 2s. Doncaster Corporation, 2s. 3d.; Stockport Corporation, 2s. 3d. ; Electric Lighting Orders Confirmation (No. 1), 2s. 60.; Humber Commercial Railway and Dock, 1s. 3d.; Dartford Gas, 1s. 30.; Roch- dale Corporation, 2s. ; North Eastern Railway, 2s. gd.; Lanarkshire Tramways Order Con- firmation, gd. . WYMAN, Sep. 08",,,"Acts ---W'ye Fisheries Provisional Order Confir- mation, is",WYMAN,,0.0,,"Acts ---W'ye Fisheries Provisional Order Confir- mation, is.; Pier and I arbour Orders Con. tìrmation (No. 1), 25. 9d. ; Public Offices Sites Extension, 6d. ; Bristol Tramways, 6d. ; Com- mercial Union Assurance, 35. ; Tollemache Estate, 3s. 9d. ; Louth and East Coast Rail- way (Transfer), is. ; Skegness Urban District Council, 2s. Doncaster Corporation, 25. 3d.; Stockport Corporation, 25. 3d. ; Electric Lighting Orders Confirmation (No. 1), 25. 60.; Humber Commercial Railway and Dock, Is. 3d.; Dartford Gas, Is. 30.; Roch- dale Corporation, 25. ; North Eastern Railway, 25. gd.; Lanarkshire Tramways Order Con- firmation, gd. . WYMAN, Sep. 08",,,,Sep. 08,
"Acts, Local and Private, 1907: Index, 5s. 3d. WYMAN, Feb. 08",,,"Acts, Local and Private",WYMAN,5s. 3d.,0.2625,,"Acts, Local and Private, 1907: Index, 5s. 3d. WYMAN, Feb. 08",,,,Feb. 08,
"Acts of the Apostles (The). With Intro. by Mme. Cecilia. Book I, 2s. 6d. net; Book 2, 2s. net; Complete, in 1 vol., 4s, net (Catholic Scripture Manuals). Cr. 8vo. K. PAUL, Mar. 08",,,Acts of the Apostles (The),K. PAUL,,0.0,8vo.,"Acts of the Apostles (The). With Intro. by Mme. Cecilia. Book I, 25. 6d. net; Book 2, 25. net; Complete, in 1 vol., 4s, net (Catholic Scripture Manuals). Cr. 8vo. K. PAUL, Mar. 08",,,,Mar. 08,
"Aevaghosa-Sutralamkara traduit en francais sur la versio Chinoise de Kumarajiva par Edouard Haber. Ryl. 8vo., pp. 504, 12s. net LUZAC, Mar. 08",,,Aevaghosa-Sutralamkara traduit en francais sur la versio Chinoise de Kumarajiva par Edouard Haber,LUZAC,12s.,0.6,8vo.,"Aevaghosa-Sutralamkara traduit en francais sur la versio Chinoise de Kumarajiva par Edouard Haber. Ryl. 8vo., pp. 504, 125. net LUZAC, Mar. 08",,,,Mar. 08,net
"Africa, E., Protectorate, Colonial Report, 6d. WYMAX, Feb. 08",,,"Africa, E., Protectorate, Colonial Report",WYMAX,6d.,0.025,,"Africa, E., Protectorate, Colonial Report, 6d. WYMAX, Feb. 08",,,,Feb. 08,
"After the Ball was over : For Ladies and Gentle- men. 12mo. ea. is... Dow & LESTER, Nov. 08",,,After the Ball was over : For Ladies and Gentle- men,LESTER,,0.0,12mo.,"After the Ball was over : For Ladies and Gentle- men. 12mo. ea. is... Dow & LESTER, Nov. 08",,,,Nov. 08,
"ALBE Agricultural Education Committee: Evidence and Index, 5s. 3d. . WYMAN, Aug. 08 ! Agricultural Education in England and Wales Committee : Report, 9d. .. WYMAV, July 08",,,ALBE Agricultural Education Committee: Evidence and Index,WYMAV,9d.,0.0375,,"ALBE Agricultural Education Committee: Evidence and Index, 5s. 3d. . WYMAN, Aug. 08 ! Agricultural Education in England and Wales Committee : Report, 9d. .. WYMAV, July 08",,,,July 08,
"Agricultural Education in the United States Report on, 4d.... WYMAN, Feb. 08",,,Agricultural Education in the United States Report on,WYMAN,4d.,0.016666666666666666,,"Agricultural Education in the United States Report on, 4d.... WYMAN, Feb. 08",,,,Feb. 08,
"Agricultural Journal of the Cape of Good Hope, Vol. 32, No. I. Illus. 8vo. 91 x6, pp. 190, s. net . WESLEY, April 08",,,"Agricultural Journal of the Cape of Good Hope, Vol",WESLEY,,0.0,8vo.,"Agricultural Journal of the Cape of Good Hope, Vol. 32, No. I. Illus. 8vo. 91 x6, pp. 190, IS. net . WESLEY, April 08",,,,April 08,
"Agricultural Labourer. Eng., Hasbach (W.) 7s. 6d. net .... Oct. og Agricultural Statistics, Vol. 12, Part 1, 5d. WYMAN, Jan. os Agricultural Statistics, Part 2 : Returns of Pro- duce of Crops in Great Britain, 4d. WYMAN, April 08",,,Agricultural Labourer,WYMAN,4d.,0.016666666666666666,,"Agricultural Labourer. Eng., Hasbach (W.) 75. 6d. net .... Oct. og Agricultural Statistics, Vol. 12, Part 1, 5d. WYMAN, Jan. os Agricultural Statistics, Part 2 : Returns of Pro- duce of Crops in Great Britain, 4d. WYMAN, April 08",,,,April 08,
"Agriculture, Board of, 1907 Statistics (Prices and Supplies of Corn, Live Stock and other Pro- duce), Skd.; Interim Report of Proceedings under Small Holdings and Allotments Acts, 5d. WYMAN, Aug. 08",,,"Agriculture, Board of",WYMAN,5d.,0.020833333333333332,,"Agriculture, Board of, 1907 Statistics (Prices and Supplies of Corn, Live Stock and other Pro- duce), Skd.; Interim Report of Proceedings under Small Holdings and Allotments Acts, 5d. WYMAN, Aug. 08",,,,Aug. 08,
"Agriculture, Board of Intelligence Division : Report for 1906, 7d. . WYMAN, Jan, 08",,,"Agriculture, Board of Intelligence Division : Report for",WYMAN,7d.,0.029166666666666667,,"Agriculture, Board of Intelligence Division : Report for 1906, 7d. . WYMAN, Jan, 08",,,,"Jan, 08",
