entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Acton (Lord)—Lectures on the French Revolu- tion. Edit. by John Neville Figgis and Regi- nald Vere Laurence. 8vo. 9X51, pp. 388, Ios. net MACMILLAN, Nov. 10",Acton,Lord,Lectures on the French Revolu- tion,MACMILLAN,,8vo.,"Acton (Lord)—Lectures on the French Revolu- tion. Edit. by John Neville Figgis and Regi- nald Vere Laurence. 8vo. 9X51, pp. 388, Ios. net MACMILLAN, Nov. 10",Lord Acton,['Acton (Lord)'],,Nov. 10,1910,
"Acts—Bradford Corporation Act, 1910, 4s.; Glasgow Gas Act, 1910, 3s. 3d. ; Expiring Laws Continuance Act, id. .. WYMAN, Dec. 10",,,Acts—Bradford Corporation Act,WYMAN,,,"Acts—Bradford Corporation Act, 1910, 45.; Glasgow Gas Act, 1910, 35. 3d. ; Expiring Laws Continuance Act, id. .. WYMAN, Dec. 10",,,,Dec. 10,1910,
"Acts—Bury Corporation, 12s. ; Colinton Tram- ways Order Confirmation, 5s. gd. WYMAN, Jan. 10",,,Acts—Bury Corporation,WYMAN,,,"Acts—Bury Corporation, 125. ; Colinton Tram- ways Order Confirmation, 55. gd. WYMAN, Jan. 10",,,,Jan. 10,1910,
"Acts—Cambridge University and Town Water- works, 2s. 9d.; Garnant Gas, is. 3d. ; South Lincolnshire Water, 6d. ; Thorne and District Water, s. 6d.; Nottingham Corporation, 1s. gd. WYMAN, Nov. 10",,,Acts—Cambridge University and Town Water- works,WYMAN,,,"Acts—Cambridge University and Town Water- works, 25. 9d.; Garnant Gas, is. 3d. ; South Lincolnshire Water, 6d. ; Thorne and District Water, IS. 6d.; Nottingham Corporation, Is. gd. WYMAN, Nov. 10",,,,Nov. 10,1910,
"Acts-Finance Act, 1909-10, 10 d. WYMAN, May 10",,,Acts-Finance Act,WYMAN,,,"Acts-Finance Act, 1909-10, 10 d. WYMAN, May 10",,,,May 10,1910,
"Acts—Finance Act, 1910, £d. ..WYMAN, Dec. 10",,,Acts—Finance Act,WYMAN,,,"Acts—Finance Act, 1910, £d. ..WYMAN, Dec. 10",,,,Dec. 10,1910,
"Acts-Great Central Railway, 28. 3d.; Great Grimsby Gas, 28....... .WYMAN, Nov. 10",,,Acts-Great Central Railway,WYMAN,,,"Acts-Great Central Railway, 28. 3d.; Great Grimsby Gas, 28....... .WYMAN, Nov. 10",,,,Nov. 10,1910,
"Acts—Licensing Consolidation, 8d. ; 1sle of Man Customs, kd.; Registration of Births, Deaths and Marriages, Scotland, d.; Accession Declaration, ld. ; Jury Trials : Scotland, }d. ; Public Works Loans, 1d.; Regency, 1d.; Civil List, id. ; Census, Great Britain, id. ; Yorkshire Electric Power, 6d. ; Port of London (Port Rate on Goods Provisional Order), 3s. 9d. ; Agricultural Holdings (Scotland), kd.; Diseases of Animals, id... .WYMAN, Aug. 10",,,Acts—Licensing Consolidation,WYMAN,,,"Acts—Licensing Consolidation, 8d. ; Isle of Man Customs, kd.; Registration of Births, Deaths and Marriages, Scotland, d.; Accession Declaration, ld. ; Jury Trials : Scotland, }d. ; Public Works Loans, Id.; Regency, Id.; Civil List, id. ; Census, Great Britain, id. ; Yorkshire Electric Power, 6d. ; Port of London (Port Rate on Goods Provisional Order), 3s. 9d. ; Agricultural Holdings (Scotland), kd.; Diseases of Animals, id... .WYMAN, Aug. 10",,,,Aug. 10,1910,
"Acts—Municipal Corporations, 1d.; Children's 1908 Amendment, d.; Mines, Accidents, Rescue and Aid, d.; Companies, Converted Societies, kd.; Small Holdings, id. ; Duke of York's School Chapel, fd. ; Trusts, Scotland, d.. WYMAN, Aug. 10",,,Acts—Municipal Corporations,WYMAN,,,"Acts—Municipal Corporations, Id.; Children's 1908 Amendment, d.; Mines, Accidents, Rescue and Aid, d.; Companies, Converted Societies, kd.; Small Holdings, id. ; Duke of York's School Chapel, fd. ; Trusts, Scotland, d.. WYMAN, Aug. 10",,,,Aug. 10,1910,
"Acts—Muirhead Trust Order Confirmation, is. WYMAN, Aug. 10",,,"Acts—Muirhead Trust Order Confirmation, is",WYMAN,,,"Acts—Muirhead Trust Order Confirmation, is. WYMAN, Aug. 10",,,,Aug. 10,1910,
"Acts—Thames Conservancy (Appointments and Tolls) Provisional Order, 9d. Dick Trust Order Confirmation, ed. W'YMAN, Dec, 10",,,Acts—Thames Conservancy (Appointments and Tolls) Provisional Order,W'YMAN,,,"Acts—Thames Conservancy (Appointments and Tolls) Provisional Order, 9d. Dick Trust Order Confirmation, ed. W'YMAN, Dec, 10",,,,"Dec, 10",1910,
"Acts—Treasury, Temporary Borrowing, d.; War Loan Redemption, }d. ..WYMAN, Mar. 10",,,"Acts—Treasury, Temporary Borrowing, d",WYMAN,,,"Acts—Treasury, Temporary Borrowing, d.; War Loan Redemption, }d. ..WYMAN, Mar. 10",,,,Mar. 10,1910,
"Adams (F.)—Songs of the Army of the Night. New edit. 12mo. 2s. net, swd. is, net FIFIELD, Mar. 10",Adams,F.,Songs of the Army of the Night,FIFIELD,,12mo.,"Adams (F.)—Songs of the Army of the Night. New edit. 12mo. 2s. net, swd. is, net FIFIELD, Mar. 10",F. Adams,['Adams (F.)'],,Mar. 10,1910,
"Adams (John)-A List of Synonyms of Irish Algæ, with some additional records and observations. Swd. is. (Royal Irish Academy) WILLIAMS & N., July 10",Adams,John,"A List of Synonyms of Irish Algæ, with some additional records and observations",WILLIAMS & N.,,,"Adams (John)-A List of Synonyms of Irish Algæ, with some additional records and observations. Swd. is. (Royal Irish Academy) WILLIAMS & N., July 10",John Adams,['Adams (John)'],,July 10,1910,
"Adcock (Thomas)—Talks with Men. Cr. 8vo., pp. 96, swd, is, net ..HEADLEY, July 10",Adcock,Thomas,Talks with Men,HEADLEY,,8vo.,"Adcock (Thomas)—Talks with Men. Cr. 8vo., pp. 96, swd, is, net ..HEADLEY, July 10",Thomas Adcock,['Adcock (Thomas)'],,July 10,1910,
"Addy (Sidney 0.)--The Evolution of the English House. 3rd edit. Cr. 8vo. 7! X 4*, pp. 252, 4s. 60.... ..SONNENSCHEIN, May 10",Addy,Sidney 0.,The Evolution of the English House,SONNENSCHEIN,,8vo.,"Addy (Sidney 0.)--The Evolution of the English House. 3rd edit. Cr. 8vo. 7! X 4*, pp. 252, 45. 60.... ..SONNENSCHEIN, May 10",Sidney 0. Addy,['Addy (Sidney 0.)'],,May 10,1910,
"Adrianople, Consular Report for 1909, 2ļd. WYMAN, J une 10",,,"Adrianople, Consular Report for",WYMAN,,,"Adrianople, Consular Report for 1909, 2ļd. WYMAN, J une 10",,,,J une 10,1910,
"Adviser (The) 1910. Ryl. iómo, bds. s. R. J. JAMES, Dec. 10",,,Adviser (The),R. J. JAMES,,,"Adviser (The) 1910. Ryl. iómo, bds. IS. R. J. JAMES, Dec. 10",,,,Dec. 10,1910,
"Aeby (J.)- Dangerous Goods. 8vo. Ios. net GAY & H., Apr. 10",Aeby,J.,Dangerous Goods,GAY & H.,,8vo.,"Aeby (J.)- Dangerous Goods. 8vo. Ios. net GAY & H., Apr. 10",J. Aeby,['Aeby (J.)'],,Apr. 10,1910,
"Aeroplane Portfolio (The). In ase, is. net P. MARSHALL, Mar. 10",,,Aeroplane Portfolio (The),P. MARSHALL,,,"Aeroplane Portfolio (The). In ase, is. net P. MARSHALL, Mar. 10",,,,Mar. 10,1910,
"Æschylus --Agamemnon. With Verse Trans., Intro. and Notes, by Walter Headlam. 8vo., pp. 278, ros. net CAMB. UNIV. PRESS, Oct. 10",,,Æschylus --Agamemnon,CAMB. UNIV. PRESS,,8vo.,"Æschylus --Agamemnon. With Verse Trans., Intro. and Notes, by Walter Headlam. 8vo., pp. 278, ros. net CAMB. UNIV. PRESS, Oct. 10",,,,Oct. 10,1910,
"Aotolia (Greece), Consular Report for 1909, 2}d. WYMAN, June 10",Aotolia,Greece,Consular Report for,WYMAN,,,"Aotolia (Greece), Consular Report for 1909, 2}d. WYMAN, June 10",Greece Aotolia,['Aotolia (Greece)'],,June 10,1910,
"Aldis (Morton)— The Fifth Monarchy ; or, Thoughts on the Kingdom of God. Cr. 8vo. 73 X5, pp. 108, 2s. net, swd. is. net GARDEN CITY PRESS, Feb. 10",Aldis,Morton,"The Fifth Monarchy ; or, Thoughts on the Kingdom of God",GARDEN CITY PRESS,,8vo.,"Aldis (Morton)— The Fifth Monarchy ; or, Thoughts on the Kingdom of God. Cr. 8vo. 73 X5, pp. 108, 2s. net, swd. is. net GARDEN CITY PRESS, Feb. 10",Morton Aldis,['Aldis (Morton)'],,Feb. 10,1910,
"Alice in Wonderland. In Words of One Syllable. 4to. bds, is. ROUTLEDGE, Oct. 10",,,Alice in Wonderland,ROUTLEDGE,,4to.,"Alice in Wonderland. In Words of One Syllable. 4to. bds, is. ROUTLEDGE, Oct. 10",,,,Oct. 10,1910,
"Alkali Works. Forty-sixth Report, for 1909, 6}d. WYMAN, July 10",,,Alkali Works,WYMAN,,,"Alkali Works. Forty-sixth Report, for 1909, 6}d. WYMAN, July 10",,,,July 10,1910,
"Allbutt (Clifford, Sir) and Rolleston (Hum- pliry D.) eds.-A System of Medicine. By Many Writers. Vol. 7. 8vo. 9X51, pp. 916, 25s. net :MACMILLAN, July 10",Allbutt,"Clifford, Sir",A System of Medicine,MACMILLAN,,8vo.,"Allbutt (Clifford, Sir) and Rolleston (Hum- pliry D.) eds.-A System of Medicine. By Many Writers. Vol. 7. 8vo. 9X51, pp. 916, 255. net :MACMILLAN, July 10","Clifford, Sir Allbutt","['Allbutt (Clifford, Sir)', 'Rolleston (Hum- pliry D.)']",eds.,July 10,1910,
"Allemandy (Victor H.)—The History of the Growth of the British Dominions, from 1492 to the present time. Cr. 8vo. limp is. 6d. net (Normal Tutorial Ser.), NORMAL PRESS, Feb. 10",Allemandy,Victor H.,"The History of the Growth of the British Dominions, from",NORMAL PRESS,,8vo.,"Allemandy (Victor H.)—The History of the Growth of the British Dominions, from 1492 to the present time. Cr. 8vo. limp is. 6d. net (Normal Tutorial Ser.), NORMAL PRESS, Feb. 10",Victor H. Allemandy,['Allemandy (Victor H.)'],,Feb. 10,1910,
"Alle mandy (Victor H.)--Notes Dickens Dombey & Son. Cr. 8vo. swd. od. net NORMAL PRESS, July 10",Alle mandy,Victor H.,Notes Dickens Dombey & Son,NORMAL PRESS,,8vo.,"Alle mandy (Victor H.)--Notes Dickens Dombey & Son. Cr. 8vo. swd. od. net NORMAL PRESS, July 10",Victor H. Alle mandy,['Alle mandy (Victor H.)'],,July 10,1910,
"Allen (James)—From Passion to Peace, or The Pathway of the Pure. 12mo. 7X41, pp. 70, s. net W. RIDER, May 10",Allen,James,"From Passion to Peace, or The Pathway of the Pure",W. RIDER,,12mo.,"Allen (James)—From Passion to Peace, or The Pathway of the Pure. 12mo. 7X41, pp. 70, IS. net W. RIDER, May 10",James Allen,['Allen (James)'],,May 10,1910,
"Allen (Percy)-Impressions of Provence. Illus. 4to. 81 x64, pp. 348, 129. 60. net F. GRIFFITHS, Feb. 10",Allen,Percy,Impressions of Provence,F. GRIFFITHS,,4to.,"Allen (Percy)-Impressions of Provence. Illus. 4to. 81 x64, pp. 348, 129. 60. net F. GRIFFITHS, Feb. 10",Percy Allen,['Allen (Percy)'],,Feb. 10,1910,
"Allen (Phæbe)-All Famous Fellows We. Told by Certain Leading Residents of the Kitchen Garden. Part II. 16mo., pp. 128, bds. is. net . MADGWICK, Dec. 10",Allen,Phæbe,All Famous Fellows We,MADGWICK,,16mo.,"Allen (Phæbe)-All Famous Fellows We. Told by Certain Leading Residents of the Kitchen Garden. Part II. 16mo., pp. 128, bds. is. net . MADGWICK, Dec. 10",Phæbe Allen,['Allen (Phæbe)'],,Dec. 10,1910,
"Allen's Commercial Organic Analysis, Vol. II. 4th edit. entirely re-written. Ryl. Svo. 91 X61, pp. 530, 2iS. net ........CHURCHILL, May 10",,,"Allen's Commercial Organic Analysis, Vol",CHURCHILL,,,"Allen's Commercial Organic Analysis, Vol. II. 4th edit. entirely re-written. Ryl. Svo. 91 X61, pp. 530, 2iS. net ........CHURCHILL, May 10",,,,May 10,1910,
"Allen's Commercial Organic Analysis. Vol. 3. 4th edit. Entirely rewritten. 8vo. 98 x6, pp. 646, 215, net... CHURCHILL, Aug. 10",,,Allen's Commercial Organic Analysis,CHURCHILL,,8vo.,"Allen's Commercial Organic Analysis. Vol. 3. 4th edit. Entirely rewritten. 8vo. 98 x6, pp. 646, 215, net... CHURCHILL, Aug. 10",,,,Aug. 10,1910,
