,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
1," A.L. Welcome readers (The). Books 4A & 5A. 4to, ea. rod. net .E. J. ARNOLD, Sep. 14",,,A.L. Welcome readers (The),E. J. ARNOLD,,0.0,"4to,"," A.L. Welcome readers (The). Books 4A & 5A. 4to, ea. rod. net .E. J. ARNOLD, Sep. 14",,,,Sep. 14,
4,"Abbott (Edwin A.)—The Fourfold gospel. Section II., The Beginning. 8vo. 9X5}, pp. 480, 12s. éd. net CAMB. UNIV. PRESS, Feb. 14",Abbott,Edwin A.,The Fourfold gospel,CAMB. UNIV. PRESS,,0.0,8vo.,"Abbott (Edwin A.)—The Fourfold gospel. Section II., The Beginning. 8vo. 9X5}, pp. 480, 125. éd. net CAMB. UNIV. PRESS, Feb. 14",Edwin A. Abbott,['Abbott (Edwin A.)'],,Feb. 14,
12,"Abercrombie (Lascelles)— The Epic. 12mo., pp. 96, is, net. (Art and craft of letters) M. SECKER, May 14",Abercrombie,Lascelles,The Epic,M. SECKER,,0.0,12mo.,"Abercrombie (Lascelles)— The Epic. 12mo., pp. 96, is, net. (Art and craft of letters) M. SECKER, May 14",Lascelles Abercrombie,['Abercrombie (Lascelles)'],,May 14,
14,"Abraham (J. Johnston)—The Night nurse. New and cheaper edit. Cr. 8vo. 7} 4, pp. 322, 29. net CHAPMAN & H., Sep. 14",Abraham,J. Johnston,The Night nurse,CHAPMAN & H.,,0.0,8vo.,"Abraham (J. Johnston)—The Night nurse. New and cheaper edit. Cr. 8vo. 7} 4, pp. 322, 29. net CHAPMAN & H., Sep. 14",J. Johnston Abraham,['Abraham (J. Johnston)'],,Sep. 14,
20,"Accounts (Public)—Report from Committee. Iļd. WYMAN, May 14",Accounts,Public,Report from Committee,WYMAN,,0.0,,"Accounts (Public)—Report from Committee. Iļd. WYMAN, May 14",Public Accounts,['Accounts (Public)'],,May 14,
26,"Acts—Index to local and private Acts 1913. . WYMAN, May 14",,,Acts—Index to local and private Acts,WYMAN,,0.0,,"Acts—Index to local and private Acts 1913. . WYMAN, May 14",,,,May 14,
27,"Acts—Aberystwyth Corporation, 38. 9d. ; Aldbar Trust Estates, is. 6d. ; Barry U.D.C., 4s. 6d.; city and South London Railway, 58. 3d; Conyngham Heirlooms, 6d.; Gomm Heirlooms, 6d. ; Morley Corporation, 6s. 3d. ; Nottingham Corporation, is. 6d. ; Reading Corporation, 33. ; Silloth gas, 1s. 60.; Western Valleys (Mon. mouthshire) railless electric_traction, 3s. ; Westminster Hospital, s. WYMAN, Jan, 14",,,Acts—Aberystwyth Corporation,WYMAN,,0.0,,"Acts—Aberystwyth Corporation, 38. 9d. ; Aldbar Trust Estates, is. 6d. ; Barry U.D.C., 45. 6d.; city and South London Railway, 58. 3d; Conyngham Heirlooms, 6d.; Gomm Heirlooms, 6d. ; Morley Corporation, 6s. 3d. ; Nottingham Corporation, is. 6d. ; Reading Corporation, 33. ; Silloth gas, Is. 60.; Western Valleys (Mon. mouthshire) railless electric_traction, 35. ; Westminster Hospital, IS. WYMAN, Jan, 14",,,,"Jan, 14",
28,"Acts-Consolidated Fund (No. 1). }d. WYMAN, Apr. 14",Acts-Consolidated Fund,No. 1,,WYMAN,,0.0,,"Acts-Consolidated Fund (No. 1). }d. WYMAN, Apr. 14",No. 1 Acts-Consolidated Fund,['Acts-Consolidated Fund (No. 1)'],,Apr. 14,
29,"Acts—Army (annual) id. . WYMAN, May 14",,,Acts—Army (annual) id. ,WYMAN,,0.0,,"Acts—Army (annual) id. . WYMAN, May 14",,,,May 14,
30,"Acts—Alexander Scott's Hospital and the N. of Scotland College of Agriculture order con- firmation, is. ; Crystal Palace, is; Scottish insurance companies (superannuation fund) order confirmation, ed. . WYMAN, June 14",,,"Acts—Alexander Scott's Hospital and the N. of Scotland College of Agriculture order con- firmation, is",WYMAN,,0.0,,"Acts—Alexander Scott's Hospital and the N. of Scotland College of Agriculture order con- firmation, is. ; Crystal Palace, is; Scottish insurance companies (superannuation fund) order confirmation, ed. . WYMAN, June 14",,,,June 14,
