,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
1,"A B C guide to health resorts served by the Great Central Railway, 1917. 8vo. 84 x 58, pp. 441, s. W. HILL, Aug. '17",,,A B C guide to health resorts served by the Great Central Railway,W. HILL,,0.0,8vo.,"A B C guide to health resorts served by the Great Central Railway, 1917. 8vo. 84 x 58, pp. 441, IS. W. HILL, Aug. '17",,,,Aug. '17,
2," A.L. Table book (The): weights and meas- ures and metric system. 18mo. 54 x 44, pp. .E. J. ARNOLD, Aug. '17",,,A.L. Table book (The): weights and meas- ures and metric system,E. J. ARNOLD,,0.0,18mo.," A.L. Table book (The): weights and meas- ures and metric system. 18mo. 54 x 44, pp. .E. J. ARNOLD, Aug. '17",,,,Aug. '17,
7,"Abbott (Eleanor Hallowell)--Little Eve Edgarton. Cr. 8vo. 73 x 44, pp. 248, is. net HODDER & S., Jan. 17",Abbott,Eleanor Hallowell,Little Eve Edgarton,HODDER & S.,,0.0,8vo.,"Abbott (Eleanor Hallowell)--Little Eve Edgarton. Cr. 8vo. 73 x 44, pp. 248, is. net HODDER & S., Jan. 17",Eleanor Hallowell Abbott,['Abbott (Eleanor Hallowell)'],,Jan. 17,
8,"Abraham (J. Johnston)-The Night nurse. New and cheaper ed. Cr. 8vo. 7X41, pp. 311, 18. net CHAPMAN & H., Jan, 17",Abraham,J. Johnston,The Night nurse,CHAPMAN & H.,,0.0,8vo.,"Abraham (J. Johnston)-The Night nurse. New and cheaper ed. Cr. 8vo. 7X41, pp. 311, 18. net CHAPMAN & H., Jan, 17",J. Johnston Abraham,['Abraham (J. Johnston)'],,"Jan, 17",
17,"Acts--Army (Annual), id. ; Ariny (Annual) Act (1916) Amend., id. ; Census of production, id. ; Coal mines rgn. (Amend.), id. ; Consolidated Fund (No. 2), id. ; Ecclesiastical services (Omission on account of War), id. ; Military service (Review of exceptions), id. ; Ministry of National Service, d.; Naval discipline (Delegation of powers), id. ; Railway passenger duty, id. WYMAN, Apr. 17",Acts--Army,Annual,Ariny (Annual) Act ,WYMAN,,0.0,,"Acts--Army (Annual), id. ; Ariny (Annual) Act (1916) Amend., id. ; Census of production, id. ; Coal mines rgn. (Amend.), id. ; Consolidated Fund (No. 2), id. ; Ecclesiastical services (Omission on account of War), id. ; Military service (Review of exceptions), id. ; Ministry of National Service, d.; Naval discipline (Delegation of powers), id. ; Railway passenger duty, id. WYMAN, Apr. 17",Annual Acts--Army,['Acts--Army (Annual)'],,Apr. 17,
18,"Acts—Parliament and local elections, id ; Com- panies (Fureign interests), id. ; Consolidated Fund (No. 3), id. ; Coroners (Emergency prov.), id. ; Nat. Insurance (Pt. 1. Amend.), id. ; Naval and military war pensions, &c. (Admini. strative expenses), id. ; Societies (Suspension of meetings), id. ; Venereal disease, id. H.M. STATIONERY OFFICE, May '17",,,"Acts—Parliament and local elections, id ; Com- panies (Fureign interests), id. ; Consolidated Fund ",H.M. STATIONERY OFFICE,,0.0,,"Acts—Parliament and local elections, id ; Com- panies (Fureign interests), id. ; Consolidated Fund (No. 3), id. ; Coroners (Emergency prov.), id. ; Nat. Insurance (Pt. 1. Amend.), id. ; Naval and military war pensions, &c. (Admini. strative expenses), id. ; Societies (Suspension of meetings), id. ; Venereal disease, id. H.M. STATIONERY OFFICE, May '17",,,,May '17,
23,"Adair (Cecil)-- The Sails of life. 2nd ed. (r. 8vo. pp. 411, ós. .S. L'AU'L, Feb. '17",Adair,Cecil,The Sails of life,S. L'AU'L,,0.0,8vo.,"Adair (Cecil)-- The Sails of life. 2nd ed. (r. 8vo. pp. 411, ós. .S. L'AU'L, Feb. '17",Cecil Adair,['Adair (Cecil)'],,Feb. '17,
24,"Adam (Juliette)--The Schemes of the Kaiser. Tr, by J. 0. P. Bland. Cr. 8vo. 71 x 5, pp. 226, ...HEINEMANY, Nov. '17",Adam,Juliette,The Schemes of the Kaiser,HEINEMANY,,0.0,8vo.,"Adam (Juliette)--The Schemes of the Kaiser. Tr, by J. 0. P. Bland. Cr. 8vo. 71 x 5, pp. 226, ...HEINEMANY, Nov. '17",Juliette Adam,['Adam (Juliette)'],,Nov. '17,
27,"Adams (George Matthew)—You can : a collection of brief talks on the most important topic in the world-your success. Cr. 8vo. 71 X 5, PP. 115, s. net .SIMPKIN, Aug. '17",Adams,George Matthew,You can : a collection of brief talks on the most important topic in the world-your success,SIMPKIN,,0.0,8vo.,"Adams (George Matthew)—You can : a collection of brief talks on the most important topic in the world-your success. Cr. 8vo. 71 X 5, PP. 115, IS. net .SIMPKIN, Aug. '17",George Matthew Adams,['Adams (George Matthew)'],,Aug. '17,
30,"Adams (Samuel Hopkins)-The Unspeakable Perk. Cr. 8vo. 71 x 54, pp. 290, 58. net HODDER & S., Mar. 17",Adams,Samuel Hopkins,The Unspeakable Perk,HODDER & S.,,0.0,8vo.,"Adams (Samuel Hopkins)-The Unspeakable Perk. Cr. 8vo. 71 x 54, pp. 290, 58. net HODDER & S., Mar. 17",Samuel Hopkins Adams,['Adams (Samuel Hopkins)'],,Mar. 17,
32,"Addis (W. J.)--Quests in quatrains. 7 X 41, pp. 25, s. net ...HEATH, C., Feb. 17",Addis,W. J.,Quests in quatrains,"HEATH, C.",,0.0,,"Addis (W. J.)--Quests in quatrains. 7 X 41, pp. 25, IS. net ...HEATH, C., Feb. 17",W. J. Addis,['Addis (W. J.)'],,Feb. 17,
37,"Admiral's wife in the making, 1860-1903, Poore (Lady) 78. 6d. net Admiralty-Compasses, Pivots and caps in, SS. .WYMAN, Apr, 17",,,Admiral's wife in the making,SS. .WYMAN,,0.0,,"Admiral's wife in the making, 1860-1903, Poore (Lady) 78. 6d. net Admiralty-Compasses, Pivots and caps in, SS. .WYMAN, Apr, 17",,,,"Apr, 17",
40,"Admiralty--Hydrographic. Alaska and Bering Sea pilot, 1908 : Rev. supp. (3), 1917 POTTER, Apr. 17",,,Admiralty--Hydrographic,POTTER,,0.0,,"Admiralty--Hydrographic. Alaska and Bering Sea pilot, 1908 : Rev. supp. (3), 1917 POTTER, Apr. 17",,,,Apr. 17,
41,"Admiralty-Hydrographic. Australia pilot. Vol. 3, Fast coast of Australia from Port Jackson to Sandy Cape, the seaward edge of the Great Barrier Reef, islands and dangers on the Coral Sea and Torres Strait, with directions for the outer route, 3s. ; do. Vol. 5, 1914: Supp., 1917 .POTTER, Feb. 17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. Australia pilot. Vol. 3, Fast coast of Australia from Port Jackson to Sandy Cape, the seaward edge of the Great Barrier Reef, islands and dangers on the Coral Sea and Torres Strait, with directions for the outer route, 35. ; do. Vol. 5, 1914: Supp., 1917 .POTTER, Feb. 17",,,,Feb. 17,
42,"Admiralty-Hydrographic. Bengal, Bay of, pilot, 1910 : Rev. supp. (2), 1917 POTTER, Aug. '17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. Bengal, Bay of, pilot, 1910 : Rev. supp. (2), 1917 POTTER, Aug. '17",,,,Aug. '17,
43,"Admiralty-Hydrographic. Black Sea pilot, 1908 : Supp. No. 4, 1917 ..POTTER, July ’17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. Black Sea pilot, 1908 : Supp. No. 4, 1917 ..POTTER, July ’17",,,,July ’17,
45,"Admiralty-Hydrographic. England (West coast) pilot, 1910 : Rev. supp. (2), 1917 POTTER, July '17",Admiralty-Hydrographic. England,West coast,1910 : Rev,POTTER,,0.0,,"Admiralty-Hydrographic. England (West coast) pilot, 1910 : Rev. supp. (2), 1917 POTTER, July '17",West coast Admiralty-Hydrographic. England,['Admiralty-Hydrographic. England (West coast)'],,July '17,
46,"Admiralty-Hydrographic. France, Spain, and Portugal (West coasts) pilot, 1910 : Rev. supp. (2), 1916...... .POTTER, Feb. 17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. France, Spain, and Portugal (West coasts) pilot, 1910 : Rev. supp. (2), 1916...... .POTTER, Feb. 17",,,,Feb. 17,
47,"Admiralty-Hydrographic. India (West coast) pilot, 1909: Rev. supp. No. 2, 1916. POTTER, Feb. 17",Admiralty-Hydrographic. India,West coast,1909: Rev,POTTER,,0.0,,"Admiralty-Hydrographic. India (West coast) pilot, 1909: Rev. supp. No. 2, 1916. POTTER, Feb. 17",West coast Admiralty-Hydrographic. India,['Admiralty-Hydrographic. India (West coast)'],,Feb. 17,
48,"Admiralty-Hydrographic. Irish coast pilot, 1911 : Rev. supp. (2), 1917. .POTTER, May '17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. Irish coast pilot, 1911 : Rev. supp. (2), 1917. .POTTER, May '17",,,,May '17,
49,"Admiralty-Hydrographic. Japan pilot, 1914 Supp., 1916 ...POTTER, Nov. 16 Admiralty-Hydrographic. Korea and Siberia (East coasts) and Sea of Okhotsk pilot, 1913 : Rev. supp., 1916... .POTTER, Feb. 17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. Japan pilot, 1914 Supp., 1916 ...POTTER, Nov. 16 Admiralty-Hydrographic. Korea and Siberia (East coasts) and Sea of Okhotsk pilot, 1913 : Rev. supp., 1916... .POTTER, Feb. 17",,,,Feb. 17,
52,"Admiralty-Hydrographic. New Zealand pilot, 1908 : Supp. No. 3, 1917 .POTTER, Mar. 17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. New Zealand pilot, 1908 : Supp. No. 3, 1917 .POTTER, Mar. 17",,,,Mar. 17,
53,"Admiralty-Hydrographic. Norway pilot. Pt. 2, 1915 : Supp. 1916 ; Pt. 3, 1914 : Supp. 1916 POTTER, Jan. 17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. Norway pilot. Pt. 2, 1915 : Supp. 1916 ; Pt. 3, 1914 : Supp. 1916 POTTER, Jan. 17",,,,Jan. 17,
56,"Admiralty–Hydrographic. Persian Gulf pilot, 1915: Rev. supp., 1917......POTTER, Apr. 17",,,Admiralty–Hydrographic,POTTER,,0.0,,"Admiralty–Hydrographic. Persian Gulf pilot, 1915: Rev. supp., 1917......POTTER, Apr. 17",,,,Apr. 17,
57,"Admiralty-Hydrographic. Red Sea and Gulf of Aden pilot, 1909 : Supp. No. 3, 1916. POTTER, Feb. 17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. Red Sea and Gulf of Aden pilot, 1909 : Supp. No. 3, 1916. POTTER, Feb. 17",,,,Feb. 17,
58,"Admiralty-Hydrographic. St. Lawrence pilot. Vol. 1, 1916: Supp., 1917. Vol. 2, 1916 : Supp., 1917 ..POTTER, July '17",,,Admiralty-Hydrographic,POTTER,,0.0,,"Admiralty-Hydrographic. St. Lawrence pilot. Vol. 1, 1916: Supp., 1917. Vol. 2, 1916 : Supp., 1917 ..POTTER, July '17",,,,July '17,
