entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"A B C of etiquette (The). Cr. 8vo. 4×31, pp. 28, swd. is. net ..HARNDEN, Oct. '19",,,A B C of etiquette (The),HARNDEN,,8vo.,"A B C of etiquette (The). Cr. 8vo. 4×31, pp. 28, swd. is. net ..HARNDEN, Oct. '19",,,,Oct. '19,
"A. L. Nursery rhyme reader (The): a selection of 22 of the most popular nursery rhymes with Illus. for colouring. Cr. 8vo. 7×5, pp. 22, swd. 3d. net...(Leeds) E. J. ARNOLD, July '19",,,A. L. Nursery rhyme reader (The): a selection of,E. J. ARNOLD,,8vo.,"A. L. Nursery rhyme reader (The): a selection of 22 of the most popular nursery rhymes with Illus. for colouring. Cr. 8vo. 7×5, pp. 22, swd. 3d. net...(Leeds) E. J. ARNOLD, July '19",,,,July '19,
"Acts Army (annual), 2d.; Civil Contingencies Fund, id.; Consolidated Fund (No. 1), 1d.; Increase of rent and mortgage interest (res- trictions), 1d.; Intestate husband's estate (Scotland), 1d.; Local elections (expenses), 1d.; Parliamentary elections (soldiers), id.; Representation of the people (returning officers' expenses), 1d.; Summons and process servers' fees (Ireland), id.; War charities (Scotland), id. H.M. STATIONERY OFF., Apr. '19",Acts Army,annual,2d,H.M. STATIONERY OFF.,,,"Acts Army (annual), 2d.; Civil Contingencies Fund, id.; Consolidated Fund (No. 1), Id.; Increase of rent and mortgage interest (res- trictions), Id.; Intestate husband's estate (Scotland), Id.; Local elections (expenses), Id.; Parliamentary elections (soldiers), id.; Representation of the people (returning officers' expenses), Id.; Summons and process servers' fees (Ireland), id.; War charities (Scotland), id. H.M. STATIONERY OFF., Apr. '19",annual Acts Army,['Acts Army (annual)'],,Apr. '19,
"Acts Criminal injuries (Ireland), id.; Naval, Military, and Air Force Service, 1d. ; H.M. STATIONERY OFF., May '19",Acts Criminal injuries,Ireland,"Naval, Military, and Air Force Service",H.M. STATIONERY OFF.,,,"Acts Criminal injuries (Ireland), id.; Naval, Military, and Air Force Service, Id. ; H.M. STATIONERY OFF., May '19",Ireland Acts Criminal injuries,['Acts Criminal injuries (Ireland)'],,May '19,
"Acts-Education (Scotland) (superannuation) id.; Local Government (Ireland), 2d. Ministry of Health, 2d.; Public health (medical treatment of children) (Ireland), id.; Scottish Board of Health, 2d.; Wages (temporary regulation) extension, id. H.M. STATIONERY OFF., June '19",Acts-Education,Scotland,Local Government (Ireland),H.M. STATIONERY OFF.,,,"Acts-Education (Scotland) (superannuation) id.; Local Government (Ireland), 2d. Ministry of Health, 2d.; Public health (medical treatment of children) (Ireland), id.; Scottish Board of Health, 2d.; Wages (temporary regulation) extension, id. H.M. STATIONERY OFF., June '19",Scotland Acts-Education,['Acts-Education (Scotland)'],,June '19,
"Acts-Anglo-French treaty (defence of France), id.; Anthrax prevention, id.; Courts (emer- gency powers), 1d.; Disabled men (facilities for employment), id.; Expiring laws continu- ance, id.; Finance, 3d.; Govt. of the Soudan loan, id.; Grant of administration (bonds), 1d.; Housing, town-planning, &c. 6d. ; Law agents apprenticeship (war service) (Scotland), id.; Matrimonial causes (Dominions troops), 1d.; National Health Insurance, id.; Official Solicitor, id.; Profiteering, id.; Public notar- ies (articled clerks), id.; Restoration of pre-war practices, id.; Solicitors (articled clerks), id.; Statement of rates, id.; Treaty of Peace, id. ; War loan, id.; Weights and measures (leather measurement), id.; West India Court of Appeal, id. H.M. STATIONERY OFFICE, Aug.'19",Acts-Anglo-French treaty,defence of France,"Anthrax prevention, id.; Courts (emer- gency powers)",H.M. STATIONERY OFFICE,,,"Acts-Anglo-French treaty (defence of France), id.; Anthrax prevention, id.; Courts (emer- gency powers), Id.; Disabled men (facilities for employment), id.; Expiring laws continu- ance, id.; Finance, 3d.; Govt. of the Soudan loan, id.; Grant of administration (bonds), Id.; Housing, town-planning, &c. 6d. ; Law agents apprenticeship (war service) (Scotland), id.; Matrimonial causes (Dominions troops), Id.; National Health Insurance, id.; Official Solicitor, id.; Profiteering, id.; Public notar- ies (articled clerks), id.; Restoration of pre-war practices, id.; Solicitors (articled clerks), id.; Statement of rates, id.; Treaty of Peace, id. ; War loan, id.; Weights and measures (leather measurement), id.; West India Court of Appeal, id. H.M. STATIONERY OFFICE, Aug.'19",defence of France Acts-Anglo-French treaty,['Acts-Anglo-French treaty (defence of France)'],,Aug.'19,
"Acts Acquisition of land (assessment of compen- sation), 2d.; Agricultural land sales (restriction of notices to quit), id.; Animals (anaesthetics), 1d.; British Mercantile Marine uniform, id.; Checkweighing in various industries, 2d.; Coal mines, 1d.; Consolidated Fund (No. 2,) 1d.; Education (compliance with conditions of grant), id.; Forestry, 2d. ; Housing (Ireland), 3d.; Housing, town-planning, &c. (Scotland), 6d. ; Intestate movable succession (Scotland), id.; Labourers (Ireland), id.; Land settlement (facilities), 3d.; Merchant shipping (wireless telegraphy), 1d.; Ministry of Transport, 4d.; Police, 2d.; Public works loans, id.; Retired officers (civil employment), 1d.; Solicitors, id.; War pensions (adminis. provisions), id.; Welsh Church (temporalities), id. ........H.M. STATIONERY OFF., Sept.'19",,,Acts Acquisition of land (assessment of compen- sation),H.M. STATIONERY OFF.,,,"Acts Acquisition of land (assessment of compen- sation), 2d.; Agricultural land sales (restriction of notices to quit), id.; Animals (anaesthetics), Id.; British Mercantile Marine uniform, id.; Checkweighing in various industries, 2d.; Coal mines, Id.; Consolidated Fund (No. 2,) Id.; Education (compliance with conditions of grant), id.; Forestry, 2d. ; Housing (Ireland), 3d.; Housing, town-planning, &c. (Scotland), 6d. ; Intestate movable succession (Scotland), id.; Labourers (Ireland), id.; Land settlement (facilities), 3d.; Merchant shipping (wireless telegraphy), Id.; Ministry of Transport, 4d.; Police, 2d.; Public works loans, id.; Retired officers (civil employment), Id.; Solicitors, id.; War pensions (adminis. provisions), id.; Welsh Church (temporalities), id. ........H.M. STATIONERY OFF., Sept.'19",,,,Sept.'19,
"Adami (J. George)-War story of the Canadian Army Medical Corps. Vol. 1, The First Con- tingent (to the Autumn of 1915). 7×5, pp. 286, 5s. net COLOUR, LTD.; ROLLS HO. PUBG. CO., Jan. '19",Adami,J. George,War story of the Canadian Army Medical Corps,ROLLS HO. PUBG. CO.,,,"Adami (J. George)-War story of the Canadian Army Medical Corps. Vol. 1, The First Con- tingent (to the Autumn of 1915). 7×5, pp. 286, 5s. net COLOUR, LTD.; ROLLS HO. PUBG. CO., Jan. '19",J. George Adami,['Adami (J. George)'],,Jan. '19,
"Adams (F.)-My nursery story book. 2s. net. (Popular Board books) .....BLACKIE, July '19",Adams,F.,My nursery story book,BLACKIE,,,"Adams (F.)-My nursery story book. 2s. net. (Popular Board books) .....BLACKIE, July '19",F. Adams,['Adams (F.)'],,July '19,
"Adams (H. S.)-Making a rock garden. 18mo. 2s. 6d. net. (House and garden making books) BATSFORD, Sep. '19",Adams,H. S.,Making a rock garden,BATSFORD,,18mo.,"Adams (H. S.)-Making a rock garden. 18mo. 2s. 6d. net. (House and garden making books) BATSFORD, Sep. '19",H. S. Adams,['Adams (H. S.)'],,Sep. '19,
