entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Barrington (Mrs. Russell)-G. F. Watts: Remi- niscences. 4to. 9 × 7, pp. 230, 21s. net ............ ....... G. ALLEN, June 0s.",,,,,,,"Barrington (Mrs. Russell)-G. F. Watts: Remi- niscences. 4to. 9 × 7, pp. 230, 21s. net ............ ....... G. ALLEN, June 05.",,,,,1905,
"1s. 5d..... Bond Investment Companies Report. 24d. WYMAN, Nov. 0s.",,,,,,,"1s. 5d..... Bond Investment Companies Report. 24d. WYMAN, Nov. 05.",,,,,1905,
"3s. 6d. Cr. 8vo. Fite (W.)-Introd. Study of Ethics. pp. 394, $1.60 ......(N. York) LONGMANS, Aug. 03 Dialogue on Fitzgerald (E.) - Euphranor. Youth. Intro. by Frederick Chapman. 18mo. 6 x 33, pp. 170, 1s. 6d. net; lthr. 2s. net (New Pocket ……………..LANE, Aug. 0s.",,,,,,,"3s. 6d. Cr. 8vo. Fite (W.)-Introd. Study of Ethics. pp. 394, $1.60 ......(N. York) LONGMANS, Aug. 03 Dialogue on Fitzgerald (E.) - Euphranor. Youth. Intro. by Frederick Chapman. 18mo. 6 x 33, pp. 170, 1s. 6d. net; lthr. 2s. net (New Pocket ……………..LANE, Aug. 05.",,,,,1905,
"Jaggard (W.)-Liverpool Literature: a Descrip- tive Bibliography. With Annotations, Market Values, and a brief Introspect. 8vo. 2s. 6d. net; on Japanese vellum, 5s. net (Liverpool) JAGGARD, Dec. 0s.",,,,,,,"Jaggard (W.)-Liverpool Literature: a Descrip- tive Bibliography. With Annotations, Market Values, and a brief Introspect. 8vo. 2s. 6d. net; on Japanese vellum, 5s. net (Liverpool) JAGGARD, Dec. 05.",,,,,1905,
"James (D. H.)-Siege of Port Arthur. Records of an Eye-Witness. Maps, plans, 17 illus. 8vo. 9 × 5, pp. 320, 10s. 6d..... UNWIN, Oct. 0s.",,,,,,,"James (D. H.)-Siege of Port Arthur. Records of an Eye-Witness. Maps, plans, 17 illus. 8vo. 9 × 5, pp. 320, 10s. 6d..... UNWIN, Oct. 05.",,,,,1905,
"James (W. H. N.), Sands (D. L.)-Elementary Electrical Calculations. Book suitable for 1st. and 2nd year students of Electrical Engineering. Cr. 8vo. 7 × 44, pp. 224, 3s. 6d. net LONGMANS, Oct. 0s.",,,,,,,"James (W. H. N.), Sands (D. L.)-Elementary Electrical Calculations. Book suitable for 1st. and 2nd year students of Electrical Engineering. Cr. 8vo. 7 × 44, pp. 224, 3s. 6d. net LONGMANS, Oct. 05.",,,,,1905,
"James I. of England. Counterblast to Tobacco. 18mo. lthr. 18. 6d. net (Ariel Booklets) PUTNAM, Dec.. 0s.",,,,,,,"James I. of England. Counterblast to Tobacco. 18mo. lthr. 18. 6d. net (Ariel Booklets) PUTNAM, Dec.. 05.",,,,,1905,
"Janau (E.), Ludwig (A.)-Public School French Grammar. Based upon the Grammaire Fran- çaise of Auguste Brachet. Part 2, Syntax. Cr. 8vo. 7 × 43, pp. 620, 4s. 6d. HACHETTE, May 0s.",,,,,,,"Janau (E.), Ludwig (A.)-Public School French Grammar. Based upon the Grammaire Fran- çaise of Auguste Brachet. Part 2, Syntax. Cr. 8vo. 7 × 43, pp. 620, 4s. 6d. HACHETTE, May 05.",,,,,1905,
"Jordan (L H.)-Comparative Religion, its. Genesis and Growth. Intro. by Principal Fair- bairn. 8vo. 9 × 54, pp. 688, 128. net T. & T. CLARK, Oct. 0s.",,,,,,,"Jordan (L H.)-Comparative Religion, its. Genesis and Growth. Intro. by Principal Fair- bairn. 8vo. 9 × 54, pp. 688, 128. net T. & T. CLARK, Oct. 05.",,,,,1905,
"Jordan (W. G.)-Self-Control, its Kingship and Majesty. Cr. 8vo. 74 × 5, pp. 192, Ss. 6d. net REVELL, Sep. 0s.",,,,,,,"Jordan (W. G.)-Self-Control, its Kingship and Majesty. Cr. 8vo. 74 × 5, pp. 192, Ss. 6d. net REVELL, Sep. 05.",,,,,1905,
