entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"Amusements, Indoor, Manson (J. A.) 3s. 60. Νου. ΙΙ Amyot (Jacques)—Deux vies parallèles (Plutarch]. 12mo., pp. 180, 1s, net........ .DENT, May 11","Amusements, Indoor, Manson",J. A.,,DENT,1s.,12mo.,"Amusements, Indoor, Manson (J. A.) 35. 60. Νου. ΙΙ Amyot (Jacques)—Deux vies parallèles (Plutarch]. 12mo., pp. 180, Is, net........ .DENT, May 11","J. A. Amusements, Indoor, Manson","['Amusements, Indoor, Manson (J. A.)']",,May 11,net
"Anselm (St.)-Cr. 8vo., 3s. 6d. net (Notre Dame ser.) ..SANDS, June 11",Anselm,St.,,SANDS,3s. 6d.,8vo.,"Anselm (St.)-Cr. 8vo., 35. 6d. net (Notre Dame ser.) ..SANDS, June 11",St. Anselm,['Anselm (St.)'],,June 11,net
"Borrow (George)-- 1sobel Berners. Pop. edit. Cr. 8vo., pp. 376, is, net. . HODDER & S., Oct. 11",Borrow,George,,HODDER & S.,,8vo.,"Borrow (George)-- Isobel Berners. Pop. edit. Cr. 8vo., pp. 376, is, net. . HODDER & S., Oct. 11",George Borrow,['Borrow (George)'],,Oct. 11,
"Clemens (Samuel L.) see Twain (Mark) Clement (E. W.)—The Japanese floral calendar. 2nd edit. 8vo., 2s. 6d. net..K. PAUL, June 11",Clemens,Samuel L.,,K. PAUL,2s. 6d.,8vo.,"Clemens (Samuel L.) see Twain (Mark) Clement (E. W.)—The Japanese floral calendar. 2nd edit. 8vo., 2s. 6d. net..K. PAUL, June 11",Samuel L. Clemens,['Clemens (Samuel L.)'],,June 11,net
"Cresswell (Henry) see Colles (W. M.) and Cresswell, Creswick (Paul)—The Kitty conſidences. 12m0., pp. 160, swd. is, net ......LONG, July 11",Cresswell,Henry,,LONG,,,"Cresswell (Henry) see Colles (W. M.) and Cresswell, Creswick (Paul)—The Kitty conſidences. 12m0., pp. 160, swd. is, net ......LONG, July 11",Henry Cresswell,['Cresswell (Henry)'],,July 11,
"Durer (Albrecht)-4to. 81 X6, 2s. 60. net (Great Engravers) . HEINEMANN, Oct. 11",Durer,Albrecht,,HEINEMANN,,,"Durer (Albrecht)-4to. 81 X6, 25. 60. net (Great Engravers) . HEINEMANN, Oct. 11",Albrecht Durer,['Durer (Albrecht)'],,Oct. 11,
"Enchanted parrot, Wortham (B. H.) 3s. 6d. net Feb.nl Encyclopedia Biblica, 4 vols. Ryl. 8vo., 42s. net WATTS, May 11","Enchanted parrot, Wortham",B. H.,,WATTS,42s.,8vo.,"Enchanted parrot, Wortham (B. H.) 35. 6d. net Feb.nl Encyclopedia Biblica, 4 vols. Ryl. 8vo., 425. net WATTS, May 11","B. H. Enchanted parrot, Wortham","['Enchanted parrot, Wortham (B. H.)']",,May 11,net
"Gamble (F. W.,—The Animal world. 12mo., pp. 256, 1s. net. (Home university library) WILLIAMS & N., June 11",Gamble,"F. W.,—The Animal world. 12mo., pp. 256, 1s. net. (Home university library",,WILLIAMS & N.,,,"Gamble (F. W.,—The Animal world. 12mo., pp. 256, Is. net. (Home university library) WILLIAMS & N., June 11","F. W.,—The Animal world. 12mo., pp. 256, 1s. net. (Home university library Gamble","['Gamble (F. W.,—The Animal world. 12mo., pp. 256, 1s. net. (Home university library)']",,June 11,
"Gospel monogram, Herschel (Sir W. J.) 5s. 25s. net Gould (Nat)—The Buckjumper. 8vo., swd. 6d. LONG, May 11","Gospel monogram, Herschel",Sir W. J.,,LONG,6d.,8vo.,"Gospel monogram, Herschel (Sir W. J.) 5s. 25s. net Gould (Nat)—The Buckjumper. 8vo., swd. 6d. LONG, May 11","Sir W. J. Gospel monogram, Herschel","['Gospel monogram, Herschel (Sir W. J.)']",,May 11,
"1dyllia. By the author of “ Thysia. Cr. Svo Swd. 1s. net.... . BELL, May 11",,,,BELL,1s.,,"Idyllia. By the author of “ Thysia. Cr. Svo Swd. Is. net.... . BELL, May 11",,,,May 11,net
"1sho' dad of Merv, Bishop of Hadatha (c. 850 A.D.) - Commentaries, in Syriac and English. Edit. and trans. by Margaret Dunlop Gibson. Intro. by James Rendel Harris. translation; vol. 2, Matthew and Mark in Syriac; vol. 3, Luke and John in Syriac. Cr. 4to., pp. 330, 244, 236; swd. Vol. 1, 6s. net; vols. 2 and 3, ea. Ios. 6d. net (Horas Semiticae, Nos. 5–7) CAMB. UNIV. PRESS, July 11",,,,CAMB. UNIV. PRESS,6d.,4to.,"Isho' dad of Merv, Bishop of Hadatha (c. 850 A.D.) - Commentaries, in Syriac and English. Edit. and trans. by Margaret Dunlop Gibson. Intro. by James Rendel Harris. translation; vol. 2, Matthew and Mark in Syriac; vol. 3, Luke and John in Syriac. Cr. 4to., pp. 330, 244, 236; swd. Vol. 1, 6s. net; vols. 2 and 3, ea. Ios. 6d. net (Horas Semiticae, Nos. 5–7) CAMB. UNIV. PRESS, July 11",,,,July 11,net
"1slam and missions : being papers read at the and Missionary Conference on behalf of the Mohammedan world at Lucknow, Jan, 23-28, 1911. 8vo, 81 X54, pp. 298, 5s, net REVELL, Oct. 11",,,,REVELL,5s.,"8vo,","Islam and missions : being papers read at the and Missionary Conference on behalf of the Mohammedan world at Lucknow, Jan, 23-28, 1911. 8vo, 81 X54, pp. 298, 5s, net REVELL, Oct. 11",,,,Oct. 11,net
"King, The, Wood (A. E.) 6s............. .Νου. ΙΙ King and 1sabel (The) By the author of The adventures of John Jolins.” Pop. edit. Cr. 8vo., pp. 306, is. net ......T. W. LAURIE, July 11","King, The, Wood",A. E.,,T. W. LAURIE,,8vo.,"King, The, Wood (A. E.) 6s............. .Νου. ΙΙ King and Isabel (The) By the author of The adventures of John Jolins.” Pop. edit. Cr. 8vo., pp. 306, is. net ......T. W. LAURIE, July 11","A. E. King, The, Wood","['King, The, Wood (A. E.)']",,July 11,
"Leblanc (Maurice)—813. Popular edit. Cr. 8vo., pp. 432, swd. is, net....MILLS & BOON, Sep. 11",Leblanc,Maurice,,MILLS & BOON,,8vo.,"Leblanc (Maurice)—813. Popular edit. Cr. 8vo., pp. 432, swd. is, net....MILLS & BOON, Sep. 11",Maurice Leblanc,['Leblanc (Maurice)'],,Sep. 11,
"Mahometanism, Stubbe (H.) 6s, net......May i Mahood (J. W.)— The Lost art of meditation. Cr. 8vo. 73 X5, pp. 190, 3s. éd. net REVELL, May 11","Mahometanism, Stubbe",H.,,REVELL,,8vo.,"Mahometanism, Stubbe (H.) 6s, net......May i Mahood (J. W.)— The Lost art of meditation. Cr. 8vo. 73 X5, pp. 190, 35. éd. net REVELL, May 11","H. Mahometanism, Stubbe","['Mahometanism, Stubbe (H.)']",,May 11,
"Cr. 8vo. os. net ..PUTNAM, Mar. 11",,,,PUTNAM,,8vo.,"Cr. 8vo. os. net ..PUTNAM, Mar. 11",,,,Mar. 11,
"Nietzsche (Friedrich)-Ecce homo. (Works, Vol. 17.) Cr. 8vo. 8 X5, pp. 222, 6s. 'net FOULIS, Oct. 11",,,,FOULIS,,8vo.,"Nietzsche (Friedrich)-Ecce homo. (Works, Vol. 17.) Cr. 8vo. 8 X5, pp. 222, 6s. 'net FOULIS, Oct. 11",,"['Nietzsche (Friedrich)-Ecce homo. (Works, Vol. 17.)']",,Oct. 11,
"Otter, Hunted, Collinson (J.) 2d......... July in Ottiger (Ignatio)--Theologia fundamentalis. Vol. 2, De Ecclesia Christi ut infallibili revelationis divinae magistra. Svo., pp. 1086, Ithr., 26s. 6d. .HERDER, June 11","Otter, Hunted, Collinson",J.,,HERDER,26s. 6d.,,"Otter, Hunted, Collinson (J.) 2d......... July in Ottiger (Ignatio)--Theologia fundamentalis. Vol. 2, De Ecclesia Christi ut infallibili revelationis divinae magistra. Svo., pp. 1086, Ithr., 26s. 6d. .HERDER, June 11","J. Otter, Hunted, Collinson","['Otter, Hunted, Collinson (J.)']",,June 11,
"Silver shamrock, Curties (H.) 6s. ......May ir Simmonds (Ralph)-All about airships : a book for boys. 8vo. 87 X54, pp. 386, 6s. CASSELL, Od. 11","Silver shamrock, Curties",H.,,CASSELL,6s.,8vo.,"Silver shamrock, Curties (H.) 6s. ......May ir Simmonds (Ralph)-All about airships : a book for boys. 8vo. 87 X54, pp. 386, 6s. CASSELL, Od. 11","H. Silver shamrock, Curties","['Silver shamrock, Curties (H.)']",,Od. 11,
"Under the Swedish colours, Judd (F. A.) 2s. 6d., s, net.. ..0d. 11",,,,,,,"Under the Swedish colours, Judd (F. A.) 25. 6d., IS, net.. ..0d. 11",,,,,
"SIMPKIN, June 11",,,,SIMPKIN,,,"SIMPKIN, June 11",,,,June 11,
"Wilmot (E. A. Eardley-) see Eardley-Wilmot. Wilmot (Sir S. Eardley-) see Eardley-Wilmot Wilmot-Buxton (E. M.)--The Story of the Crusades. Illus. 4to. 84x54, pp. 286, 3s. 6d.net HARRAP, July 11",Wilmot,E. A. Eardley-,,HARRAP,3s. 6d.,4to.,"Wilmot (E. A. Eardley-) see Eardley-Wilmot. Wilmot (Sir S. Eardley-) see Eardley-Wilmot Wilmot-Buxton (E. M.)--The Story of the Crusades. Illus. 4to. 84x54, pp. 286, 35. 6d.net HARRAP, July 11",E. A. Eardley- Wilmot,['Wilmot (E. A. Eardley-)'],,July 11,net
