entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"Agriculture for Ireland (Dept. of)--16th Annual gen. report, 1915-16. H.M. STATIONERY OFF., June '17",Agriculture for Ireland,Dept. of,,H.M. STATIONERY OFF.,,0.0,,"Agriculture for Ireland (Dept. of)--16th Annual gen. report, 1915-16. H.M. STATIONERY OFF., June '17",Dept. of Agriculture for Ireland,['Agriculture for Ireland (Dept. of)'],,June '17,
"Agriculture for Scotland (Bd. of)--5th Report 1916. 30. H.M. STATIONERY OFF., July '17",Agriculture for Scotland,Bd. of,,H.M. STATIONERY OFF.,,0.0,,"Agriculture for Scotland (Bd. of)--5th Report 1916. 30. H.M. STATIONERY OFF., July '17",Bd. of Agriculture for Scotland,['Agriculture for Scotland (Bd. of)'],,July '17,
"Alexander (Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum) WESLEY, Scp. '17",Alexander,"Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum",,WESLEY,,0.0,,"Alexander (Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum) WESLEY, Scp. '17","Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum Alexander","['Alexander (Charles P.I.The Crane-flies of South Africa. Pt. 1. Illus. Ayn. 8vo. 10 x64, pp. 46, 8s. 6d. net (Annals, s. African Museum)']",,Scp. '17,
"Aris (Ernest A.)--Twinkle Mouse of Cornstalk PARTRIDGE, Sep. '17",Aris,Ernest A.,,PARTRIDGE,,0.0,,"Aris (Ernest A.)--Twinkle Mouse of Cornstalk PARTRIDGE, Sep. '17",Ernest A. Aris,['Aris (Ernest A.)'],,Sep. '17,
"Cr. 8vo. 78 x 51, pp. 160, 5s. net BLACKWELL, Nov. '17",,,,BLACKWELL,5s.,0.25,8vo.,"Cr. 8vo. 78 x 51, pp. 160, 55. net BLACKWELL, Nov. '17",,,,Nov. '17,net
"L. B. HILL, Mar. 17",,,,L. B. HILL,,0.0,,"L. B. HILL, Mar. 17",,,,Mar. 17,
"Blumfeld (J.) see Elomfield (J.) Blundell (krs. Franci: ) see liiancis (M. E.) Blundell (Dom 0.)--The Catholic Highlands of Scotland : the Western Highlands and 1slands. Cr. 8vo. 5s, net SANDS, Jan. 17",Blumfeld,J.,,SANDS,5s.,0.25,8vo.,"Blumfeld (J.) see Elomfield (J.) Blundell (krs. Franci: ) see liiancis (M. E.) Blundell (Dom 0.)--The Catholic Highlands of Scotland : the Western Highlands and Islands. Cr. 8vo. 5s, net SANDS, Jan. 17",J. Blumfeld,['Blumfeld (J.)'],,Jan. 17,net
"SECKER, Feb. 17",,,,SECKER,,0.0,,"SECKER, Feb. 17",,,,Feb. 17,
"HEINEMANN, Aug. '17",,,,HEINEMANN,,0.0,,"HEINEMANN, Aug. '17",,,,Aug. '17,
"NELSON, Nov. '17",,,,NELSON,,0.0,,"NELSON, Nov. '17",,,,Nov. '17,
"HEINEMANN, July ’17",,,,HEINEMANN,,0.0,,"HEINEMANN, July ’17",,,,July ’17,
"J. MURRAY, July '17",,,,J. MURRAY,,0.0,,"J. MURRAY, July '17",,,,July '17,
"Cr. 8vo. swd. is. 3d. net HODDER & S., Feb. 17 Calkins (H. A.) see Curran (W. Tees) and Calkins. Cable (Boyd)-Grapes of wrath. Cr. 8vo. 71 x 5}, Call (T. 0.)-In a Belgian garden and other Pp. 276, 5s. net .SMITH, E., Mar. 17",,,,"SMITH, E.",5s.,0.25,8vo.,"Cr. 8vo. swd. is. 3d. net HODDER & S., Feb. 17 Calkins (H. A.) see Curran (W. Tees) and Calkins. Cable (Boyd)-Grapes of wrath. Cr. 8vo. 71 x 5}, Call (T. 0.)-In a Belgian garden and other Pp. 276, 5s. net .SMITH, E., Mar. 17",,,,Mar. 17,net
"PICTORIAL NEWSPAPER CO., A pr. 17",,,,PICTORIAL NEWSPAPER CO.,,0.0,,"PICTORIAL NEWSPAPER CO., A pr. 17",,,,A pr. 17,
"Clear (Claudius) see Nicoll (Sir W. R.) Cleaver (Hylton)-The Tempting thought. Cr. 8vo. 71 X 5, pp. 313, 6s. ..MILLS & B., Oct. '17",Clear,Claudius,,MILLS & B.,6s.,0.3,8vo.,"Clear (Claudius) see Nicoll (Sir W. R.) Cleaver (Hylton)-The Tempting thought. Cr. 8vo. 71 X 5, pp. 313, 6s. ..MILLS & B., Oct. '17",Claudius Clear,['Clear (Claudius)'],,Oct. '17,
"Civil Service--Estimates, 1916–1? (Supp.). 30. WYMAN, Feb. 17","Civil Service--Estimates, 1916–1?",Supp.,,WYMAN,,0.0,,"Civil Service--Estimates, 1916–1? (Supp.). 30. WYMAN, Feb. 17","Supp. Civil Service--Estimates, 1916–1?","['Civil Service--Estimates, 1916–1? (Supp.)']",,Feb. 17,
"Corelli (Marie)-1s all well with England ? question. 18mo. 6] x 5), pp. 30, 6d. net JARROLD, Aug. '17",Corelli,Marie,,JARROLD,6d.,0.025,18mo.,"Corelli (Marie)-Is all well with England ? question. 18mo. 6] x 5), pp. 30, 6d. net JARROLD, Aug. '17",Marie Corelli,['Corelli (Marie)'],,Aug. '17,net
