,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
47,"58. net Acts, 1913-Cambrian Railways, is. 3d. ; Colne Corporation, is. 9d. ; Derby Corporation, 4s. 3d. ; Dover Harbour, s.; Dunferm- line District water, 3s. 6d.; Education Board provisional orders confirmation (Cardigan, &c.), 1s. ; ditto (London, No. I), is. 3d.; ditto (London, No. 2), 6d.; ditto (London, No. 3), is.; Electric lighting orders confirmation (No. 1), 28. 6d. ; ditto (No. 2), 28. 6d.; ditto (No. 3), 1s. ; ditto (No. 4), 2s. 3d.; ditto (No. 5), 1s. 3d. ; ditto (No. 6), 3d.; ditto (No. 7), is. ; Gas orders confirmation 3s. 9d.; Gas and water orders confirmation (No. 1), 2s. 6d.; ditto (No. 2), 3s. 6d.; Great Haywood and Tompkin Congregational Chapels, 6d.; Harrow and Stanmore gas, 2s. ; Hatfield (York, West Riding) Calvinistic Chapel, 3d. ; Herne Bay gas and electricity, 1s.; Hove Corporation, 2s. 9d.; Hulme Trust' Estates scheme, 3d.; 1sle of Wight Central Railway (Godshill Transfer), 2s. 3d.; Kent electric power, 9d.; Kingswood Chapel scheme, 3d. WYMAN, Oct. 13",,,,WYMAN,3d.,,"58. net Acts, 1913-Cambrian Railways, is. 3d. ; Colne Corporation, is. 9d. ; Derby Corporation, 45. 3d. ; Dover Harbour, IS.; Dunferm- line District water, 3S. 6d.; Education Board provisional orders confirmation (Cardigan, &c.), Is. ; ditto (London, No. I), is. 3d.; ditto (London, No. 2), 6d.; ditto (London, No. 3), is.; Electric lighting orders confirmation (No. 1), 28. 6d. ; ditto (No. 2), 28. 6d.; ditto (No. 3), Is. ; ditto (No. 4), 25. 3d.; ditto (No. 5), Is. 3d. ; ditto (No. 6), 3d.; ditto (No. 7), is. ; Gas orders confirmation 3s. 9d.; Gas and water orders confirmation (No. 1), 25. 6d.; ditto (No. 2), 35. 6d.; Great Haywood and Tompkin Congregational Chapels, 6d.; Harrow and Stanmore gas, 25. ; Hatfield (York, West Riding) Calvinistic Chapel, 3d. ; Herne Bay gas and electricity, Is.; Hove Corporation, 25. 9d.; Hulme Trust' Estates scheme, 3d.; Isle of Wight Central Railway (Godshill Transfer), 25. 3d.; Kent electric power, 9d.; Kingswood Chapel scheme, 3d. WYMAN, Oct. 13",,,,Oct. 13,1913,
85,"Administration, Prussian, James (H. G.) 6s. 6d. net Administration, Public, in England, Reid (G. T.) s. 6d..... Admiralty-First aid in the Royal Navy, gd. WYMAN, July 13","Administration, Prussian, James",H. G.,,WYMAN,,,"Administration, Prussian, James (H. G.) 6s. 6d. net Administration, Public, in England, Reid (G. T.) IS. 6d..... Admiralty-First aid in the Royal Navy, gd. WYMAN, July 13","H. G. Administration, Prussian, James","['Administration, Prussian, James (H. G.)']",,July 13,1913,
137,"8 d. WYMAN, Mar. 13",,,,WYMAN,,,"8 d. WYMAN, Mar. 13",,,,Mar. 13,1913,
152,"Agricultural statistics (Ireland) 1912---Detailed report, 1912. gd. .. WYMAN, Sep. 13",Agricultural statistics,Ireland,,WYMAN,,,"Agricultural statistics (Ireland) 1912---Detailed report, 1912. gd. .. WYMAN, Sep. 13",Ireland Agricultural statistics,['Agricultural statistics (Ireland)'],,Sep. 13,1913,
153,"Agricultural statistics (Ireland) 1912-Report and tables relating to Irish agricultural labourers, 2}d. .. WYMAN, Aug. 13",Agricultural statistics,Ireland,,WYMAN,,,"Agricultural statistics (Ireland) 1912-Report and tables relating to Irish agricultural labourers, 2}d. .. WYMAN, Aug. 13",Ireland Agricultural statistics,['Agricultural statistics (Ireland)'],,Aug. 13,1913,
396,"is. id. (post free) . WYMAN, Apr. 13",,,,WYMAN,,,"is. id. (post free) . WYMAN, Apr. 13",,,,Apr. 13,1913,
427,"Army-Remount manual (war). 20. WYMAN, Nov. 13",Army-Remount manual,war,,WYMAN,,,"Army-Remount manual (war). 20. WYMAN, Nov. 13",war Army-Remount manual,['Army-Remount manual (war)'],,Nov. 13,1913,
693,". LYNWOOD, Oct. 13",,,,LYNWOOD,,,". LYNWOOD, Oct. 13",,,,Oct. 13,1913,
713,"Baroque architecture, Briggs (M. S.) 21s, net Barr (Amelia E.)-All the days of my life : the red leaves of a human heart. Illus. 8vo. 9 X6, pp. 540, 12s, 6d. net.. . . APPLETON, Oct. 13","Baroque architecture, Briggs",M. S.,,APPLETON,12s. 6d.,8vo.,"Baroque architecture, Briggs (M. S.) 21s, net Barr (Amelia E.)-All the days of my life : the red leaves of a human heart. Illus. 8vo. 9 X6, pp. 540, 12s, 6d. net.. . . APPLETON, Oct. 13","M. S. Baroque architecture, Briggs","['Baroque architecture, Briggs (M. S.)']",,Oct. 13,1913,net
746,"Bartlett (A. Cecil)-Gardening. 12mo6d. net (People's books) . JACK, Apr. 13",,,,JACK,,,"Bartlett (A. Cecil)-Gardening. I2mo6d. net (People's books) . JACK, Apr. 13",,"[""Bartlett (A. Cecil)-Gardening. 12mo6d. net (People's books)""]",,Apr. 13,1913,
