,0
0,"66
>
A B C girl, Meade (I.. T.) 6d...... · July 11"
1,"A B C, or alphabetical railway guide., Monthly.
8vo., ea, swd. 6d.
.OFFICE, Jan., &c.,II"
2,"A. L.” Bright story readers : Adventures of
Capt. J. Smith, Marshall (J. B.) 4d. .. July II"
3,"A. L."" Bright story readers, Gardiner (A.)
Chimes, 4d.; Southey's Life of Nelson, 4d.
Enchanted doll, 2ļd. ; Knights of round table
Ifd.
Mar. 11"
4,"""A.I,.” Geography of Africa, Franklin (T.) 4d., 5d.
Oct. 11"
5,""" A. L."" Pupils' atlas of physical and political
geography. Edition N. 4to. bds. is. 3d. net
E. J. ARNOLD, July II"
6,"“A. L.” Welcome readers, Gardiner (A.) Bk. 5,
Iod. net
· July 11"
7,"A.L."" Wool Modelling, Garside (A. S.) 9d. net
Oct, II"
8,"Abbey In:lependent Church, Ministers of the
Boseley (I.) 1650-60, 3s. 6d. net.. ... Mavil
Abbot (Charles G.)-The Sun. Cr. 8vo. 71 x 5,
pp. 474, 75, 6d, net.... . APPLETON, Nov. II"
9,"Abbot, The, Scott (Sir W.) 28.
Jan. 11"
10,"Abbot's House at Westminster, Robinson (J. A.)
58. net
.Dec. 11"
11,"Abbott (Clinton G.)—The Home-life of the Osprey :
photographed and described. 4to. 103 x7,
pp. 54, and plates, 6s, net .. WITHERBY, Nov. II"
12,"Abbott (E. H.)-On the training of parents.
Cr. 8vo., 2s, net
...S.S.U., Jan. 11"
13,"Abbott (Eleanor H.)—Molly Make-Believe. Cr.
8vo., pp. 180, is. net.. HEINEMANN, July 11"
14,"Abbott (G. F.)-The Ambassador of Loss : leaves
from the diary of John Trethewy. Cr. 8vo.
74x4), pp. 308, 6s.......HARPER, Sep. II"
15,"Abbott (G. F.)—The Philosophy of a Don.
Cr. 8vo. 74 X5, pp. 320, 55. net.. SWIFT, May 11"
16,"Abbott (Keene)-A Melody in silver. Cr. 8vo.
71x41, pp. 210, 2s, net ....PUTNAM, Oct. 11"
17,"Abbott (Lyman)-America in the making. Cr. 8vo
74 X 5, pp. 242, 6s. net ......FROWDE, June 11"
18,"Abbott (Lyman)—The Spirit of democracy.
Cr. 8vo. 8 X5, PP. 224, 45. 6d. net
CONSTABLE, Jan. 11"
19,"Abbott (S. S.)-The Bee-keeper's companion.
Cr. 8vo. 71 X41, pp. 122, Is. 6d. net ; swd. is.
. MILLS & B., July 11"
20,"Abbott (W. C.)-Colonel Thomas Blood, Crown
stealer, 1618–1680. Cr. 8vo., 45. net
FROWDE, May 11"
21,"Abbreviations, Brit. and foreign, Dobbs (A. E.)
6d. net
..Oct. 11"
22,"Abdomen, Acute, Battle (W. H.) 45. net Mar. II"
23,"Abdur Rahim-The Principles of Muhammadan
jurisprudence according to the Hanafi, Maliki,
Shafi'i and Hanbali Schools. Ryl. 8vo., pp.
460, 21S. net..
.... LUZAC, June 11"
