entry,page_num,doc_page_num,main_entry
"А A B C. Obl. 4to. 114x84, linen 38. 6d. net, ed. de luxe 5s. net; swd. is. net. ("" Geographia' Brit. picture bks.) ..GEOGRAPHIA, Dec. 16",1,9,TRUE
"A B C, Everyday, 6d. net June 16",1,9,FALSE
"A B C guide for attested and unattested. 32mo. 4*X3, swd. id.............LARBY, June 16",1,9,TRUE
"A B C guide to London, 1916. Cr. 8vo. 64 x 48, swd. 4d. .LARBY, Aug. 16",1,9,TRUE
"A B C, Little chicks, 6d. net · June 16",1,9,FALSE
"ABC of a cash bk., Layman (A) 6d. net May 16",1,9,FALSE
"A B C of automobile driving, Verrill (A. H.) 28. net June 16",1,9,FALSE
"A B C of banking (The). By “L. S. D.” Cr. 8vo. 74 X 5, pp. 150, 28. 6d. net BARNICOTT & P., Jan. 16",1,9,TRUE
"A B C of cooking, Herrick (C. T.) 2s, net.. June 16",1,9,FALSE
"A B C of golf, Dunn (J. D.) 28. net..... .May 16",1,9,FALSE
"ABC of home saving, Farmer (L. C.) 28. net July 16",1,9,FALSE
"A B C of military law, Grierson (F. D.) is. 6d. net May 16",1,9,FALSE
"ABC of motion pictures, Welsh (R. E.) 28. pet May 16",1,9,FALSE
"A B C of will making and proving, Layman (A) 28. net .....May 16",1,9,FALSE
"A B C, or Alphabetical railway guide. Monthly. ea. swd. 60. (15, Fetter Lane, E.C.) OFFICE, 16",1,9,FALSE
"'A.B.O.W.""--Invisible near city. 6d. net Dec. 16",1,9,FALSE
"A. E.""-National being : some thoughts on an Irish polity. 45. 6d. net ... Sep. 16",1,9,FALSE
A. H. W. (Canada)---If ye fulfil the royal law. 6s. net · Apr. 16,1,9,FALSE
"""A. L."" Bright story readers. Grade 3. Cr. 8vo. 71 x 57, pp. 63, swd. 3d. E. J. ARNOLD, July 16",1,9,TRUE
"""A. L."" Bright story readers. No. 116, The Nightingale and the bottle neck. Cr. 8vo. 77 x 51, pp. 32, swd, 2d. E. J. ARNOLD, Aug. 16",1,9,TRUE
"""A. L."" Direct method readers, Thomas (D.) Bk. B., 7d. net · July 16",1,9,FALSE
A. L. S.'.-Laurie's Elem. Russian grammar. 7d. net ... Nov. 16,1,9,FALSE
"A. P. L.-Protestantism, pole star of England, 2d. July 16",1,9,FALSE
"Abandoned, Verne (J.) 18. 3d. net. .Nov. 16",1,9,FALSE
"Abbé Constantin, Haléry (L.) 7d. net ..May 16",1,9,FALSE
"Abbeys of Gt. Britain, Ruined, Cram (R. A.) 106, 6d. net May 16",1,9,FALSE
"Abbot (Charles Greeley)-Arequipa pyrhelio- metry. 8vo. 98 x64, pp. 24, is. net. (Smith- sonian Coll.) .WESLEY, Oct. 16",1,9,TRUE
"Abbot (Charles Greeley) and others On the distribution of radiation over the sun's disk and new evidences of the solar variability. ipl. 8vo. 93 X64, pp. 24, swd. is. 6d. net. (Smith- sonian Coll.) .. WESLEY, Oct. 16",1,9,TRUE
"Abbott (Edwin A.)-Diatessarica : Part 10, The Fourfold gospel ; Section 4. The Law of the new kingdom. 8vo. 9 5, 125. 6d. net CAMB. UNIV. PR., Mar. 16",1,9,TRUE
"Abbott (James Francis)- Japanese expansion and American policies. Cr. 8vo. 78 x 58, 6s. 6d. net (N. Y.) MACMILLAN, Feb. 16",1,9,TRUE
"Abbott (Lyman)--Reminiscences. Illus. 8vo. 9x6, pp. 528, 155. net.. CONSTABLE, Feb. 16",1,9,TRUE
"Abbott-Brown (C., Maj.)---How to do it: the A.S.C. subaltern's and N.C.O.'s vade mecum ; also applic. for cavalry, artillery, engineers ard infantry. 44 X 31, pp. 97, is. net F. GROOM, Aug. 16",1,9,TRUE
"Abdullah (Achmed)-The Red stain: a story of mystery and crime. Cr. 8vo. 74 X 5, pp. 309, 6s. SIMPKIN, Sep. 16",1,9,TRUE
"Abdullah, Sheikh Haroun, and his poetry, Léon (H. M.) 28. 6d. net ...May 16",1,9,FALSE
"Abnegation, Menzies (Mrs. S.) 6s. .Jan. 16",1,9,FALSE
"Above the battle, Rolland (R.) 25. 6d. net Feb. 16",1,9,FALSE
"Above what he could bear, Cress (C.) 6s. Feb. 16",1,9,FALSE
"Abyss, The, Kussy (N.) 6s. net Apr. 16",1,9,FALSE
"Academ Roial of King James I, Portal (E. M.) Is. 6d. net ...Oct. 16",1,9,FALSE
"Academy Architecture and Architectural Review. Vols. 48 and 49. 4to. 98 x 71, ea. 45. rod. net, swd. 45. net (44, Doughty Street, W.C.) OFFICE, Mar., Nov. 16",1,9,FALSE
"Academy. See under Royal Academy. Accompany, How to, at the piano, Evans (E.) 45. 6d. net Dec. 16",1,9,FALSE
"Accompanying, Art of, Lindo (A. H.) 38. Nov. 16",1,9,FALSE
"Account, An, Cotterill (E.) 28. 6d. net....Oct. 16",1,9,FALSE
"Account rendered, Benson (E. F.) 25. net. .Apr. 16",1,9,FALSE
"Accountants, List of, w. Brit. Forces, 1914-1916 : With the Colours. 58. 4d. net .Oct. 16",1,9,FALSE
"Accounts for hospitals, Uniform system, Burdett (Sir H.) 5s, net July 16",1,9,FALSE
"Accounts (Public), Ctte. of, 1916—Memo. by Comptroller and Auditor-Gen. for inform. of, rid. ... WYMAN, Sept. 16",1,9,TRUE
"Accounts (Public), Ctte. of--Ist report, id. 2nd report, 24d. 1st and 2nd Reports, w. proc., minutes of evid. and appen. 3s. WYMAN, June, Aug., Oct. 16",1,9,FALSE
....Oct. 16,2,10,FALSE
"Achievement, Thurston (E. T.) 25. net..Nov. 16",2,10,FALSE
"Acids, Amino, Physiology of, Underhill (F. P.) 6s. net ... June 16",2,10,FALSE
"Acland (Mrs. Arthur H. D.)-Child training. Cr. 8vo. 71 x 5, pp. 179, Is. net SIDGWICK & J., Oct. 16",2,10,TRUE
"Acoustics : Correc, of echoes and reverberation in the Auditorium, Univ. of Illinois, Watson (F. R.) and White (J. M.) 8d. net......Dec. 16",2,10,FALSE
"Acoustics, Hyper-, Dunk (J. L.) Div. 1, Simul- taneous tonality. 75. 6d. net · July 16",2,10,FALSE
"Across the border, Dix (B. M.) 28. 6d. net Nov. 16",2,10,FALSE
"Across the Cameroons, Gilson (C.) 35. Action front, Cable (B.) 5s. net June 16",2,10,FALSE
"Actor, Film, How to beconie a, Elliott (W. J.) 6d. net. May 16",2,10,FALSE
"Acts-Index to Public General Acts, 1914-16, W. tables, &c. 7d. ..WYMAN, Feb. 16",2,10,TRUE
"Acts Local and Private Acts, 1914-16, w. index, tables, &c. 4s. WYMAN, Aug. 16",2,10,TRUE
"Acts—Public General Acts, 1914-16, w. index, tables, &c. 35. WYMAN, Apr. 16",2,10,TRUE
"Acts-Appropriation (No. 2), įd. ; Clubs (Temp. prov.), id. ; Naval and military war pensions, &c., iid. ; Patents and designs (Partial sus- pension), įd. ; Local and private : Ammanford Urban Distr. Council, 25. od. ; Chelmsford Corporation, 28. 3d. ; Dewsbury Corporation, 5S. 6d.; Eastern Valleys (Monmouthshire), Joint Sewerage Bd., Is. ; Electric Lighting Ord. Confirm. No. 3, 2s. 6d. ; do., No. 4, 28. 6d. ; L.C.C. General powers, 28. 6d.; Lurgan Urban Distr. Council, 4s. 6d.; Methodist Church in Ireland, 4s. 9d.; Northwich Gas, 28. 3d. ; Prescot Gas, is. gd.; Rotherham Corporation, 28. gd. ; Spennymoor and Tudhoe Gas, is. gd. WYMAN, Nov. 15",2,10,TRUE
"Acts—Finance (No. 2), 4}d.; Govt. war obliga- tions, fd.; Indian Civil Service (Temp. prov.), d.; Judicial Ctte., dd.; Midwives (Scotland), 2d. ; Street collections regulation (Scotland), fd.; Local and private : Aberdare Urban Distr. Council, 25. 3d. ; Ashington Urban Distr. Council, 3s. 6.; Barnoldswick Urban Distr. Council Water, 35. od.; Dundee Corp. Ord. Confirm. is.; Gas and Water Ord. Confirm., No. 2, 45.; Massy's divorce, 6d. ; Metropolitan Water Bd., 35.; Nottingham Corp. (Trent Navigation Transfer), is. 3d. ; Pier and Harbour Ord. Confirm. (No. 1), 35. ; South Shields Corp., is. 6d. ; Weardale and Consett Water, 25. 9d. ; Wolverhampton Corp. Water, 28. od. WYMAN, Dec. 15",2,10,TRUE
"Acts-Education (Small population grants), fd.; Evidence (Amend.), d.; Increase of rent and mortgage interest (war restric.), id.; Indict- ments, 2 d.; Trading with the Enemy (Exten. of powers), įd. ; War Loan (Supp. prov.), id. Local and private : Beamish divorce, 9d. ; Clackmannan County Water Order, 38. 3d. ; Denny's divorce, 6d.; Glasgow Water Ord. Confirm., 25. 9d.; Lincoln Corporation, 6s.; L.C.C. (Celluloid), is, 3d. ; do. (Tramways and improvements), is.gd. ; Pier and Harbour Ord. Confirm. (No. 2), 25. 3d. ; Port Dundas Church and Parish, Quoad Sacra, Glasgow Ord. Confirm., 6d. ; Rhondda Urban Distr. Council (Tramways Exten.), 25. 6d. ; Stalybridge, &c., Tramways and Elec. Bd., 35. 6. WYMAN, Jan. 16",2,10,TRUE
"Acts---Army (Suspension of sentences) Amend., jd.; Customs (War powers), id.; Military service, itd.; Munitions of War (Amend.), 2d.; Naval Forces (Service on shore), d.; Parliament and registration, d.; Trading with the Enemy Amend., Ifd. WYMAN, Feb. 16",2,10,TRUE
"Acts-Consolidated Fund (No. 1), £d.; Naval prize (Procedure), fd.; Local and privale : Glasgow celluloid, is. 3d. ..WYMAN, Mar. 16",2,10,TRUE
"Acts-Army (Annual), 4d.; Consolidated Fund (No. 2), Id.; Imperial Institute (Management), d.; Naval and military war pensions, &c. (Expenses), d.; Pacific Islands regulations (Validation), id. ..WYMAN, Apr. 16",2,10,TRUE
"Acts—Courts (Emerg. powers) : Amend., d; Education (Prov. of meals) : Ireland, d.; Finance (New duties), 1 d.; Local govern- ment (Energ. prov.), 2d.; Marriage (Scotland), Id. ; Military service, 1 d. ; Summer time, fd.; War risks (Insurance by trustees), 4d. ; Army act (1885, w. Amend. to end of Sess. 5 and 6 Geo. V), is. ; Plymouth Corporation, 155. 6d. WYMAN, May 16",2,10,TRUE
