original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Abercromby (Hon. John)-A Study of the bronze age pottery of Great Britain and Ireland and its associated grave-goods. Illus. 2 vols. 4to. 63s, net (Clarendon Press) FROWDE, July 12",1,11,,Abercromby (Hon. John),A Study of the bronze age pottery of Great Britain and Ireland and its associated grave-goods. Illus. 2 vols.,4to.,"63s, net (Clarendon Press)",FROWDE,July 12,False,1912
"Abhedananda (Swami) —Vedanta Philosophy : Great Saviours of the world. Vol. 1. (Krishna, Zoroaster, Lâo-Tze, and their teachings, with portraits.) Cr. 8vo., pp. 176, 45. 6d. net LUZAC, Mar. 12",1,11,,Abhedananda (Swami),"Vedanta Philosophy : Great Saviours of the world. Vol. 1. (Krishna, Zoroaster, Lâo-Tze, and their teachings, with portraits.)",Cr. 8vo.,"pp. 176, 45. 6d. net",LUZAC,Mar. 12,False,1912
"Aarons (S. Jervois)—Aids to gynaecology. 5th edit. 12m10., pp. 132, 25. 6d. net, swd., 2s, net (Students' aids ser.) BAILLIÈRE, Nov. 12",1,11,,Aarons (S. Jervois),Aids to gynaecology. 5th edit.,12m10.,"pp. 132, 25. 6d. net, swd., 2s, net (Students' aids ser.)",BAILLIERE,Nov. 12,False,1912
"Abdul Majid (Syed H. R.)-England and the Moslem world : articles, addresses and essays on eastern subjects. 8vo. 9 X6, pp. 184, 55. net (York) YORKSHIRE PRINTING CO., A pr. 12",1,11,,Abdul Majid (Syed H. R.),"England and the Moslem world : articles, addresses and essays on eastern subjects.",8vo.,"9 X6, pp. 184, 55. net (York)",YORKSHIRE PRINTING CO.,Apr. 12,False,1912
"Abernathy (M.)—The Ride of the Abernathy Boys. Cr. 8vo., 35. 6d. HODDER & S., Jan. 12",1,11,,Abernathy (M.),The Ride of the Abernathy Boys.,Cr. 8vo.,35. 6d.,HODDER & S.,Jan. 12,False,1912
"Abhedananda (Swami) Vedanta philosophy : Human affection, and divine love. 12mo., pp. 46, Is. 6d. net ..LUZAC, Mar. 12",1,11,,Abhedananda (Swami),"Vedanta philosophy : Human affection, and divine love.",12mo.,"pp. 46, Is. 6d. net ..",LUZAC,Mar. 12,False,1912
"Åbor, On the track of the, Millington (P.) 35. 6d. net About us. Oblong 4to., bds. 25. 6d. NISTER, Sep. 12",1,11,"Åbor, On the track of the, Millington (P.) 35. 6d. net",,About us.,Oblong 4to.,bds. 25. 6d.,NISTER,Sep. 12,False,1912
"Abraham (Ashley P.)—Beautiful Lakeland. Illus. 4to. 111 X 81, pp. 52, bds. 35. 6d. G. P. ABRAHAM, June 12",1,11,,Abraham (Ashley P.),Beautiful Lakeland. Illus.,4to.,"111 X 81, pp. 52, bds. 35. 6d.",G. P. ABRAHAM,June 12,False,1912
"Abraham (George D.)- British mountain climbs. Cheaper edit. 12mo., 7 X4, pp. 464, 59. net MILLS & B., Sep. 12",1,11,,Abraham (George D.),British mountain climbs. Cheaper edit.,12mo.,"7 X4, pp. 464, 59. net",MILLS & B.,Sep. 12,False,1912
"Abraham (George D.)-Swiss mountain climbs. Cheaper edit. 12mo. 7 X 4), pp. 448, 55. net MILLS & B., Sep.'12",1,11,,Abraham (George D.),Swiss mountain climbs. Cheaper edit.,12mo.,"7 X 4), pp. 448, 55. net",MILLS & B.,Sep. 12,False,1912
"Abram (A.)-English life and manners in the later middle ages. Illus. Cr. 8vo. 74 X5, pp. 368, 6s. ... ROUTLEDGE, Dec. 12",1,11,,Abram (A.),English life and manners in the later middle ages. Illus.,Cr. 8vo.,"74 X5, pp. 368, 6s. ...",ROUTLEDGE,Dec. 12,False,1912
"Academy architecture and architectural review, 1911.-Vol. 40, Founded by Alex. Koch. 4to., 45. rod. net, swd. 4s. net....SIMPKIN, Jan. 12",1,11,,,"Academy architecture and architectural review, 1911.-Vol. 40, Founded by Alex. Koch.",4to.,"45. rod. net, swd. 4s. net....",SIMPKIN,Jan. 12,False,1912
"Academy Architecture and architectural review. Vol. 41, 1912, part 1. 4to. 98 x74, pp. 168, 45. rod. net; swd, 4s, net SIMPKIN, July 12",1,11,,,"Academy Architecture and architectural review. Vol. 41, 1912, part 1.",4to.,"98 x74, pp. 168, 45. rod. net; swd, 4s, net",SIMPKIN,July 12,False,1912
"ABC Guide to the practice of the Supreme Court, 1913. Cr. 8vo., 55. net SWEET & M., Oct. 12",1,11,,,"ABC Guide to the practice of the Supreme Court, 1913.",Cr. 8vo.,55. net,SWEET & M.,Oct. 12,False,1912
"A. L.–Animal making packet. A. M. O. assorted packet. 12 sheets oblong 4to. 6d. net E. J. ARNOLD, Dec. 12",1,11,,A. L.,Animal making packet. A. M. O. assorted packet.,12 sheets oblong 4to.,6d. net,E. ARNOLD,Dec. 12,False,1912
"Aaron (C. D.)-Diseases of the stomach : with special reference to treatment. 8vo., 218. net CHURCHILL, Jan. 12",1,11,,Aaron (C. D.),Diseases of the stomach : with special reference to treatment.,8vo.,218. net,CHURCHILL,Jan. 12,False,1912
"Abbotsford. 8vo., 9 X64, pp. 64, bds. Is. 6d. net (Beautiful Britain.) .BLACK, May 12",1,11,,,Abbotsford.,8vo.,"9 X64, pp. 64, bds. Is. 6d. net (Beautiful Britain.) .",BLACK,May 12,False,1912
