original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"A B C guide to the practice of the Supreme Court, 1923. By F. R. S. Stringer. 18th ed. 71 x 5, pp. 239, 8s. 6d. net. SWEET & M., Oct. '22",1,9.0,,,"A B C guide to the practice of the Supreme Court, 1923. By F. R. S. Stringer. 18th ed.",,"71 x 5, pp. 239, 8s. 6d. net.",SWEET & M.,Oct. 22,False,1922
"A B C or alphabetical railway guide. (Monthly.) ea. swd. 28. net. (15, Fetter Lane, E.C.) OFFICE, Jan., etc., '22",1,9.0,,,A B C or alphabetical railway guide.,,"(Monthly.) ea. swd. 28. net. (15, Fetter Lane, E.C.)",OFFICE,Jan. 22,False,1922
"A. E. See E. (A.) Aaland Islands : Convention respecting non- fortification and neutralisation, Geneva, Oct., 1921. 6d. net........ ...H.M.S.O., June '22",1,9.0,A. E. See E. (A.),,"Aaland Islands : Convention respecting non- fortification and neutralisation, Geneva, Oct., 1921.",,6d. net........ ...,H.M. STATIONERY OFF.,June 22,False,1922
"Abbott (G. F.)—Greece and the Allies, 1914–1922. Cr. 8vo, 74 x 5, pp. 253, 78. 6d. net. METHUEN, Dec. '22",1,9.0,,Abbott (G. F.),"Greece and the Allies, 1914–1922.",Cr. 8vo,"74 x 5, pp. 253, 78. 6d. net.",METHUEN,Dec. 22,False,1922
"Abbott_(Jane)-Red-Robin. Illus. by Harriet R. Richards. 2nd imp. Cr. 8vo, 78 x 5, pp. 327, 75. 6d. net......LIPPINCOTT, Dec. '22",1,9.0,,Abbott_(Jane),Red-Robin. Illus. by Harriet R. Richards. 2nd imp.,Cr. 8vo,"78 x 5, pp. 327, 75. 6d. net......",LIPPINCOTT,Dec. 22,False,1922
"Abbott (Lyman)-Silhouettes of my contempor- aries. 8vo. 81 x 51, pp. 361, I2s. 6d. net ALLEN & U., May '22",1,9.0,,Abbott (Lyman),Silhouettes of my contempor- aries.,8vo.,"81 x 51, pp. 361, I2s. 6d. net",ALLEN & U.,May 22,False,1922
"Abbott (T. K.) and Gwynn (E. W.)–Catalogue of the Irish manuscripts in the library of Trinity College, Dublin. 81x6, pp. 465, 215. net (Hodges, Figgis) LONGMANS, Apr. '22",1,9.0,,Abbott (T. K.) and Gwynn (E. W.),"Catalogue of the Irish manuscripts in the library of Trinity College, Dublin.",,"81x6, pp. 465, 215. net (Hodges, Figgis)",LONGMANS,Apr. 22,False,1922
"Abbott-Smith (G.) A Manual Greek lexicon of the New Testament. 9 X 6, pp. 528. 218. net T. & T. CLARK, Mar.'22",1,9.0,,Abbott-Smith (G.),A Manual Greek lexicon of the New Testament.,,"9 X 6, pp. 528. 218. net",T. & T. CLARK,Mar. 22,False,1922
"Abdullah (Achmed)—Night drums. Cr. 8vo. 74 x 5, pp. 287, 78. 6d net .. HUTCHINSON, May'22",1,9.0,,Abdullah (Achmed),Night drums.,Cr. 8vo.,"74 x 5, pp. 287, 78. 6d net ..",HUTCHINSON,May 22,False,1922
"Abercrombie (Lascelles)-An Essay towards a theory of art. Cr. 8vo. 7 x 5, pp. 115, 58. net M. SECKER, June '22",1,9.0,,Abercrombie (Lascelles),An Essay towards a theory of art.,Cr. 8vo.,"7 x 5, pp. 115, 58. net",M. SECKER,June 22,False,1922
"Abercrombie (Lascelles)—Four short plays. Cr. 8vo. 7* X 51, PP, 176. 6s. net. M. SECKER, July '22",1,9.0,,Abercrombie (Lascelles),Four short plays.,Cr. 8vo.,"7* X 51, PP, 176. 6s. net.",M. SECKER,July 22,False,1922
"Abercrombie (Patrick) and Johnson (T. H.)—The Doncaster regional planning scheme : the report prepared for the Joint Committee. 4to, pp. 93, swd. ros, net.... HODDER & S., Dec. '22",1,9.0,,Abercrombie (Patrick) and Johnson (T. H.),The Doncaster regional planning scheme : the report prepared for the Joint Committee.,"4to,","pp. 93, swd. ros, net....",HODDER & S.,Dec. 22,False,1922
"Abhinava Gupta-Malinivijaya Varttikam. Ed. in Sanskrit with notes by Madhusudan Kaul. 8vo., pp. 138, 6s. 6d., 78. 6d. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar. '22",1,9.0,,Abhinava Gupta,Malinivijaya Varttikam. Ed. in Sanskrit with notes by Madhusudan Kaul.,8vo.,"pp. 138, 6s. 6d., 78. 6d. (Kashmir ser. of texts and studies)",LUZAC; PROBSTHAIN,Mar. 22,False,1922
"Abhinava Gupta-The Tantraloka. With com- mentary by Rajanaka Jayaratha. Ed. in Sanskrit with notes by Madhusudan Kaul. Vols. 2-3. 8vo. Vol. 2, 6s. 6d., 78. 6d. ; Vol. 3, ros. 6d., 125. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar.'22",1,9.0,,Abhinava Gupta,The Tantraloka. With com- mentary by Rajanaka Jayaratha. Ed. in Sanskrit with notes by Madhusudan Kaul. Vols. 2-3.,8vo.,"Vol. 2, 6s. 6d., 78. 6d. ; Vol. 3, ros. 6d., 125. (Kashmir ser. of texts and studies)",LUZAC; PROBSTHAIN,Mar. 22,False,1922
"Abraham (George D.)--Swiss mountain climbs. Cheaper ed. Cr. 8vo. 7X 44, pp. 447, 75. 6d. net. MILLS & B., July '22",1,9.0,,Abraham (George D.),Swiss mountain climbs. Cheaper ed.,Cr. 8vo.,"7X 44, pp. 447, 75. 6d. net.",MILLS & B.,July 22,False,1922
"Abrasive wheels, Use of (Home Office Safety pamphlet, No. 7) is. net...H.M.S.O., Nov. '22",1,9.0,,,"Abrasive wheels, Use of (Home Office Safety pamphlet, No. 7)",,is. net...,H.M. STATIONERY OFF.,Nov. 22,False,1922
"Accidents (Street)--Return, 1921. 2d. net H.M.S.O., Apr. '22",1,9.0,,,"Accidents (Street)--Return, 1921.",,2d. net,H.M. STATIONERY OFF.,Apr. 22,False,1922
"Accountants and Auditors (Soc. of Incorporated) Yearbook, 1922._71 x 5, pp. 606, swd. 35. (50, Gresham St., E.C.2).... OFFICE, Mar. '22",1,9.0,,,"Accountants and Auditors (Soc. of Incorporated) Yearbook, 1922.",,"71 x 5, pp. 606, swd. 35. (50, Gresham St., E.C.2)....",OFFICE,Mar. 22,False,1922
"Accountants (Institute of Chartered)--List of members, 1922 ; Royal Charter and by-laws. 7} x 51, pp. 1,125, swd, 2s. ......GEE, Feb. '22",1,9.0,,,"Accountants (Institute of Chartered)--List of members, 1922 ; Royal Charter and by-laws.",,"7} x 51, pp. 1,125, swd, 2s. ......GEE,",,Feb. 22,False,1922
"Accounts (Public)—and report. 2d. H.M.S.O., Mar. '22",1,9.0,,,Accounts (Public)—and report.,,2d.,H.M. STATIONERY OFF.,Mar. 22,False,1922
"Accounts (Public)—3rd report from the Select Ctte. 6d. net ...H.M.S.O., Aug. '22",1,9.0,,,Accounts (Public)—3rd report from the Select Ctte.,,6d. net,H.M. STATIONERY OFF.,Aug. 22,False,1922
"Acharya (Sri Ananda)-Cakrasakha, the Com- panion of God. 8vo, pp. 141, 4s. 6d. net PROBSTHAIN, May '22",1,9.0,,Acharya (Sri Ananda),"Cakrasakha, the Com- panion of God.","8vo,","pp. 141, 4s. 6d. net",PROBSTHAIN,May 22,False,1922
"""The woman. the AC Acharya (Sri Ananda)—Kalkaram: letters and poems of spiritual love and peace. Portrait. 8vo., pp. 524, 16s. net PROBSTHAIN, May ‘22",2,10.0,"""The woman. the AC",Acharya (Sri Ananda),Kalkaram: letters and poems of spiritual love and peace. Portrait.,8vo.,"pp. 524, 16s. net",PROBSTHAIN,May 22,False,1922
"Acharya (Sri Ananda)—Karlima Rani : lectures on the reconstruction of the humanity ideal. 8vo., pp. 243, 6s. net PROBSTHAIN, May'22",2,10.0,,Acharya (Sri Ananda),Karlima Rani : lectures on the reconstruction of the humanity ideal.,8vo.,"pp. 243, 6s. net",PROBSTHAIN,May 22,False,1922
"Acharya (Sri Ananda)-Saki, the comrade : poems. 8vo., pp. 105, 38. 6d. net PROBSTHAIN, May'22",2,10.0,,Acharya (Sri Ananda),"Saki, the comrade : poems.",8vo.,"pp. 105, 38. 6d. net",PROBSTHAIN,May 22,False,1922
"Acharya (Sri Ananda)—Usarika : dawn rhythms. 8vo., pp. 34, 2s. net.... PROBSTHAIN, May'22",2,10.0,,Acharya (Sri Ananda),Usarika : dawn rhythms.,8vo.,"pp. 34, 2s. net....",PROBSTHAIN,May 22,False,1922
"Achoson (Arthur)-Shakespeare's sonnet story, 1592-1598. With a monograph on Crosse Inn and the Tavern of Oxford,"" by E. T. Leeds. 9x6}, pp. 707, 30s. net. QUARITCH, Dec. '22",2,10.0,,Achoson (Arthur),"Shakespeare's sonnet story, 1592-1598. With a monograph on Crosse Inn and the Tavern of Oxford,"" by E. T. Leeds.",,"9x6}, pp. 707, 30s. net.",QUARITCH,Dec. 22,False,1922
"Ackermann (Louise)-Thoughts of a lonely From the French, by A. L. G. 57 x 4, pp. 68, Is. 6d. net. GOWANS & G., Jan. '22",2,10.0,,Ackermann (Louise),"Thoughts of a lonely From the French, by A. L. G.",,"57 x 4, pp. 68, Is. 6d. net.",GOWANS & G.,Jan. 22,False,1922
"Ackland (Mary)-The Temple of your heart, and other verse. 74 x 5, pp. 32, 25. net. STOCKWELL, Apr.'22",2,10.0,,Ackland (Mary),"The Temple of your heart, and other verse.",,"74 x 5, pp. 32, 25. net.",STOCKWELL,Apr. 22,False,1922
