overall_rank,publisher,year,ecb_address,map_link,side_by_side_map,coordinates,latitude,longitude
1,Milford,1912,,,,,,
1,Milford,1913,"Oxford University Press , Amen Corner , E.C. [ Frowde , Cent . ] ",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437969",51.51441317,-0.1012925362
1,Milford,1914,"Oxford University Press , Amen Corner , E.C. [ Frowde , Cent . ] ",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437970",51.51441317,-0.1012925362
1,Milford,1915,"Oxford University Press , Amen Corner , E.C. [ Frowde , Cent . ] ",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437971",51.51441317,-0.1012925362
1,Milford,1916,"Oxford University Press , Amen Corner , E.C. [ Frowde , Cent . ] ",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437972",51.51441317,-0.1012925362
1,Milford,1917,"Oxford University Press , Amen Corner , E.C. 4. [ Frowde , Cent . ]",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437973",51.51441317,-0.1012925362
1,Milford,1918,"Oxford University Press , Amen Corner , E.C. 4. [ Frowde , Cent . ]",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437974",51.51441317,-0.1012925362
1,Milford,1919,"Oxford University Press , Amen Corner , E.C. 4. [ Frowde , Cent . ]",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437975",51.51441317,-0.1012925362
1,Milford,1920,"Oxford University Press , Amen Corner , E.C. 4. [ Frowde , Cent . ]",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437976",51.51441317,-0.1012925362
1,Milford,1921,"Oxford University Press , Amen Corner , E.C. 4. [ Frowde , Cent . ]",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437977",51.51441317,-0.1012925362
1,Milford,1922,"Oxford University Press , Amen Corner , E.C. 4. [ Frowde , Cent . ]",Milford maps,NLS_link,"51.51441316809114, -0.10129253624437978",51.51441317,-0.1012925362
2,Wyman,1912,"110-115 Fetter Lane , E.C. [ 5566 Holborn . ]",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439967",51.51606263,-0.109508789
2,Wyman,1913,"110-115 Fetter Lane , E.C. [ 6810-6813 Holborn . ]",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439968",51.51606263,-0.109508789
2,Wyman,1914,"110-115 Fetter Lane , E.C. [ 6810-6813 Holborn . ]",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439969",51.51606263,-0.109508789
2,Wyman,1915,"110-115 Fetter Lane , E.C. [ 6810-6813 Holborn . ]",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439970",51.51606263,-0.109508789
2,Wyman,1916,"110-115 Fetter Lane , E.C. [ 6810-6813 Holborn . ]",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439971",51.51606263,-0.109508789
2,Wyman,1917,"110-115 Fetter Lane , E.C. 4 . [ 6810-6813 Holborn . ]",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439972",51.51606263,-0.109508789
2,Wyman,1918,"110-115 Fetter Lane , E.C. 4 . [ 6810-6813 Holborn . ]",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439973",51.51606263,-0.109508789
2,Wyman,1919,"110-115 Fetter Lane , E.C. 4 . [ Wymanads , Fleet ; 6811-6813 Holborn . ",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439974",51.51606263,-0.109508789
2,Wyman,1920,"110-115 Fetter Lane , E.C. 4 . [ Wymanads , Fleet ; 6811-6813 Holborn . ",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439975",51.51606263,-0.109508789
2,Wyman,1921,"110-115 Fetter Lane , E.C. 4 . [ Wymanads , Fleet ; 6811-6813 Holborn . ",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439976",51.51606263,-0.109508789
2,Wyman,1922,"110-115 Fetter Lane , E.C. 4 . [ Wymanads , Fleet ; 6811-6813 Holborn . ",wyman maps,wyman_nls,"51.51606262555211, -0.10950878901439977",51.51606263,-0.109508789
3,Macmillan,1912,"St. Martin's Street , Leicester Square , W.C. [ Publish , London ; 8830 Gerrard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614164",51.50894488,-0.1299886759
3,Macmillan,1913,"St. Martin's Street , Leicester Square , W.C. [ Publish , London ; 8830 Gerrard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614165",51.50894488,-0.1299886759
3,Macmillan,1914,"St. Martin's Street , Leicester Square , W.C. [ Publish , Westrand ; 8830 Ger- rard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614166",51.50894488,-0.1299886759
3,Macmillan,1915,"St. Martin's Street , Leicester Square , W.C. [ Publish , Westrand ; 8830 Ger- rard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614167",51.50894488,-0.1299886759
3,Macmillan,1916,"10-15 St. Martin's Street , Leicester Square , W.C. [ Publish , Westrand ; 8830 Gerrard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614168",51.50894488,-0.1299886759
3,Macmillan,1917,"10-15 St. Martin's Street , Leicester Square , W.C. 2. [ Publish , Westrand ; 8830 Gerrard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614169",51.50894488,-0.1299886759
3,Macmillan,1918,"10-15 St. Martin's Street , Leicester Square , W.C. 2. [ Publish , Westrand ; 8830 Gerrard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614170",51.50894488,-0.1299886759
3,Macmillan,1919,"10-15 St. Martin's Street , Leicester Square , W.C. 2. [ Publish , Westrand ; 8830 Gerrard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614171",51.50894488,-0.1299886759
3,Macmillan,1920,"10-15 St. Martin's Street , Leicester Square , W.C. 2. [ Publish , Westrand ; 8830 Gerrard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614172",51.50894488,-0.1299886759
3,Macmillan,1921,"10-15 St. Martin's Street , Leicester Square , W.C. 2. [ Publish , Westrand ; 8830 Gerrard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614173",51.50894488,-0.1299886759
3,Macmillan,1922,"10-15 St. Martin's Street , Leicester Square , W.C. 2. [ Publish , Westrand ; 8830 Gerrard . ]",macmillan maps,macmillan_nls,"51.508944883880446, -0.1299886758614174",51.50894488,-0.1299886759
4,Longmans,1912,"38-41 Paternoster Row , E.C. [ Longmans , London ; 3670 City . ]",longmans map,long_nls,"51.514599932550276, -0.09878505926216148",51.51459993,-0.09878505926
4,Longmans,1913,"39 Paternoster Row , E.C. [ Longmans , London ; 3670 City . ]",longmans map,long_nls,"51.514599932550276, -0.09878505926216149",51.51459993,-0.09878505926
4,Longmans,1914,"38-41 , Paternoster Row , E.C. [ Longmans , Cent ; 3670 City . ]",longmans map,long_nls,"51.514599932550276, -0.09878505926216150",51.51459993,-0.09878505926
4,Longmans,1915,"38-41 , Paternoster R E.C. [ Longmans , Cent ; 3670 City . ]",longmans map,long_nls,"51.514599932550276, -0.09878505926216151",51.51459993,-0.09878505926
4,Longmans,1916,"38-41 Paternoster Row , E.C. [ Longmans , Cent ; 3670 City . ]",longmans map,long_nls,"51.514599932550276, -0.09878505926216152",51.51459993,-0.09878505926
4,Longmans,1917,"38-41 Paternoster Row , E.C. 4. [ Longmans , Cent ; 3670 City . ]",longmans map,long_nls,"51.514599932550276, -0.09878505926216153",51.51459993,-0.09878505926
