author_name,year,num_entry
Board of Education,1915,39
William Shakespeare,1912,38
Bd. of Education,1919,36
Charles Dickens,1913,34
William Shakespeare,1913,34
Nat Gould,1920,32
Charles Dickens,1912,31
William Shakespeare,1922,29
Charles Dickens,1914,28
Ella Wheeler Wilcox,1912,28
Charles Garvice,1917,27
Bd. of Education,1918,26
William Le Queux,1914,26
Andrew Lang,1914,25
Board of Education,1914,25
Victor Hugo,1912,25
William Le Queux,1912,25
William Shakespeare,1921,25
Charles Garvice,1913,24
Ministry of Reconstruction,1919,24
Nat Gould,1921,24
William Le Queux,1921,24
Evelyn Everett-Green,1914,22
William Le Queux,1917,22
0. Henry,1916,21
East India,1919,21
Ridgwell Cullum,1921,21
Ruby M. Ayres,1921,21
Scotland Education,1915,21
William Le Queux,1913,21
E. Phillips Oppenheim,1912,20
Effie Adelaide Rowlands,1912,20
Joseph Hocking,1920,20
William Shakespeare,1918,20
Baroness Orczy,1913,19
Elinor Glyn,1920,19
J. M. Barrie,1922,19
Ridgwell Cullum,1920,19
Board of Education,1913,18
Charles Garvice,1912,18
E. Phillips Oppenheim,1917,18
Effie Adelaide Rowlands,1913,18
Effie Adelaide Rowlands,1914,18
Ella Wheeler Wilcox,1913,18
Joseph Hocking,1917,18
Sir Arthur Conan Doyle,1912,18
Thomas Hardy,1912,18
Arnold Bennett,1912,17
August Strindberg,1913,17
E. Phillips Oppenheim,1913,17
E. Phillips Oppenheim,1914,17
E. Phillips Oppenheim,1920,17
Evelyn Everett-Green,1913,17
Herbert Strang,1917,17
May Byron,1912,17
Ministry of Health,1920,17
Ministry of Health,1921,17
Nat. Health Insurance,1919,17
Scotland Education,1919,17
Alice Askew,1914,16
East India,1915,16
Herbert Strang,1916,16
Ministry of Transport,1921,16
Victor Hugo,1913,16
William Le Queux,1920,16
William Shakespeare,1915,16
Alexandre Dumas,1922,15
Alice Askew,1912,15
Alice Askew,1913,15
Bd. of Education,1917,15
Board of Education,1921,15
Charles G. Harper,1921,15
Ella Wheeler Wilcox,1914,15
George Eliot,1913,15
Harold Bindloss,1914,15
Herbert Strang,1912,15
Jack London,1914,15
Jack London,1916,15
Joseph Conrad,1920,15
Ministry of Labour,1919,15
Ralph Waldo Emerson,1912,15
William Le Queux,1915,15
William Shakespeare,1916,15
Archibald Marshall,1920,14
Board of Education,1920,14
Charles Garvice,1914,14
Charles Garvice,1915,14
Charles Garvice,1921,14
G. A. Henty,1922,14
Herbert Strang,1921,14
Ivan Turgenev,1921,14
Ministry of Health,1922,14
Ridgwell Cullum,1917,14
Ridgwell Cullum,1922,14
Rudyard Kipling,1914,14
Sir H. Rider Haggard,1913,14
Sir Walter Scott,1913,14
William Shakespeare,1914,14
Alexandre Dumas,1920,13
Alice Askew,1916,13
Arnold Bennett,1914,13
E. V. Lucas,1915,13
Effie Adelaide Rowlands,1920,13
Effie Adelaide Rowlands,1921,13
H. G. Wells,1920,13
Harold Bindloss,1917,13
Jack London,1913,13
Jack London,1915,13
John Galsworthy,1922,13
Joseph Hocking,1916,13
May Byron,1915,13
Nat Gould,1919,13
Rudyard Kipling,1915,13
Scotland Education,1920,13
Sir Arthur Conan Doyle,1913,13
Talbot Baines Reed,1913,13
A. C. Swinburne,1919,12
Board of Education,1922,12
Charles Kingsley,1912,12
E. F. Benson,1912,12
E. Phillips Oppenheim,1915,12
E. Phillips Oppenheim,1916,12
E. Temple Thurston,1914,12
East India,1914,12
Eden Phillpotts,1916,12
Edgar Wallace,1915,12
Evelyn Everett-Green,1919,12
Fergus Hume,1912,12
Fergus Hume,1913,12
Fergus Hume,1914,12
H. de Vere Stacpoole,1914,12
Harold Bindloss,1913,12
Herbert Strang,1913,12
Herbert Strang,1922,12
John Buchan,1922,12
Katharine Tynan,1913,12
National Insurance,1913,12
Richard Marsh,1913,12
Ruby M. Ayres,1922,12
Scotland Education,1913,12
Alexandre Dumas,1912,11
Baroness Orczy,1917,11
Bertram Mitford,1913,11
Charles Dickens,1920,11
Charles Dickens,1921,11
Earl of Beaconsfield,1919,11
Eden Phillpotts,1912,11
Edward S. Ellis,1920,11
Effie A. Rowlands,1915,11
Ella Wheeler Wilcox,1917,11
Florence Warden,1913,11
Florence Warden,1914,11
George Meredith,1914,11
H. G. C. Marsh Lambert,1919,11
H. H. Thomas,1917,11
H. Rider Haggard,1920,11
H. de Vere Stacpoole,1916,11
Henry James,1922,11
Ireland Education,1919,11
Jack London,1920,11
John Oxenham,1921,11
L. T. Meade,1912,11
M. E. Francis,1915,11
Max Pemberton,1912,11
Max Pemberton,1913,11
Ministry of Munitions,1918,11
Mrs. Humphry Ward,1920,11
Nat Gould,1916,11
Nat Gould,1922,11
Nat. Health Insurance,1918,11
Ridgwell Cullum,1914,11
Robert Louis Stevenson,1915,11
Scotland Education,1914,11
William Lo Queux,1915,11
William Shakespeare,1920,11
