format,year,num_entry
16mo,1912,158
16mo,1913,134
16mo,1914,123
16mo,1915,98
16mo,1916,52
16mo,1917,27
16mo,1918,41
16mo,1919,21
16mo,1920,1
16mo,1921,2
16mo,1922,1
18vo,1912,61
18vo,1913,73
18vo,1914,62
18vo,1915,283
18vo,1916,586
18vo,1917,367
18vo,1918,250
18vo,1919,415
18vo,1920,892
18vo,1921,736
18vo,1922,563
24mo,1915,1
24mo,1919,1
2mo,1912,1
2mo,1913,1
2mo,1914,1
2mo,1915,1
2mo,1916,12
2mo,1917,18
2mo,1918,38
2mo,1919,22
2mo,1920,8
2mo,1921,20
2mo,1922,7
4to,1912,1
4to,1913,496
4to,1914,478
4to,1915,1
4to,1916,125
4to,1917,48
4to,1918,32
4to,1919,65
4to,1920,63
4to,1921,86
4to,1922,99
6to,1913,1
8vo,1912,2
8vo,1913,1
8vo,1914,1
8vo,1915,1
8vo,1916,1
8vo,1917,1
8vo,1918,1
8vo,1919,1
8vo,1920,1
8vo,1921,1
8vo,1922,3
