format,year,num_entry
10mo,1913,1
12mo,1914,1
12mo,1912,1045
12mo,1913,944
12mo,1914,833
12mo,1915,359
12mo,1916,15
12mo,1917,21
12mo,1918,40
12mo,1919,28
12mo,1920,11
12mo,1922,7
16mo,1912,302
16mo,1913,276
16mo,1914,218
16mo,1915,127
16mo,1916,64
16mo,1917,30
16mo,1918,50
16mo,1919,20
16mo,1920,1
16mo,1921,4
16mo,1922,1
18vo,1912,61
18vo,1913,77
18vo,1914,64
18vo,1915,295
18vo,1916,571
18vo,1917,367
18vo,1918,251
18vo,1919,417
18vo,1920,858
18vo,1921,731
18vo,1922,529
18vo,1912,1
18vo,1915,1
18vo,1922,1
2mo,1912,1
2mo,1913,2
2mo,1914,2
2mo,1915,2
4to,1919,1
4to,1912,586
4to,1913,572
4to,1914,543
4to,1915,304
4to,1916,169
4to,1917,77
4to,1918,68
4to,1919,82
4to,1920,86
4to,1921,96
4to,1922,105
4to,1914,1
6to,1913,1
8vo,1913,2
8vo,1919,3
8vo,1920,1
8vo,1921,1
8vo,1922,2
8vo,1912,7222
8vo,1913,7249
8vo,1914,6499
8vo,1915,5468
8vo,1916,4873
8vo,1917,4423
8vo,1918,4230
8vo,1919,5279
8vo,1920,6480
8vo,1921,6202
8vo,1922,5853
